Timestamp,Region,"Per favore, inserisci il numero di persone con cui ti relazioni abitualmente in maniera diretta (inclusi i contatti remoti, per telefono, via social network, ecc.) Va bene anche una risposta approssimativa.","Quante, tra le persone con cui ti relazioni abitualmente, hanno manifestato i sintomi o la malattia da coronavirus?"
2020/03/23 12:21:30 PM GMT+1,,,12
2020/03/23 12:24:29 PM GMT+1,,20,1
2020/03/23 12:27:41 PM GMT+1,,50,0
2020/03/23 12:29:28 PM GMT+1,,30,0
2020/03/23 12:31:01 PM GMT+1,,40,0
2020/03/23 12:31:27 PM GMT+1,,30,0
2020/03/23 12:33:21 PM GMT+1,,10,0
2020/03/23 12:33:28 PM GMT+1,,50,1
2020/03/23 12:34:16 PM GMT+1,,2,0
2020/03/23 12:34:50 PM GMT+1,,30,0
2020/03/23 12:35:49 PM GMT+1,,,0
2020/03/23 12:36:16 PM GMT+1,,15,4
2020/03/23 12:39:40 PM GMT+1,,3,0
2020/03/23 12:40:02 PM GMT+1,,,0
2020/03/23 12:41:13 PM GMT+1,,10,0
2020/03/23 12:42:04 PM GMT+1,,,2
2020/03/23 12:45:16 PM GMT+1,,60,2
2020/03/23 12:47:09 PM GMT+1,,40,0
2020/03/23 12:49:57 PM GMT+1,,20,0
2020/03/23 12:50:06 PM GMT+1,,5,0
2020/03/23 12:50:38 PM GMT+1,,20,0
2020/03/23 12:50:48 PM GMT+1,,80,6
2020/03/23 12:53:33 PM GMT+1,,10,0
2020/03/23 12:54:22 PM GMT+1,,5,0
2020/03/23 12:54:59 PM GMT+1,,80,0
2020/03/23 12:56:53 PM GMT+1,,150,1
2020/03/23 12:58:47 PM GMT+1,,50,0
2020/03/23 12:59:00 PM GMT+1,,100,3
2020/03/23 1:00:50 PM GMT+1,,100,0
2020/03/23 1:03:21 PM GMT+1,,30,0
2020/03/23 1:04:03 PM GMT+1,,7,0
2020/03/23 1:14:50 PM GMT+1,,30,3
2020/03/23 1:16:25 PM GMT+1,,50,0
2020/03/23 1:16:52 PM GMT+1,,,0
2020/03/23 1:17:12 PM GMT+1,,,0
2020/03/23 1:17:21 PM GMT+1,,35,0
2020/03/23 1:17:38 PM GMT+1,,100,2
2020/03/23 1:18:09 PM GMT+1,,50,0
2020/03/23 1:18:11 PM GMT+1,,20,0
2020/03/23 1:18:20 PM GMT+1,,9,0
2020/03/23 1:18:42 PM GMT+1,,,0
2020/03/23 1:20:05 PM GMT+1,,13,0
2020/03/23 1:20:12 PM GMT+1,,50,0
2020/03/23 1:21:17 PM GMT+1,,50,0
2020/03/23 1:21:27 PM GMT+1,,20,0
2020/03/23 1:24:33 PM GMT+1,,20,0
2020/03/23 1:25:11 PM GMT+1,,150,0
2020/03/23 1:25:23 PM GMT+1,,50,19
2020/03/23 1:26:58 PM GMT+1,,15,0
2020/03/23 1:30:51 PM GMT+1,,50,0
2020/03/23 1:31:07 PM GMT+1,,40,0
2020/03/23 1:35:07 PM GMT+1,,20,0
2020/03/23 1:35:09 PM GMT+1,,20,0
2020/03/23 1:35:59 PM GMT+1,,40,0
2020/03/23 1:36:43 PM GMT+1,,15,2
2020/03/23 1:41:17 PM GMT+1,,15,1
2020/03/23 1:42:01 PM GMT+1,,,0
2020/03/23 1:43:41 PM GMT+1,,20,0
2020/03/23 1:43:44 PM GMT+1,,50,0
2020/03/23 1:44:30 PM GMT+1,,20,0
2020/03/23 1:47:57 PM GMT+1,,50,0
2020/03/23 1:50:50 PM GMT+1,,,0
2020/03/23 1:51:31 PM GMT+1,,500,3
2020/03/23 1:53:23 PM GMT+1,,100,0
2020/03/23 1:58:00 PM GMT+1,,,2
2020/03/23 1:59:26 PM GMT+1,,,0
2020/03/23 2:00:58 PM GMT+1,,50,0
2020/03/23 2:01:08 PM GMT+1,,,0
2020/03/23 2:05:10 PM GMT+1,,,1
2020/03/23 2:08:16 PM GMT+1,,12,0
2020/03/23 2:18:21 PM GMT+1,,20,0
2020/03/23 2:20:10 PM GMT+1,,40,1
2020/03/23 2:21:45 PM GMT+1,,32,0
2020/03/23 2:21:58 PM GMT+1,,30,0
2020/03/23 2:23:34 PM GMT+1,,,0
2020/03/23 2:27:30 PM GMT+1,,,0
2020/03/23 2:31:25 PM GMT+1,,10,0
2020/03/23 2:31:32 PM GMT+1,,10,0
2020/03/23 2:32:32 PM GMT+1,,,0
2020/03/23 2:33:33 PM GMT+1,,30,0
2020/03/23 2:33:44 PM GMT+1,,5,0
2020/03/23 2:35:43 PM GMT+1,,15,0
2020/03/23 2:35:48 PM GMT+1,,15,0
2020/03/23 2:37:15 PM GMT+1,,30,0
2020/03/23 2:38:15 PM GMT+1,,4,0
2020/03/23 2:39:48 PM GMT+1,,5,0
2020/03/23 2:41:22 PM GMT+1,,,0
2020/03/23 2:42:04 PM GMT+1,,12,0
2020/03/23 2:48:19 PM GMT+1,,200,1
2020/03/23 2:49:21 PM GMT+1,,15,0
2020/03/23 2:49:37 PM GMT+1,,40,0
2020/03/23 2:51:07 PM GMT+1,,50,1
2020/03/23 2:51:13 PM GMT+1,,25,0
2020/03/23 2:51:53 PM GMT+1,,,0
2020/03/23 2:52:26 PM GMT+1,,15,0
2020/03/23 2:54:44 PM GMT+1,,30,0
2020/03/23 2:54:52 PM GMT+1,,,0
2020/03/23 2:55:13 PM GMT+1,,30,0
2020/03/23 2:56:00 PM GMT+1,,,3
2020/03/23 2:56:20 PM GMT+1,,25,4
2020/03/23 2:56:40 PM GMT+1,,10,0
2020/03/23 2:56:45 PM GMT+1,,70,3
2020/03/23 2:57:01 PM GMT+1,,,0
2020/03/23 2:57:08 PM GMT+1,,,0
2020/03/23 2:57:53 PM GMT+1,,,0
2020/03/23 2:59:07 PM GMT+1,,,0
2020/03/23 2:59:45 PM GMT+1,,,0
2020/03/23 3:00:01 PM GMT+1,,10,0
2020/03/23 3:01:42 PM GMT+1,,50,0
2020/03/23 3:03:05 PM GMT+1,,,0
2020/03/23 3:05:25 PM GMT+1,,15,0
2020/03/23 3:06:59 PM GMT+1,,4,0
2020/03/23 3:06:59 PM GMT+1,,10,0
2020/03/23 3:07:34 PM GMT+1,,12,0
2020/03/23 3:08:52 PM GMT+1,,10,0
2020/03/23 3:09:19 PM GMT+1,,10,0
2020/03/23 3:11:50 PM GMT+1,,,0
2020/03/23 3:13:02 PM GMT+1,,15,0
2020/03/23 3:14:13 PM GMT+1,,20,1
2020/03/23 3:14:16 PM GMT+1,,15,2
2020/03/23 3:16:09 PM GMT+1,,15,0
2020/03/23 3:18:44 PM GMT+1,,2,0
2020/03/23 3:20:04 PM GMT+1,,150,0
2020/03/23 3:20:09 PM GMT+1,,,0
2020/03/23 3:21:11 PM GMT+1,,20,0
2020/03/23 3:21:22 PM GMT+1,,,0
2020/03/23 3:22:22 PM GMT+1,,8,0
2020/03/23 3:22:53 PM GMT+1,,15,1
2020/03/23 3:24:12 PM GMT+1,,,0
2020/03/23 3:27:03 PM GMT+1,,15,0
2020/03/23 3:28:00 PM GMT+1,,26,0
2020/03/23 3:29:32 PM GMT+1,,15,0
2020/03/23 3:29:40 PM GMT+1,,,0
2020/03/23 3:32:11 PM GMT+1,,,0
2020/03/23 3:35:10 PM GMT+1,,,0
2020/03/23 3:38:04 PM GMT+1,,20,1
2020/03/23 3:38:47 PM GMT+1,,,0
2020/03/23 3:39:12 PM GMT+1,,,0
2020/03/23 3:41:45 PM GMT+1,,,0
2020/03/23 3:48:18 PM GMT+1,,8,0
2020/03/23 3:52:52 PM GMT+1,,30,0
2020/03/23 4:06:19 PM GMT+1,,,0
2020/03/23 4:08:12 PM GMT+1,,10,0
2020/03/23 4:17:20 PM GMT+1,,10,0
2020/03/23 4:18:53 PM GMT+1,,70,2
2020/03/23 4:19:19 PM GMT+1,,20,0
2020/03/23 4:19:35 PM GMT+1,,100,0
2020/03/23 4:20:22 PM GMT+1,,45,0
2020/03/23 4:21:51 PM GMT+1,,20,1
2020/03/23 4:23:51 PM GMT+1,,50,0
2020/03/23 4:23:57 PM GMT+1,,40,0
2020/03/23 4:24:27 PM GMT+1,,,1
2020/03/23 4:27:23 PM GMT+1,,10,0
2020/03/23 4:28:35 PM GMT+1,,,0
2020/03/23 4:28:55 PM GMT+1,,30,0
2020/03/23 4:29:06 PM GMT+1,,30,2
2020/03/23 4:29:18 PM GMT+1,,,0
2020/03/23 4:31:00 PM GMT+1,,20,0
2020/03/23 4:31:14 PM GMT+1,,30,0
2020/03/23 4:35:52 PM GMT+1,,40,0
2020/03/23 4:38:11 PM GMT+1,,15,0
2020/03/23 4:42:12 PM GMT+1,,,0
2020/03/23 4:42:21 PM GMT+1,,100,1
2020/03/23 4:44:39 PM GMT+1,,15,0
2020/03/23 4:46:55 PM GMT+1,,8,0
2020/03/23 4:47:55 PM GMT+1,,50,0
2020/03/23 4:49:27 PM GMT+1,,,2
2020/03/23 4:58:06 PM GMT+1,,,1
2020/03/23 4:59:05 PM GMT+1,,30,0
2020/03/23 5:00:40 PM GMT+1,,,0
2020/03/23 5:08:44 PM GMT+1,,,0
2020/03/23 5:09:50 PM GMT+1,,15,0
2020/03/23 5:10:48 PM GMT+1,,,0
2020/03/23 5:11:47 PM GMT+1,,10,0
2020/03/23 5:12:03 PM GMT+1,,60,0
2020/03/23 5:12:56 PM GMT+1,,3,0
2020/03/23 5:15:33 PM GMT+1,,10,0
2020/03/23 5:15:53 PM GMT+1,,20,3
2020/03/23 5:18:27 PM GMT+1,,,0
2020/03/23 5:18:29 PM GMT+1,,2,0
2020/03/23 5:18:39 PM GMT+1,,,
2020/03/23 5:20:36 PM GMT+1,,,0
2020/03/23 5:21:20 PM GMT+1,,25,0
2020/03/23 5:22:21 PM GMT+1,,,0
2020/03/23 5:24:16 PM GMT+1,,10,0
2020/03/23 5:25:23 PM GMT+1,,10,2
2020/03/23 5:25:54 PM GMT+1,,,0
2020/03/23 5:27:47 PM GMT+1,,,0
2020/03/23 5:29:50 PM GMT+1,,,0
2020/03/23 5:30:34 PM GMT+1,,,0
2020/03/23 5:31:34 PM GMT+1,,,1
2020/03/23 5:33:39 PM GMT+1,,15,0
2020/03/23 5:36:05 PM GMT+1,,3,0
2020/03/23 5:38:48 PM GMT+1,,50,0
2020/03/23 5:42:56 PM GMT+1,,10,0
2020/03/23 5:42:56 PM GMT+1,,4,0
2020/03/23 5:43:24 PM GMT+1,,25,0
2020/03/23 5:45:17 PM GMT+1,,25,2
2020/03/23 5:46:28 PM GMT+1,,6,0
2020/03/23 5:48:36 PM GMT+1,,10,0
2020/03/23 5:50:08 PM GMT+1,,50,0
2020/03/23 5:50:58 PM GMT+1,,4,0
2020/03/23 5:55:55 PM GMT+1,,15,0
2020/03/23 5:56:30 PM GMT+1,,,0
2020/03/23 6:02:49 PM GMT+1,,10,0
2020/03/23 6:03:41 PM GMT+1,,4,0
2020/03/23 6:06:32 PM GMT+1,,2,0
2020/03/23 6:06:39 PM GMT+1,,15,0
2020/03/23 6:07:57 PM GMT+1,,20,0
2020/03/23 6:11:18 PM GMT+1,,40,0
2020/03/23 6:15:12 PM GMT+1,,7,0
2020/03/23 6:15:59 PM GMT+1,,,1
2020/03/23 6:17:58 PM GMT+1,,20,0
2020/03/23 6:20:33 PM GMT+1,,3,0
2020/03/23 6:21:07 PM GMT+1,,10,0
2020/03/23 6:22:41 PM GMT+1,,30,2
2020/03/23 6:24:11 PM GMT+1,,,0
2020/03/23 6:24:27 PM GMT+1,,10,2
2020/03/23 6:29:11 PM GMT+1,,4,0
2020/03/23 6:31:13 PM GMT+1,,10,0
2020/03/23 6:35:47 PM GMT+1,,30,0
2020/03/23 6:38:27 PM GMT+1,,30,0
2020/03/23 6:41:17 PM GMT+1,,40,0
2020/03/23 6:43:08 PM GMT+1,,20,0
2020/03/23 6:50:07 PM GMT+1,,20,0
2020/03/23 6:50:21 PM GMT+1,,,12
2020/03/23 6:54:27 PM GMT+1,,20,6
2020/03/23 6:56:38 PM GMT+1,,10,0
2020/03/23 7:01:33 PM GMT+1,,50,0
2020/03/23 7:01:39 PM GMT+1,,68,0
2020/03/23 7:03:38 PM GMT+1,,15,0
2020/03/23 7:16:39 PM GMT+1,,100,0
2020/03/23 7:17:28 PM GMT+1,,60,1
2020/03/23 7:22:11 PM GMT+1,,,0
2020/03/23 7:29:32 PM GMT+1,,20,0
2020/03/23 7:32:01 PM GMT+1,,30,1
2020/03/23 7:32:35 PM GMT+1,,3,0
2020/03/23 7:34:19 PM GMT+1,,20,0
2020/03/23 7:34:20 PM GMT+1,,4,0
2020/03/23 7:38:23 PM GMT+1,,,0
2020/03/23 7:44:27 PM GMT+1,,20,0
2020/03/23 7:45:50 PM GMT+1,,40,3
2020/03/23 7:49:32 PM GMT+1,,100,0
2020/03/23 7:51:12 PM GMT+1,,20,0
2020/03/23 7:52:05 PM GMT+1,,30,0
2020/03/23 7:58:54 PM GMT+1,,150,0
2020/03/23 8:00:11 PM GMT+1,,25,0
2020/03/23 8:02:34 PM GMT+1,,100,0
2020/03/23 8:09:37 PM GMT+1,,100,0
2020/03/23 8:12:05 PM GMT+1,,5,0
2020/03/23 8:13:38 PM GMT+1,,10,0
2020/03/23 8:15:57 PM GMT+1,,100,2
2020/03/23 8:16:11 PM GMT+1,,20,0
2020/03/23 8:21:35 PM GMT+1,,120,0
2020/03/23 8:22:42 PM GMT+1,,100,0
2020/03/23 8:24:24 PM GMT+1,,250,1
2020/03/23 8:28:22 PM GMT+1,,20,0
2020/03/23 8:29:54 PM GMT+1,,4,0
2020/03/23 8:39:49 PM GMT+1,,40,0
2020/03/23 8:41:49 PM GMT+1,,,2
2020/03/23 8:48:00 PM GMT+1,,10,1
2020/03/23 8:49:51 PM GMT+1,,50,2
2020/03/23 8:52:06 PM GMT+1,,10,2
2020/03/23 8:52:22 PM GMT+1,,7,0
2020/03/23 8:56:07 PM GMT+1,,100,0
2020/03/23 8:57:01 PM GMT+1,,10,0
2020/03/23 8:58:57 PM GMT+1,,8,1
2020/03/23 8:59:07 PM GMT+1,,,0
2020/03/23 9:00:23 PM GMT+1,,40,1
2020/03/23 9:01:42 PM GMT+1,,,0
2020/03/23 9:01:49 PM GMT+1,,30,0
2020/03/23 9:03:28 PM GMT+1,,,0
2020/03/23 9:04:09 PM GMT+1,,7,0
2020/03/23 9:08:36 PM GMT+1,,10,0
2020/03/23 9:11:19 PM GMT+1,,6,6
2020/03/23 9:11:21 PM GMT+1,,500,0
2020/03/23 9:14:02 PM GMT+1,,,1234020174810
2020/03/23 9:14:19 PM GMT+1,,,0
2020/03/23 9:16:21 PM GMT+1,,100,0
2020/03/23 9:17:15 PM GMT+1,,50,0
2020/03/23 9:18:41 PM GMT+1,,10,0
2020/03/23 9:22:13 PM GMT+1,,20,0
2020/03/23 9:25:50 PM GMT+1,,15,0
2020/03/23 9:29:54 PM GMT+1,,10,0
2020/03/23 9:30:28 PM GMT+1,,15,0
2020/03/23 9:31:18 PM GMT+1,,50,0
2020/03/23 9:34:37 PM GMT+1,,20,0
2020/03/23 9:37:24 PM GMT+1,,30,0
2020/03/23 9:42:13 PM GMT+1,,,0
2020/03/23 9:46:49 PM GMT+1,,10,0
2020/03/23 9:49:38 PM GMT+1,,50,0
2020/03/23 9:53:30 PM GMT+1,,70,4
2020/03/23 9:54:39 PM GMT+1,,,0
2020/03/23 9:55:23 PM GMT+1,,80,0
2020/03/23 10:09:02 PM GMT+1,,,0
2020/03/23 10:12:49 PM GMT+1,,10,0
2020/03/23 10:14:43 PM GMT+1,,10,0
2020/03/23 10:19:13 PM GMT+1,,20,0
2020/03/23 10:20:42 PM GMT+1,,20,1
2020/03/23 10:21:52 PM GMT+1,,12,0
2020/03/23 10:24:00 PM GMT+1,,4,0
2020/03/23 10:26:53 PM GMT+1,,15,0
2020/03/23 10:27:34 PM GMT+1,,,0
2020/03/23 10:35:34 PM GMT+1,,90,0
2020/03/23 10:40:18 PM GMT+1,,15,0
2020/03/23 10:40:22 PM GMT+1,,15,0
2020/03/23 10:43:49 PM GMT+1,,20,0
2020/03/23 10:44:45 PM GMT+1,,,0
2020/03/23 10:59:49 PM GMT+1,,15,0
2020/03/23 11:07:04 PM GMT+1,,100,0
2020/03/23 11:10:04 PM GMT+1,,,0
2020/03/23 11:10:35 PM GMT+1,,60,6
2020/03/23 11:11:34 PM GMT+1,,4,0
2020/03/23 11:17:58 PM GMT+1,,50,0
