"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/24 11:42:59 AM GMT+1","Comunidad de Madrid","100","1"
"2020/03/24 11:48:43 AM GMT+1","Galicia","20","0"
"2020/03/24 11:48:52 AM GMT+1","Todo el país","100","10"
"2020/03/24 11:49:54 AM GMT+1","Cantabria","200","2"
"2020/03/24 11:50:40 AM GMT+1","País Vasco","10000","1"
"2020/03/24 11:51:08 AM GMT+1","Comunidad de Madrid","10","0"
"2020/03/24 11:51:30 AM GMT+1","Comunidad de Madrid","200","2"
"2020/03/24 11:51:36 AM GMT+1","Comunidad de Madrid","50","0"
"2020/03/24 11:52:28 AM GMT+1","Comunidad de Madrid","1000","20"
"2020/03/24 11:53:57 AM GMT+1","Comunidad de Madrid","150","4"
"2020/03/24 11:54:20 AM GMT+1","Comunidad de Madrid","100","5"
"2020/03/24 11:55:02 AM GMT+1","Comunidad de Madrid","150","5"
"2020/03/24 11:55:21 AM GMT+1","Comunidad de Madrid","100","06"
"2020/03/24 11:56:50 AM GMT+1","Comunidad de Madrid","1000","0100"
"2020/03/24 11:58:55 AM GMT+1","Comunidad de Madrid","80","0"
"2020/03/24 11:59:41 AM GMT+1","Comunidad de Madrid","100","3"
"2020/03/24 11:59:50 AM GMT+1","Comunidad Foral de Navarra","100","4"
"2020/03/24 12:00:09 PM GMT+1","Comunidad de Madrid","200","4"
"2020/03/24 12:00:16 PM GMT+1","Comunidad de Madrid","70","1"
"2020/03/24 12:02:20 PM GMT+1","Comunidad de Madrid","180","16"
"2020/03/24 12:04:06 PM GMT+1","Comunidad de Madrid","100","7"
"2020/03/24 12:04:29 PM GMT+1","Andalucía","1000","0"
"2020/03/24 12:06:20 PM GMT+1","Comunidad de Madrid","200","2"
"2020/03/24 12:12:41 PM GMT+1","Comunidad de Madrid","400","140"
"2020/03/24 12:16:49 PM GMT+1","Comunidad de Madrid","200","5"
"2020/03/24 12:19:33 PM GMT+1","Comunidad de Madrid","60","1"
"2020/03/24 12:21:55 PM GMT+1","Comunidad de Madrid","50","1"
"2020/03/24 12:29:22 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/24 12:38:56 PM GMT+1","Comunidad de Madrid","150","5"
"2020/03/24 12:41:52 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/24 12:42:07 PM GMT+1","Comunidad de Madrid","30","2"
"2020/03/24 12:42:26 PM GMT+1","Castilla-La Mancha","40","9"
"2020/03/24 12:42:47 PM GMT+1","Comunidad de Madrid","200","2"
"2020/03/24 12:42:57 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/24 12:47:02 PM GMT+1","Comunidad de Madrid","150","6"
"2020/03/24 12:47:28 PM GMT+1","Andalucía","60","0"
"2020/03/24 12:49:17 PM GMT+1","Comunidad de Madrid","50","2"
"2020/03/24 12:55:51 PM GMT+1","Todo el país","1000","1"
"2020/03/24 12:59:33 PM GMT+1","Todo el país","2000","4"
"2020/03/24 1:00:18 PM GMT+1","Comunidad de Madrid","150","3"
"2020/03/24 1:11:38 PM GMT+1","Comunidad de Madrid","100","5"
"2020/03/24 1:13:01 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/24 1:16:22 PM GMT+1","Castilla-La Mancha","500","0"
"2020/03/24 1:21:53 PM GMT+1","Comunidad de Madrid","100","2"
