"","countrycode","regioncode","population_region","estprop_regs","meanprop_regs","sumreach_regs","meanprop_regs_agg","estprop_regs_agg","population_country","estprop_country","meanprop_country","sumreach_country","estprop_country_rhs","meanprop_country_rhs","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg"
"1","BR","BRAC",803513,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"2","BR","BRAL",3340932,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"3","BR","BRAM",3938336,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"4","BR","BRAP",766679,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"5","BR","BRBA",15203934,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"6","BR","BRCE",8904459,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"7","BR","BRDF",2914830,0,0,183,0,0,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"8","BR","BRES",3929911,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"9","BR","BRFN",3061,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"10","BR","BRGO",6610681,NA,NA,36,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"11","BR","BRMA",6904241,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"12","BR","BRMG",20869101,NA,NA,150,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"13","BR","BRMS",2651235,NA,NA,10,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"14","BR","BRMT",3265486,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"15","BR","BRPA",8175113,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"16","BR","BRPB",3972202,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"17","BR","BRPE",9345173,NA,NA,30,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"18","BR","BRPI",3204028,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"19","BR","BRPR",11163018,0.0289256198347107,0.0462857142857143,242,0.0462857142857143,0.0289256198347107,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"20","BR","BRRJ",16550024,NA,NA,17,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"21","BR","BRRN",3442175,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"22","BR","BRRO",1768204,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"23","BR","BRRR",505665,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"24","BR","BRRS",11247972,NA,NA,50,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"25","BR","BRSC",6819190,0,0,180,0,0,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"26","BR","BRSE",2242937,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"27","BR","BRSP",44396484,0.0105428443248093,0.0205641074611663,4458,0.0205641074611663,0.0105428443248093,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
"28","BR","BRTO",1515126,NA,NA,0,NA,NA,204453710,0.00482315112540193,0.0015,622,0.00386866266333304,0.0069925966595971,5356,0.00642110199210473,0.00396797544744259
