Timestamp,Death*400,CCFR,Coronasurveys
10/03/2020,0,0,
11/03/2020,0,0,
12/03/2020,0,0,
13/03/2020,0,0,
14/03/2020,0,0,
15/03/2020,0,0,
16/03/2020,0,0,
17/03/2020,0,0,
18/03/2020,0,0,
19/03/2020,0,0,
20/03/2020,0,0,
21/03/2020,0,0,440.2583
22/03/2020,0,0,
23/03/2020,0,0,
24/03/2020,1200,806.1333,677.2924
25/03/2020,1200,715.8535,
26/03/2020,1200,671.5406,
27/03/2020,2000,1070.5549,
28/03/2020,2000,1031.7873,593.9333
29/03/2020,2400,1301.9096,
30/03/2020,2800,1440.2135,809.9091
31/03/2020,3200,1655.1344,
01/04/2020,,,1099.8765
