"","date","r_c","r_r","r_r_recent","I_c_p_w_country","I_c_p_m_country","I_c_recent_p_w_country","I_c_recent_p_m_country","I_r_p_w_country","I_r_p_m_country","I_r_recent_p_w_country","I_r_recent_p_m_country","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","2020/03/19",4788,0,0,0.0277777777777778,0.0317427772600186,NA,NA,0,0,0,0,0.0277777777777778,0.0317427772600186,NA,NA
"2","2020/03/20",4744,0,0,0.0271922428330523,0.0281154214559387,NA,NA,0,0,0,0,0.0271922428330523,0.0281154214559387,NA,NA
"3","2020/03/22",4705,2810,0,0.0255047821466525,0.0272576812555261,NA,NA,0.0310879531484302,0.0270387032809565,0,0,0.0275924349097923,0.0271758012676963,NA,NA
"4","2020/03/23",4705,2710,0,0.0255047821466525,0.0272576812555261,NA,NA,0.0287630156564665,0.027790914273744,0,0,0.0266955863019587,0.0274525647996084,NA,NA
"5","2020/03/24",4705,3495,0,0.0316684378320935,0.0313731730315889,NA,NA,0.0325402423804036,0.042637320177326,0,0,0.0320400179414037,0.036174172333339,NA,NA
"6","2020/03/25",4765,5340,0,0.032109129066107,0.0285764944275583,NA,NA,0.0343608709456295,0.0322451401880717,0,0,0.0332990649034796,0.0305151949086213,NA,NA
"7","2020/03/26",4705,5302,0,0.0301806588735388,0.0274859190988223,NA,NA,0.0436662799722735,0.0492856350946267,0,0,0.03732573362776,0.0390360434327641,NA,NA
"8","2020/03/27",4730,5366,0,0.0319238900634249,0.0292063492063492,NA,NA,0.0426339607185816,0.0484794110097733,0,0,0.0376162671568848,0.0394499357393498,NA,NA
"9","2020/03/28",4708,5224,0,0.0375955819881054,0.0319674185463659,NA,NA,0.0362226291129363,0.0440924421418335,0,0,0.0368734408463531,0.0383448977310944,NA,NA
"10","2020/03/29",4721,5328,0,0.0436348231306926,0.044218462823726,NA,NA,0.0317207460069275,0.0382284080705773,0,0,0.0373179554905871,0.0410425237526964,NA,NA
"11","2020/03/30",4723,5270,0,0.048486131695956,0.0505976747424116,NA,NA,0.0251380544308609,0.0289900098937367,0,0,0.0361730758381504,0.0392024587159414,NA,NA
"12","2020/03/31",4769,5364,0,0.0593415810442441,0.0585289875632477,NA,NA,0.0239145961617034,0.0346627210799901,0,0,0.0405879693882737,0.04589515223154,NA,NA
"13","2020/04/01",4774,5388,0,0.0689149560117302,0.0674430065548487,NA,NA,0.0409585002139057,0.048288188369513,0,0,0.0540921471317186,0.0572869191328266,NA,NA
"14","2020/04/02",4705,5254,0,0.0716259298618491,0.0714308608058608,NA,NA,0.0416746836859293,0.0443945789828958,0,0,0.0558247603259235,0.057167518633167,NA,NA
"15","2020/04/03",4705,5202,0,0.0782146652497343,0.077077497665733,NA,NA,0.0438169011304633,0.047450315937204,0,0,0.060152974632146,0.0615207600709205,NA,NA
"16","2020/04/04",4765,5257,0,0.0793284365162644,0.0768772893772894,NA,NA,0.0354987973249341,0.0352815078879511,0,0,0.0563377746494889,0.0550583886299883,NA,NA
"17","2020/04/05",4734,5490,0,0.0804816223067174,0.0778501363331085,NA,NA,0.0344447849954355,0.0358003444612834,0,0,0.0557611374828776,0.0552705825991179,NA,NA
"18","2020/04/06",4799,5431,0,0.0758491352365076,0.0713826604538679,NA,NA,0.03703907082242,0.038857182337187,0,0,0.0552452779703385,0.0541152243197825,NA,NA
"19","2020/04/07",4748,5374,0,0.0791912384161752,0.0743754365116594,NA,NA,0.0354135072772246,0.0399754396272108,0,0,0.0559486453376611,0.0561116958223661,NA,NA
"20","2020/04/08",4703,5490,0,0.0782479268551988,0.0700534214323688,NA,NA,0.0385786162625836,0.0443906214151951,0,0,0.0568818408007048,0.0562313109551508,NA,NA
"21","2020/04/09",4833,5250,0,0.0645561762880199,0.0591676671281934,NA,NA,0.0630265362717923,0.0639883611547048,0,0,0.0637597258183983,0.0616776982339343,NA,NA
