"","countriesAndTerritories","geoId","date","cases","deaths","cum_cases","cum_deaths","cum_deaths_400","est_ccfr","est_ccfr_low","est_ccfr_high","sample_size","mean_cases","mean_reach","dunbar_reach","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_error","cases_p_reach_prop","cases_p_reach_prop_median","estimated_cases","estimate_cases_low","estimate_cases_high","estimate_cases_error","prop_cases","dunbar_cases","prop_cases_low","prop_cases_high","prop_cases_error","dunbar_cases_low","dunbar_cases_high","dunbar_cases_error"
"1","Ghana","GH","2020/03/13",2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Ghana","GH","2020/03/15",0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Ghana","GH","2020/03/16",0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ghana","GH","2020/03/17",4,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ghana","GH","2020/03/18",0,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Ghana","GH","2020/03/19",1,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ghana","GH","2020/03/20",4,0,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ghana","GH","2020/03/21",5,0,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ghana","GH","2020/03/22",5,1,21,1,400,608.871881390495,228.085002327618,1625.38073159013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Ghana","GH","2020/03/23",3,0,24,1,400,491.838328759992,112.872692540497,2143.16621844234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Ghana","GH","2020/03/24",3,1,27,2,800,803.579522998978,445.495282460661,1449.48796363581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Ghana","GH","2020/03/25",26,0,53,2,800,1193.03782863422,619.575956924508,2297.27968725179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Ghana","GH","2020/03/26",15,1,68,3,1200,1730.04885874907,1117.06487839313,2679.40485065148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Ghana","GH","2020/03/27",64,0,132,3,1200,2450.30835325092,1498.28988583319,4007.2425788768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Ghana","GH","2020/03/28",5,0,137,3,1200,1776.8560884832,1035.5336016946,3048.87987604959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Ghana","GH","2020/03/29",4,2,141,5,2000,2104.66427944592,1540.23213240098,2875.93774729952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Ghana","GH","2020/03/30",11,0,152,5,2000,1658.71861584246,1187.14329900921,2317.62033179869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Ghana","GH","2020/03/31",0,0,152,5,2000,1288.39459083453,909.453728535612,1825.2282327376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Ghana","GH","2020/04/01",0,0,152,5,2000,1050.5889524222,735.763699835526,1500.12449268468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Ghana","GH","2020/04/02",43,0,195,5,2000,1144.32729926219,796.554571804057,1643.93629035476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Ghana","GH","2020/04/03",9,0,204,5,2000,1039.67374860715,720.812018485513,1499.58862480394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Ghana","GH","2020/04/04",1,0,205,5,2000,914.727026377259,632.028018548623,1323.87411353443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Ghana","GH","2020/04/05",9,0,214,5,2000,845.874897318748,582.766346122556,1227.77223955127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Ghana","GH","2020/04/06",0,0,214,5,2000,759.847047301179,522.405106117345,1105.21035979811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Ghana","GH","2020/04/07",73,0,287,5,2000,927.572464682945,636.625408568267,1351.4865502666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Ghana","GH","2020/04/08",0,0,287,5,2000,847.490918050711,580.753029920524,1236.74060947513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Ghana","GH","2020/04/09",26,1,313,6,2400,1009.13682798187,737.165906201867,1381.44904562425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Ghana","GH","2020/04/10",65,0,378,6,2400,1110.36153515571,810.075968636098,1521.95940441134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Ghana","GH","2020/04/11",0,0,378,6,2400,1009.87011022372,735.864043048078,1385.90497682007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Ghana","GH","2020/04/12",30,2,408,8,3200,1319.15649217465,1041.90705264581,1670.18146813342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Ghana","GH","2020/04/13",158,0,566,8,3200,1667.19556875238,1315.48137036918,2112.94597329608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Ghana","GH","2020/04/14",0,0,566,8,3200,1510.79736010127,1190.98456319575,1916.48887300801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
