"","countriesAndTerritories","geoId","date","cases","deaths","cum_cases","cum_deaths","cum_deaths_400","est_ccfr","sample_size","mean_cases","mean_reach","dunbar_reach","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_error","cases_p_reach_prop","cases_p_reach_prop_median","estimated_cases","estimate_cases_low","estimate_cases_high","estimate_cases_error","prop_cases","dunbar_cases"
"1","Panama","PA","2020/03/10",1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Panama","PA","2020/03/11",6,1,7,1,400,32762.9962314948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Panama","PA","2020/03/12",7,0,14,1,400,6518.63965892646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Panama","PA","2020/03/13",13,0,27,1,400,3186.78857941189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Panama","PA","2020/03/14",9,0,36,1,400,1612.23548391378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Panama","PA","2020/03/15",7,0,43,1,400,929.753500020807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Panama","PA","2020/03/16",0,0,43,1,400,539.666182029883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Panama","PA","2020/03/17",26,0,69,1,400,577.68069804033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Panama","PA","2020/03/18",17,0,86,1,400,516.229127696794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Panama","PA","2020/03/19",23,0,109,1,400,478.736753971222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Panama","PA","2020/03/20",28,0,137,1,400,448.539557336904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Panama","PA","2020/03/21",63,0,200,1,400,496.143820939058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Panama","PA","2020/03/22",45,2,245,3,1200,1384.40135007918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Panama","PA","2020/03/23",68,0,313,3,1200,1339.44435367839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Panama","PA","2020/03/24",32,3,345,6,2400,2252.4641423763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Panama","PA","2020/03/25",98,0,443,6,2400,2244.26294004903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Panama","PA","2020/03/26",145,0,588,6,2400,2355.27144819341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Panama","PA","2020/03/27",86,3,674,9,3600,3213.3554721202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Panama","PA","2020/03/28",112,5,786,14,5600,4638.56621302529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Panama","PA","2020/03/29",115,3,901,17,6800,5199.6044471156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Panama","PA","2020/03/30",88,7,989,24,9600,6581.31452685082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Panama","PA","2020/03/31",86,2,1075,26,10400,6431.18679003837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Panama","PA","2020/04/01",106,4,1181,30,12000,6884.03253955246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Panama","PA","2020/04/02",136,2,1317,32,12800,7025.81192838134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Panama","PA","2020/04/03",158,5,1475,37,14800,7901.97315439806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Panama","PA","2020/04/04",198,4,1673,41,16400,8696.74314232777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Panama","PA","2020/04/05",128,5,1801,46,18400,9242.20119818851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Panama","PA","2020/04/06",187,8,1988,54,21600,10582.4418790812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Panama","PA","2020/04/07",112,1,2100,55,22000,10114.2789000276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
