Timestamp,Region,Reach,Cases
"2020/03/23 1:17:21 PM GMT+1",Midlothian,10,2
"2020/03/23 1:18:38 PM GMT+1",Fife,12,
"2020/03/23 1:18:44 PM GMT+1","East Lothian",40,
"2020/03/23 1:19:41 PM GMT+1",Midlothian,20,
"2020/03/23 1:19:50 PM GMT+1",Midlothian,20,2
"2020/03/23 1:19:55 PM GMT+1",Peebleshire,15,
"2020/03/23 1:20:23 PM GMT+1",Midlothian,40,
"2020/03/23 1:20:24 PM GMT+1",Midlothian,40,3
"2020/03/23 1:20:35 PM GMT+1","East Lothian",10,
"2020/03/23 1:21:24 PM GMT+1",Fife,20,
"2020/03/23 1:21:46 PM GMT+1",Fife,5,
"2020/03/23 1:22:19 PM GMT+1","East Lothian",4,
"2020/03/23 1:22:54 PM GMT+1",Sussex,20,5
"2020/03/23 1:24:06 PM GMT+1","Entire country",15,5
"2020/03/23 1:24:40 PM GMT+1","East Lothian",50,2
"2020/03/23 1:25:30 PM GMT+1",Cornwall,20,
"2020/03/23 1:27:43 PM GMT+1",Hamshire,15,1
"2020/03/23 1:27:49 PM GMT+1",Cambridgeshire,5,
"2020/03/23 1:27:54 PM GMT+1","East Lothian",15,
"2020/03/23 1:30:12 PM GMT+1",Midlothian,45,
"2020/03/23 1:32:38 PM GMT+1",Midlothian,15,
"2020/03/23 1:33:06 PM GMT+1",Somerset,4,1
"2020/03/23 1:39:00 PM GMT+1",Midlothian,40,
"2020/03/23 1:41:43 PM GMT+1",Midlothian,40,
"2020/03/23 1:42:54 PM GMT+1",Midlothian,10,1
"2020/03/23 1:45:04 PM GMT+1",Midlothian,25,
"2020/03/23 1:53:30 PM GMT+1",Midlothian,15,
"2020/03/23 1:54:19 PM GMT+1","West Lothian",150,
"2020/03/23 1:57:23 PM GMT+1",Midlothian,6,1
"2020/03/23 1:58:58 PM GMT+1",Fife,10,
"2020/03/23 2:03:31 PM GMT+1",Midlothian,3,
"2020/03/23 2:04:38 PM GMT+1",Fife,30,
"2020/03/23 2:06:06 PM GMT+1",Midlothian,20,
"2020/03/23 2:10:56 PM GMT+1",Midlothian,8,1
"2020/03/23 2:17:49 PM GMT+1",Midlothian,15,
"2020/03/23 2:23:29 PM GMT+1",Midlothian,20,
"2020/03/23 2:24:43 PM GMT+1","East Lothian",10,
"2020/03/23 2:27:10 PM GMT+1",Midlothian,34,2
"2020/03/23 2:27:22 PM GMT+1",Midlothian,20,
"2020/03/23 2:32:54 PM GMT+1",Midlothian,50,10
"2020/03/23 2:37:14 PM GMT+1",Lanarkshire,100,3
"2020/03/23 2:41:16 PM GMT+1",Midlothian,50,1
"2020/03/23 2:44:48 PM GMT+1",Midlothian,40,2
"2020/03/23 2:45:01 PM GMT+1",Midlothian,21,1
"2020/03/23 3:08:11 PM GMT+1",Midlothian,200,2
"2020/03/23 3:12:18 PM GMT+1",Midlothian,100,
"2020/03/23 3:41:08 PM GMT+1","City of Edinburgh",10,
"2020/03/23 3:41:59 PM GMT+1","West Lothian",20,
"2020/03/23 3:50:20 PM GMT+1","City of Edinburgh",3,
"2020/03/23 3:53:20 PM GMT+1",Scotland,8,
"2020/03/23 3:53:39 PM GMT+1","West Midlands",20,
"2020/03/23 4:26:26 PM GMT+1","City of Edinburgh",50,
"2020/03/23 4:33:08 PM GMT+1",Midlothian,6,
"2020/03/23 4:55:53 PM GMT+1","City of Glasgow",4,
"2020/03/23 5:17:24 PM GMT+1","Greater London",50,1
"2020/03/23 5:23:38 PM GMT+1","City of Edinburgh",20,
"2020/03/23 5:33:42 PM GMT+1","Greater London",200,
"2020/03/23 5:34:15 PM GMT+1",Cambridgeshire,5,
"2020/03/23 5:42:02 PM GMT+1",Hertfordshire,1,
"2020/03/23 5:51:33 PM GMT+1","Greater London",20,1
"2020/03/23 6:06:54 PM GMT+1","West Yorkshire",300,1
"2020/03/23 6:24:23 PM GMT+1",Scotland,10,
"2020/03/23 6:27:06 PM GMT+1","City of Edinburgh",100,
"2020/03/23 6:50:28 PM GMT+1",Highland,40,
"2020/03/23 6:51:15 PM GMT+1","West Lothian",15,2
"2020/03/23 8:33:34 PM GMT+1",England,50,
"2020/03/23 9:02:21 PM GMT+1","North Lanarkshire",5,
"2020/03/23 10:33:11 PM GMT+1","City of Glasgow",20,2
"2020/03/24 12:03:47 AM GMT+1","City of Edinburgh",8,
"2020/03/24 1:46:00 AM GMT+1","City of Edinburgh",20,
"2020/03/24 3:19:39 AM GMT+1","City of Edinburgh",10,2
"2020/03/24 1:18:36 PM GMT+1",England,12,
"2020/03/24 3:55:15 PM GMT+1","East Lothian",2,
"2020/03/24 4:26:04 PM GMT+1",Scotland,50,5
"2020/03/24 4:32:56 PM GMT+1","City of Edinburgh",100,2
"2020/03/24 4:58:22 PM GMT+1","City of Edinburgh",4,
"2020/03/25 8:10:35 PM GMT+1","City of London",50,2
"2020/03/26 9:21:04 AM GMT+1","City of Glasgow",20,2
"2020/03/26 9:39:27 AM GMT+1",Midlothian,100,
"2020/03/26 9:44:29 AM GMT+1",Scotland,12,
"2020/03/26 9:47:25 AM GMT+1","East Lothian",2,
"2020/03/26 9:48:23 AM GMT+1","West Lothian",5,
"2020/03/26 10:17:24 AM GMT+1","City of Edinburgh",20,
"2020/03/26 10:22:15 AM GMT+1",Fife,14,
"2020/03/26 10:28:00 AM GMT+1","City of Edinburgh",100,
"2020/03/26 10:36:59 AM GMT+1","City of Edinburgh",100,2
"2020/03/26 10:38:54 AM GMT+1",Midlothian,25,
"2020/03/26 11:07:43 AM GMT+1",Cambridgeshire,4,2
"2020/03/26 11:15:33 AM GMT+1","Entire country",100,7
"2020/03/26 11:22:44 AM GMT+1",Midlothian,45,
"2020/03/26 11:35:31 AM GMT+1",Scotland,50,1
"2020/03/26 12:09:16 PM GMT+1",Midlothian,30,2
"2020/03/26 1:04:53 PM GMT+1","City of Edinburgh",20,
"2020/03/26 1:35:36 PM GMT+1",Midlothian,30,
"2020/03/26 2:17:38 PM GMT+1",Midlothian,4,
"2020/03/26 2:25:15 PM GMT+1","City of Edinburgh",20,2
"2020/03/26 2:35:43 PM GMT+1","City of Edinburgh",25,
"2020/03/26 10:13:55 PM GMT+1","Entire country",20,3
"2020/03/27 10:07:31 AM GMT+1","East Lothian",20,
"2020/03/27 10:23:31 AM GMT+1",Scotland,30,
"2020/03/27 12:58:41 PM GMT+1",Scotland,50,
"2020/03/30 2:00:21 AM GMT+2","City of London",40,2
"2020/03/30 5:14:11 PM GMT+2",Cambridgeshire,15,
