Timestamp,Starttime,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
"2020/03/23 10:02:56 PM UTC",,Netherlands,NL,"North Holland",,,20,3,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/23 10:14:33 PM UTC",,Netherlands,NL,"North Holland",,,6,0,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 03:57:42 PM UTC",,Netherlands,NL,"North Holland",,,30,0,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 04:34:46 PM UTC",,Netherlands,NL,"North Holland",,,110,10,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 04:35:55 PM UTC",,Netherlands,NL,"North Holland",,,150,20,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 04:44:46 PM UTC",,Netherlands,NL,"North Holland",,,500,1,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 04:50:06 PM UTC",,Netherlands,NL,"North Holland",,,60,3,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 06:19:01 PM UTC",,Netherlands,NL,"North Holland",,,150,1,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 06:49:56 PM UTC",,Netherlands,NL,,,,250,2,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 09:00:39 AM UTC",,Netherlands,NL,"North Holland",,,15,0,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 09:43:02 AM UTC",,Netherlands,NL,"North Holland",,,50,0,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/24 11:40:51 AM UTC",,Netherlands,NL,"North Holland",,,100,1,,,,,,,,,,,,,NL-raw-csv,,
"2020/03/31 09:59:39 PM UTC",,Netherlands,NL,"North Holland",,,20,2,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/01 01:09:53 PM UTC",,Netherlands,NL,"North Holland",,,10,0,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/01 01:23:18 PM UTC",,Netherlands,NL,"North Holland",,,4,0,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/01 08:36:29 AM UTC",,Netherlands,NL,"North Holland",,,10,0,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/01 09:48:15 AM UTC",,Netherlands,NL,"North Holland",,,50,4,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/01 10:46:06 AM UTC",,Netherlands,NL,"North Holland",,,10,2,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/01 11:36:49 AM UTC",,Netherlands,NL,"North Holland",,,20,0,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/02 04:34:55 PM UTC",,Netherlands,NL,"South Holland",,,100,2,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/04 09:49:02 AM UTC",,Netherlands,NL,"North Holland",,,20,3,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/06 08:10:53 PM UTC",,Netherlands,NL,,,,200,2,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/07 11:06:03 AM UTC",,Netherlands,NL,"North Holland",,,100,0,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/09 06:57:16 AM UTC",,Netherlands,NL,"North Brabant",,,100,3,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/09 06:57:55 PM UTC",,Netherlands,NL,Utrecht,NLUT,,15,0,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/12 12:25:00 PM UTC",,Netherlands,NL,"North Holland",,,15,2,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/14 08:09:52 PM UTC",,Netherlands,NL,"South Holland",,,50,0,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/16 08:47:09 AM UTC",,Netherlands,NL,,,,100,3,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/16 09:01:57 AM UTC",,Netherlands,NL,,,,50,1,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/25 01:44:00 PM UTC",,Netherlands,NL,,,,50,0,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/28 07:38:06 AM UTC",,Netherlands,NL,"South Holland",,,100,10,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/28 07:40:01 AM UTC",,Netherlands,NL,"South Holland",,,100,0,,,,,,,,,,,,,NL-g-sheet,,
"2020/04/28 11:15:41 AM UTC",,Netherlands,NL,"North Holland",,,100,2,,,,,,,,,,,,,NL-g-sheet,,
