Timestamp,Region,Reach,Cases
"2020/03/22 12:49:50 PM GMT",Açores,100,
"2020/03/22 12:56:01 PM GMT","Todo o país",100,
"2020/03/22 1:00:06 PM GMT",Porto,100,
"2020/03/22 1:01:01 PM GMT",Braga,50,
"2020/03/22 1:02:41 PM GMT",Porto,100,
"2020/03/22 1:03:34 PM GMT",Porto,400,
"2020/03/22 1:07:19 PM GMT",Porto,100,1
"2020/03/22 1:20:48 PM GMT",Braga,100,
"2020/03/22 1:22:41 PM GMT",Porto,5,
"2020/03/22 1:25:18 PM GMT",Braga,200,1
"2020/03/22 1:30:31 PM GMT",Porto,100,
"2020/03/22 1:30:46 PM GMT","Viana do Castelo",30,
"2020/03/22 1:47:34 PM GMT",Braga,100,
"2020/03/22 1:47:54 PM GMT",Porto,200,
"2020/03/22 2:04:27 PM GMT",Porto,1000,
"2020/03/22 2:06:06 PM GMT",Viseu,120,
"2020/03/22 2:08:04 PM GMT",Braga,200,
"2020/03/22 2:32:24 PM GMT",Braga,60,
"2020/03/22 2:44:40 PM GMT",Aveiro,"200 ",
"2020/03/22 2:54:56 PM GMT",Braga,100,
"2020/03/22 2:58:10 PM GMT",Porto,200,
"2020/03/22 3:09:13 PM GMT",Porto,50,
"2020/03/22 3:09:56 PM GMT",Braga,50,
"2020/03/22 3:10:00 PM GMT",Porto,60,3
"2020/03/22 3:19:47 PM GMT",Braga,20,
"2020/03/22 3:22:26 PM GMT",Porto,100,
"2020/03/22 3:42:59 PM GMT",Porto,300,4
"2020/03/22 3:52:50 PM GMT",Faro,100,
"2020/03/22 3:58:22 PM GMT",Braga,5000,
"2020/03/22 3:58:33 PM GMT","Viana do Castelo",100,
"2020/03/22 4:17:34 PM GMT",Braga,2000,
"2020/03/22 4:19:24 PM GMT",Lisboa,80,1
"2020/03/22 4:35:39 PM GMT",Braga,1000,2
"2020/03/22 4:38:40 PM GMT",Braga,30,
"2020/03/22 4:40:02 PM GMT",Porto,100,
"2020/03/22 4:50:26 PM GMT",Braga,20,
"2020/03/22 4:52:11 PM GMT","Vila Real",12,
"2020/03/22 5:10:10 PM GMT",Porto,200,
"2020/03/22 5:13:27 PM GMT",Lisboa," 300",1
"2020/03/22 5:24:27 PM GMT",Porto,100,
"2020/03/22 5:25:42 PM GMT",Porto,100,
"2020/03/22 5:32:54 PM GMT",Braga,100,
"2020/03/22 5:34:07 PM GMT",Braga,100,
"2020/03/22 5:49:26 PM GMT",Setúbal,200,
"2020/03/22 5:49:41 PM GMT",Porto,20,
"2020/03/22 6:04:00 PM GMT","Viana do Castelo",1000,
"2020/03/22 6:07:39 PM GMT",Braga,1000,
"2020/03/22 6:13:15 PM GMT",Braga,250,
"2020/03/22 6:13:32 PM GMT",Porto,100,
"2020/03/22 6:16:31 PM GMT",Braga,500,
"2020/03/22 6:20:20 PM GMT",Porto,200,1
"2020/03/22 6:28:37 PM GMT",Porto,100,
"2020/03/22 6:48:45 PM GMT",Aveiro,50,2
"2020/03/22 7:16:23 PM GMT",Braga,15,
"2020/03/22 7:37:30 PM GMT",Faro,30,
"2020/03/22 7:39:39 PM GMT",Porto,100,
"2020/03/22 7:42:32 PM GMT",Porto,100,2
"2020/03/22 8:10:37 PM GMT",Braga,30,
"2020/03/22 8:17:51 PM GMT",Lisboa,500,1
"2020/03/22 8:25:50 PM GMT",Faro,100,
"2020/03/22 8:42:44 PM GMT","Viana do Castelo",100,
"2020/03/22 9:43:03 PM GMT",Lisboa,100,
"2020/03/22 9:46:46 PM GMT",Beja,20,
"2020/03/22 9:57:45 PM GMT",Beja,100,
"2020/03/22 10:00:41 PM GMT",Beja,100,
"2020/03/22 10:13:04 PM GMT",Braga,50,
"2020/03/22 10:16:13 PM GMT",Braga,30,1
"2020/03/22 10:19:01 PM GMT",Braga,3,2
"2020/03/22 10:22:33 PM GMT",Braga,20,
"2020/03/22 10:23:05 PM GMT",Braga,100,3
"2020/03/22 10:24:41 PM GMT",Lisboa,250,3
"2020/03/22 10:25:15 PM GMT","Viana do Castelo",100,
"2020/03/22 10:26:58 PM GMT",Faro,200,
"2020/03/22 10:27:24 PM GMT",Braga,300,
"2020/03/22 10:31:59 PM GMT",Braga,300,5
"2020/03/22 10:32:30 PM GMT",Beja,5,5
"2020/03/22 10:48:19 PM GMT",Beja,100,
"2020/03/22 11:18:08 PM GMT",Braga,120,
"2020/03/22 11:31:31 PM GMT",Braga,300,
"2020/03/22 11:33:55 PM GMT",Beja,100,
"2020/03/22 11:46:21 PM GMT",Braga,1000,5
"2020/03/22 11:47:23 PM GMT",Porto,50,2
"2020/03/22 11:49:37 PM GMT",Lisboa,20,
"2020/03/22 11:49:42 PM GMT",Porto,150,
"2020/03/22 11:51:22 PM GMT",Braga,100,
"2020/03/22 11:52:26 PM GMT",Porto,200,
"2020/03/22 11:59:10 PM GMT",Lisboa,50,
"2020/03/22 11:59:26 PM GMT",Lisboa,60,
"2020/03/23 12:00:48 AM GMT",Porto,120,
"2020/03/23 12:08:10 AM GMT",Évora,100,2
"2020/03/23 12:08:52 AM GMT",Beja,1000,1
"2020/03/23 12:09:19 AM GMT",Beja,500,
"2020/03/23 12:13:40 AM GMT",Lisboa,100,
"2020/03/23 12:21:54 AM GMT",Braga,70,
"2020/03/23 12:25:21 AM GMT",Beja,500,
"2020/03/23 12:28:31 AM GMT",Braga,5000,2
"2020/03/23 12:49:46 AM GMT",Faro,50,
"2020/03/23 12:51:23 AM GMT",Lisboa,80,
"2020/03/23 1:10:19 AM GMT","Todo o país",150,
"2020/03/23 1:10:43 AM GMT","Todo o país",100,
"2020/03/23 1:13:16 AM GMT",Porto,100,
"2020/03/23 1:17:20 AM GMT","Todo o país",50,
"2020/03/23 1:18:21 AM GMT",Beja,80,
"2020/03/23 1:31:43 AM GMT",Braga,200,
"2020/03/23 1:32:47 AM GMT",Beja,100,
"2020/03/23 1:39:03 AM GMT",Beja,500,
"2020/03/23 1:46:32 AM GMT",Porto,100,
"2020/03/23 2:04:26 AM GMT",Porto,50,
"2020/03/23 2:22:03 AM GMT",Faro,50,
"2020/03/23 2:49:19 AM GMT",Braga,300,
"2020/03/23 3:18:37 AM GMT",Beja,50,
"2020/03/23 3:18:49 AM GMT","Todo o país",100,
"2020/03/23 3:24:21 AM GMT",Porto,25,3
"2020/03/23 3:28:01 AM GMT","Viana do Castelo",500,1
"2020/03/23 3:38:59 AM GMT",Lisboa,60,
"2020/03/23 4:06:28 AM GMT",Braga,100,
"2020/03/23 4:48:54 AM GMT",Lisboa,20,
