Timestamp,Πόσα άτομα γνωρίζετε στην Κύπρο για τα οποία πιθανόν να είστε ενήμεροι για την τρέχουσα κατάσταση της υγείας τους;,"Εξ όσων γνωρίζετε, πόσα απο τα πιο πάνω άτομα έχουν παρουσιάσει συμπτώματα του #COVID19, ή έχουν διαγνωστεί με την ασθένεια; [εισάγετε 0 για κανένα]",
2020/03/31 8:36:03 PM GMT+3,,50,0
2020/03/31 8:37:30 PM GMT+3,,23,0
2020/03/31 8:39:00 PM GMT+3,,10,1
2020/03/31 8:39:08 PM GMT+3,,60,0
2020/03/31 8:39:20 PM GMT+3,,40,0
2020/03/31 8:47:54 PM GMT+3,,100,2
2020/03/31 9:09:07 PM GMT+3,,30,0
2020/03/31 9:13:39 PM GMT+3,,100,6
2020/03/31 9:14:44 PM GMT+3,,20,0
2020/03/31 9:21:55 PM GMT+3,,10,0
2020/03/31 9:33:06 PM GMT+3,,20,1
2020/03/31 9:36:46 PM GMT+3,,400,0
2020/03/31 9:40:09 PM GMT+3,,100,0
2020/03/31 9:45:26 PM GMT+3,,40,0
2020/03/31 10:36:28 PM GMT+3,,7,0
2020/03/31 10:49:28 PM GMT+3,,9,0
2020/03/31 10:53:25 PM GMT+3,,15,0
2020/03/31 10:55:05 PM GMT+3,,8,0
2020/03/31 11:16:17 PM GMT+3,,80000,5
2020/03/31 11:56:11 PM GMT+3,,15,0
2020/04/01 2:45:49 AM GMT+3,,30,0
2020/04/01 9:26:50 AM GMT+3,,40,0
2020/04/01 9:47:46 AM GMT+3,,100,0
2020/04/01 11:00:13 AM GMT+3,,6,0
2020/04/01 11:14:19 AM GMT+3,,30,0
2020/04/01 11:48:34 AM GMT+3,,32,0
2020/04/01 12:01:56 PM GMT+3,,100,0
2020/04/01 1:30:46 PM GMT+3,,20,1
2020/04/01 5:34:37 PM GMT+3,,50,1
2020/04/01 5:39:29 PM GMT+3,,25,0
2020/04/01 5:52:35 PM GMT+3,,10,0
2020/04/01 6:21:03 PM GMT+3,,30,0
2020/04/01 6:44:26 PM GMT+3,,50,0
2020/04/01 8:25:50 PM GMT+3,,50,1
