"Timestamp","Veuillez choisir un département ou « Toute la France »","Combien de personnes connaissez-vous approximativement dans cette zone géographique ? ","À votre connaissance, combien des personnes ci-dessus présentent des symptômes compatibles avec la COVID-19 (ou ont été diagnostiquées avec cette maladie) ? "
"2020/03/22 4:52:34 pm CET","29 Finistère","60","1"
"2020/03/22 5:44:45 pm CET","29 Finistère","200","0"
"2020/03/22 5:59:13 pm CET","91 Essonne","100","4"
"2020/03/22 6:10:09 pm CET","91 Essonne","30","0"
"2020/03/22 6:12:28 pm CET","35 Ille-et-Vilaine","300","0"
"2020/03/22 6:36:26 pm CET","35 Ille-et-Vilaine","30","0"
"2020/03/22 7:56:24 pm CET","35 Ille-et-Vilaine","30","1"
"2020/03/22 8:01:53 pm CET","91 Essonne","4","0"
"2020/03/22 9:28:35 pm CET","35 Ille-et-Vilaine","30","0"
"2020/03/22 9:29:45 pm CET","59 Nord","150","1"
"2020/03/22 9:52:02 pm CET","35 Ille-et-Vilaine","200","2"
"2020/03/22 9:54:29 pm CET","Toute la France","20","3"
"2020/03/22 10:20:01 pm CET","91 Essonne","2","0."
"2020/03/22 10:31:48 pm CET","35 Ille-et-Vilaine","20","0."
"2020/03/22 10:37:13 pm CET","01 Ain","50","0"
"2020/03/22 10:49:49 pm CET","35 Ille-et-Vilaine","100","0."
"2020/03/22 10:56:52 pm CET","35 Ille-et-Vilaine","300","2"
"2020/03/22 11:07:06 pm CET","35 Ille-et-Vilaine","50","3"
"2020/03/22 11:12:51 pm CET","35 Ille-et-Vilaine","20","2"
"2020/03/22 11:13:24 pm CET","Toute la France","100","0"
"2020/03/22 11:17:59 pm CET","68 Haut-Rhin","100","3"
"2020/03/23 12:10:20 am CET","35 Ille-et-Vilaine","100","0"
"2020/03/23 12:39:19 am CET","35 Ille-et-Vilaine","100","0"
"2020/03/23 12:39:29 am CET","35 Ille-et-Vilaine","100","0"
"2020/03/23 2:07:19 am CET","Toute la France","100","3"
