"Timestamp","Per favore, scegli una regione","Quante persone conosci in questa area geografica?","Per quanto ne sai, quante persone tra quelle sopra hanno sintomi compatibili con COVID-19, o sono risultati positivi per questa malattia?"
"2020/03/29 1:07:53 PM GMT+2","Toscana","30","0"
"2020/03/29 1:20:47 PM GMT+2","Lombardia","100","4"
"2020/03/29 1:28:01 PM GMT+2","Basilicata","7","0"
"2020/03/29 1:28:07 PM GMT+2","Basilicata","7","0"
"2020/03/29 2:21:40 PM GMT+2","Lombardia","50","6"
"2020/03/29 2:29:06 PM GMT+2","Emilia-Romagna","60","0"
"2020/03/29 2:37:39 PM GMT+2","Lombardia","500","4"
"2020/03/29 2:41:18 PM GMT+2","Lombardia","20","0"
"2020/03/29 2:53:09 PM GMT+2","Trentino-Alto Adige","10","0"
"2020/03/29 2:53:45 PM GMT+2","Emilia-Romagna","50","1"
"2020/03/29 3:01:28 PM GMT+2","Emilia-Romagna","250","1"
"2020/03/29 3:10:36 PM GMT+2","Emilia-Romagna","70","0"
"2020/03/29 3:10:45 PM GMT+2","Lazio","40","1"
"2020/03/29 3:13:06 PM GMT+2","Sicilia","1000","0"
"2020/03/29 3:14:20 PM GMT+2","Emilia-Romagna","100","0"
"2020/03/29 3:19:54 PM GMT+2","Emilia-Romagna","30","10"
"2020/03/29 5:55:03 PM GMT+2","Tutta la nazione","100","3"
"2020/03/29 7:25:01 PM GMT+2","Veneto","200","0"
"2020/03/29 7:31:09 PM GMT+2","Lombardia","100","0"
"2020/03/29 7:45:41 PM GMT+2","Veneto","90","2"
"2020/03/29 9:33:51 PM GMT+2","Toscana","50","1"
"2020/03/29 10:52:23 PM GMT+2","Veneto","20","0"
"2020/03/29 11:03:36 PM GMT+2","Lombardia","80","2"
"2020/03/29 11:29:30 PM GMT+2","Emilia-Romagna","200","0"
"2020/03/30 5:03:31 AM GMT+2","Emilia-Romagna","20","0"
"2020/03/30 9:10:58 AM GMT+2","Veneto","50","0"
"2020/03/30 9:48:55 AM GMT+2","Veneto","20","2"
"2020/03/30 9:59:44 AM GMT+2","Liguria","400","1"
"2020/03/30 10:10:50 AM GMT+2","Veneto","180","0"
"2020/03/30 10:13:03 AM GMT+2","Emilia-Romagna","20","0"
"2020/03/30 10:33:11 AM GMT+2","Emilia-Romagna","20","0"
"2020/03/30 1:00:50 PM GMT+2","Veneto","10","0"
"2020/03/30 3:45:45 PM GMT+2","Marche","30","0"
"2020/03/30 3:46:39 PM GMT+2","Piemonte","30","0"
