"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"1","PT","PT01",714200,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"2","PT","PT02",152758,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"3","PT","PT03",848185,0.00909090909090909,0.0666666666666667,0,0,220,3,0.00909090909090909,0.0666666666666667,0,0,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"4","PT","PT04",136252,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"5","PT","PT05",196264,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"6","PT","PT06",430104,0,0,0,0,20,1,0,0,0,0,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"7","PT","PT07",166706,0,0,NA,NA,100,1,0,0,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"8","PT","PT08",451006,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"9","PT","PT09",160939,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"10","PT","PT10",470930,0.04,0.04,NA,NA,25,1,0.04,0.04,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"11","PT","PT11",2250533,0.0072463768115942,0.00833333333333333,0,0,138,5,0.0072463768115942,0.00833333333333333,0,0,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"12","PT","PT12",118506,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"13","PT","PT13",1817117,0.0625,0.0633333333333333,0,0,80,2,0.0625,0.0633333333333333,0,0,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"14","PT","PT14",453638,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"15","PT","PT15",851258,0,0,NA,NA,5,1,0,0,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"16","PT","PT16",244836,0,0,NA,NA,28,1,0,0,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"17","PT","PT17",206661,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"18","PT","PT18",377653,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"19","PT","PT20",245766,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
"20","PT","PT30",267785,NA,NA,NA,NA,0,0,NA,NA,NA,NA,10561097,0,NA,100,1,0.0220951001201045,616,0,458,0.0190091922821011,0
