"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1","2020/03/15",1,0,1,0,NA,NA,NA,97115
"2","2020/03/21",0,0,1,0,0,NA,NA,97115
"3","2020/03/22",0,0,1,0,0,NA,NA,97115
"4","2020/03/23",0,0,1,0,0,NA,NA,97115
"5","2020/03/24",0,0,1,0,0,NA,NA,97115
"6","2020/03/25",2,0,3,0,0,NA,NA,97115
"7","2020/03/26",0,0,3,0,0,NA,NA,97115
"8","2020/03/27",4,0,7,0,0,0,NA,97115
"9","2020/03/28",0,0,7,0,0,0,NA,97115
"10","2020/03/29",0,0,7,0,0,0,NA,97115
"11","2020/03/30",0,0,7,0,0,0,NA,97115
"12","2020/03/31",0,0,7,0,0,0,NA,97115
"13","2020/04/01",0,0,7,0,0,0,NA,97115
"14","2020/04/02",0,0,7,0,0,0,NA,97115
"15","2020/04/03",2,0,9,0,0,0,NA,97115
"16","2020/04/04",6,0,15,0,0,0,NA,97115
"17","2020/04/05",0,0,15,0,0,0,NA,97115
"18","2020/04/06",0,0,15,0,0,0,NA,97115
"19","2020/04/07",0,0,15,0,0,0,NA,97115
"20","2020/04/08",0,0,15,0,0,0,NA,97115
"21","2020/04/09",0,0,15,0,0,0,NA,97115
"22","2020/04/10",4,2,19,2,0.0034996994857221,0.00167495719561831,0.00731236387556889,97115
"23","2020/04/11",2,0,21,2,0.00355043426440664,0.00165360575273397,0.00762308878342459,97115
"24","2020/04/12",0,0,21,2,0.00324908390172208,0.00148065356270417,0.00712965305749832,97115
"25","2020/04/13",0,0,21,2,0.00297245225229387,0.00133066605617805,0.00663988710852381,97115
"26","2020/04/14",2,0,23,2,0.00299740720991185,0.00134183754430204,0.00669563168818982,97115
"27","2020/04/15",0,0,23,2,0.00277860049762927,0.00122555183813158,0.0062997096370857,97115
"28","2020/04/16",0,0,23,2,0.00258907046507023,0.00112769830227198,0.00594421917599225,97115
"29","2020/04/17",0,0,23,2,0.00242916696570164,0.00104671730705607,0.00563748407280325,97115
"30","2020/04/18",0,0,23,2,0.00229651339312207,0.000980364566280177,0.00537960463503919,97115
"31","2020/04/19",0,0,23,2,0.00218696760804762,0.000926006927704876,0.00516500165987294,97115
"32","2020/04/20",0,0,23,2,0.00209628654839357,0.000887610707686676,0.00495083853193784,97115
"33","2020/04/21",0,1,23,3,0.00303118440094592,0.00176654334611393,0.00520116242420543,97115
"34","2020/04/22",1,0,24,3,0.0030638919444755,0.00177420431140575,0.00529106697975721,97115
"35","2020/04/23",0,0,24,3,0.00297763358041216,0.00172425478179132,0.00514210651049316,97115
"36","2020/04/24",0,0,24,3,0.00289911713728085,0.00166919474770245,0.0050352903322062,97115
"37","2020/04/25",0,0,24,3,0.00282856727776884,0.00162857498334928,0.00491275681295954,97115
"38","2020/04/26",0,0,24,3,0.00276612440632828,0.0015926228958328,0.00480430380054529,97115
"39","2020/04/27",0,0,24,3,0.00271130581204604,0.00155302950310573,0.00473344465880001,97115
