"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"1533","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1532","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1531","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1530","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1529","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1528","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1527","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1526","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1525","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1524","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1523","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1522","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1521","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1520","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1519","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1518","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1517","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1516","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1515","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1514","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1513","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1512","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1511","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1510","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1509","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1508","2020/01/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1507","2020/01/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1506","2020/01/27",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1505","2020/01/28",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1504","2020/01/29",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1503","2020/01/30",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1502","2020/01/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1501","2020/02/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1500","2020/02/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1499","2020/02/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1498","2020/02/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1497","2020/02/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1496","2020/02/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1495","2020/02/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1494","2020/02/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1493","2020/02/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1492","2020/02/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1491","2020/02/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1490","2020/02/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1489","2020/02/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1488","2020/02/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1487","2020/02/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1486","2020/02/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1485","2020/02/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1484","2020/02/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1483","2020/02/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1482","2020/02/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
"1481","2020/02/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,2957728
