"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"930","2020/03/22",2,0,2,0,2,2,0,NA,NA,NA,6.2843085936129e-08,6.2843085936129e-08,0,31825299
"929","2020/03/23",0,0,2,0,0,2,0,0,NA,NA,0,6.2843085936129e-08,0,31825299
"928","2020/03/24",0,0,2,0,0,2,0,0,NA,NA,0,6.2843085936129e-08,0,31825299
"927","2020/03/25",0,0,2,0,0,2,0,0,NA,NA,0,6.2843085936129e-08,0,31825299
"926","2020/03/26",0,0,2,0,0,2,0,0,NA,NA,0,6.2843085936129e-08,0,31825299
"925","2020/03/27",1,0,3,0,1,3,0,0,0,NA,3.14215429680645e-08,9.42646289041935e-08,0,31825299
"924","2020/03/28",1,0,4,0,1,4,0,0,0,NA,3.14215429680645e-08,1.25686171872258e-07,0,31825299
"923","2020/03/29",0,0,4,0,0,4,0,0,0,NA,0,1.25686171872258e-07,0,31825299
"922","2020/03/30",3,2,7,2,3,7,0,0,NA,NA,9.42646289041935e-08,2.19950800776451e-07,0,31825299
"921","2020/03/31",0,0,7,2,0,7,0,0,NA,NA,0,2.19950800776451e-07,0,31825299
"920","2020/04/01",0,0,7,2,0,7,0,0,NA,NA,0,2.19950800776451e-07,0,31825299
"919","2020/04/02",1,0,8,2,65.0136315127774,72.0136315127774,64.0136315127774,1.63426289287092e-05,1.63117787924657e-05,1.63735374111894e-05,0.000132811706890144,2.2627794168651e-06,2.01140707312058e-06,31825299
"918","2020/04/03",0,0,8,2,0,70.0136315127774,64.0136315127774,1.36245144602812e-05,9.80913940877194e-06,1.89239225321246e-05,0,2.19993633092897e-06,2.01140707312058e-06,31825299
"917","2020/04/04",0,0,8,2,0,70.0136315127774,64.0136315127774,1.16365682952814e-05,8.3778927301131e-06,1.61627423569219e-05,0,2.19993633092897e-06,2.01140707312058e-06,31825299
"916","2020/04/05",2,0,10,2,81.0476583344703,151.061289847248,143.061289847248,1.27332123940878e-05,7.78597653593928e-06,2.08239386703203e-05,0.000103199704761627,4.74657880974654e-06,4.49520646600202e-06,31825299
"915","2020/04/06",4,0,14,2,143.990141317884,295.051431165132,283.051431165132,1.58353734433915e-05,9.68285474648401e-06,2.58972233558212e-05,0.000162866975709673,9.27097122214412e-06,8.89391270652735e-06,31825299
"914","2020/04/07",2,0,16,2,63.4662526678535,358.517683832986,344.517683832986,1.59536606818e-05,8.84452673108877e-06,2.87770388273426e-05,6.32824412380199e-05,1.12651788073691e-05,1.08252772058162e-05,31825299
"913","2020/04/08",1,0,17,2,27.5084101448967,385.026093977882,371.026093977882,1.46940637529672e-05,8.14622062256234e-06,2.65049916495325e-05,2.37770783771695e-05,1.20981139557521e-05,1.16582123541992e-05,31825299
"912","2020/04/09",2,0,19,2,47.4800310897158,431.506125067598,416.506125067598,1.41730104516002e-05,7.36041750084648e-06,2.72911455414134e-05,3.54176303619391e-05,1.35585882497945e-05,1.30872651052736e-05,31825299
"911","2020/04/10",0,0,19,2,0,431.506125067598,416.506125067598,1.22940737507513e-05,6.09353177534961e-06,2.48040471373829e-05,0,1.35585882497945e-05,1.30872651052736e-05,31825299
"910","2020/04/11",0,0,19,2,0,428.506125067598,416.506125067598,1.07747806786463e-05,5.15681317854184e-06,2.25131092892835e-05,0,1.34643236208904e-05,1.30872651052736e-05,31825299
"909","2020/04/12",0,0,19,2,0,428.506125067598,416.506125067598,9.5975038426496e-06,4.47001307000514e-06,2.06066690560186e-05,0,1.34643236208904e-05,1.30872651052736e-05,31825299
"908","2020/04/13",0,0,19,2,0,428.506125067598,416.506125067598,8.69629694240849e-06,3.96302571419774e-06,1.90827882442475e-05,0,1.34643236208904e-05,1.30872651052736e-05,31825299
"907","2020/04/14",0,0,19,2,0,363.492493554821,352.492493554821,8.00233807500749e-06,3.58237533950502e-06,1.78756854315446e-05,0,1.14214950048017e-05,1.1075858032153e-05,31825299
"906","2020/04/15",0,0,19,2,0,363.492493554821,352.492493554821,7.46091538078454e-06,3.29077122345087e-06,1.69155661513455e-05,0,1.14214950048017e-05,1.1075858032153e-05,31825299
"905","2020/04/16",0,0,19,2,0,363.492493554821,352.492493554821,7.03208125726487e-06,3.10162620286173e-06,1.59433031495382e-05,0,1.14214950048017e-05,1.1075858032153e-05,31825299
"904","2020/04/17",0,0,19,2,0,282.44483522035,273.44483522035,6.68734513437381e-06,2.91274720270525e-06,1.53534041350029e-05,0,8.87485252598414e-06,8.59205863927156e-06,31825299
"903","2020/04/18",0,0,19,2,0,138.454693902466,133.454693902466,6.40637679183884e-06,2.76047943933866e-06,1.48675853238174e-05,0,4.35046011358655e-06,4.19335239874623e-06,31825299
"902","2020/04/19",5,0,24,2,51.7120733144912,126.700514549104,118.700514549104,7.79939104137113e-06,3.36072312145214e-06,1.81004201827659e-05,1.68051117224904e-05,3.98112566198054e-06,3.72975331823603e-06,31825299
"901","2020/04/20",0,0,24,2,0,99.192104404207,92.192104404207,7.51479577040968e-06,3.20801068184765e-06,1.76034811200947e-05,0,3.11676897062953e-06,2.89681816985308e-06,31825299
"900","2020/04/21",0,0,24,2,0,51.7120733144912,46.7120733144912,7.19725607606197e-06,3.0724553370984e-06,1.68596413425267e-05,0,1.62487313361899e-06,1.46776541877866e-06,31825299
"899","2020/04/22",0,0,24,2,0,51.7120733144912,46.7120733144912,6.88224072757742e-06,2.91408184026957e-06,1.62539146216785e-05,0,1.62487313361899e-06,1.46776541877866e-06,31825299
"898","2020/04/23",0,0,24,2,0,51.7120733144912,46.7120733144912,6.59442281054271e-06,2.77216578695952e-06,1.56868006988505e-05,0,1.62487313361899e-06,1.46776541877866e-06,31825299
"897","2020/04/24",1,0,25,2,8.40988535256127,60.1219586670524,54.1219586670524,6.60628934905e-06,2.77715424660256e-06,1.57150287985489e-05,2.22232544125429e-06,1.88912470758099e-06,1.7005954497726e-06,31825299
"896","2020/04/25",0,0,25,2,0,60.1219586670524,54.1219586670524,6.37443056689862e-06,2.66257622467953e-06,1.52609208613744e-05,0,1.88912470758099e-06,1.7005954497726e-06,31825299
"895","2020/04/26",0,0,25,2,0,60.1219586670524,54.1219586670524,6.16540698934907e-06,2.57526784440304e-06,1.47605009035966e-05,0,1.88912470758099e-06,1.7005954497726e-06,31825299
"894","2020/04/27",1,0,26,2,7.61286572673742,67.7348243937899,60.7348243937899,6.21940767611242e-06,2.58297820067691e-06,1.49753613218838e-05,1.8210582899263e-06,2.12833269512377e-06,1.90838189434732e-06,31825299
"893","2020/04/28",1,0,27,2,7.40115736758624,75.1359817613761,67.1359817613761,6.27900617445349e-06,2.59431424606588e-06,1.51970481596869e-05,1.72118195589541e-06,2.36088847936279e-06,2.10951613561827e-06,31825299
"892","2020/04/29",0,0,27,2,0,75.1359817613761,67.1359817613761,6.1087348883019e-06,2.52396279058296e-06,1.47849413924751e-05,0,2.36088847936279e-06,2.10951613561827e-06,31825299
"891","2020/04/30",0,0,27,2,0,75.1359817613761,67.1359817613761,5.94585055963854e-06,2.44522570409385e-06,1.44580268473233e-05,0,2.36088847936279e-06,2.10951613561827e-06,31825299
"890","2020/05/01",0,0,27,2,0,23.4239084468849,20.4239084468849,5.79591986501051e-06,2.38356684054525e-06,1.40934529337298e-05,0,7.36015345743804e-07,6.4175071683961e-07,31825299
"889","2020/05/02",2,0,29,2,13.3471794724162,36.7710879193011,31.7710879193011,6.0811401127774e-06,2.49027616146948e-06,1.48498651046833e-05,2.79882994766031e-06,1.1554043190388e-06,9.98296604198474e-07,31825299
"888","2020/05/03",6,0,35,2,39.1504247713632,75.9215126906643,64.9215126906643,7.1759727326663e-06,2.93861899250865e-06,1.75233961228877e-05,8.02692516090301e-06,2.38557107321016e-06,2.03993410056145e-06,31825299
"887","2020/05/04",0,0,35,2,0,75.9215126906643,64.9215126906643,6.98426846120649e-06,2.84905726421792e-06,1.71214550689609e-05,0,2.38557107321016e-06,2.03993410056145e-06,31825299
"886","2020/05/05",0,0,35,2,0,75.9215126906643,64.9215126906643,6.74807900187582e-06,2.74295291210713e-06,1.66012949090607e-05,0,2.38557107321016e-06,2.03993410056145e-06,31825299
"885","2020/05/06",1,0,36,2,5.91299378939788,73.4246211275009,62.4246211275009,6.6886339832447e-06,2.70992286650996e-06,1.65088922325795e-05,1.09860697784671e-06,2.30711488767163e-06,1.96147791502292e-06,31825299
"884","2020/05/07",0,0,36,2,0,73.4246211275009,62.4246211275009,6.44798329543394e-06,2.61242241972615e-06,1.59149179949824e-05,0,2.30711488767163e-06,1.96147791502292e-06,31825299
"883","2020/05/08",0,0,36,2,0,73.4246211275009,62.4246211275009,6.22568340723247e-06,2.51476244170744e-06,1.54126422616578e-05,0,2.30711488767163e-06,1.96147791502292e-06,31825299
"882","2020/05/09",7,0,43,2,37.2994080766929,103.111163477456,86.1111634774564,7.1994590004718e-06,2.89999491481005e-06,1.787320716832e-05,6.24501300441901e-06,3.23991185369402e-06,2.70574562323692e-06,31825299
"881","2020/05/10",0,0,43,2,0,95.7100061098701,79.7100061098701,6.96575679976707e-06,2.79859292861438e-06,1.73379155279739e-05,0,3.007356069455e-06,2.50461138196597e-06,31825299
"880","2020/05/11",2,0,45,2,9.93450112607065,105.644507235941,87.6445072359408,7.02354046498006e-06,2.81500529911795e-06,1.75239885618224e-05,1.55056379240772e-06,3.31951342345411e-06,2.75392565002895e-06,31825299
"879","2020/05/12",0,0,45,2,0,105.644507235941,87.6445072359408,6.75478072295017e-06,2.70119522040815e-06,1.68914346769224e-05,0,3.31951342345411e-06,2.75392565002895e-06,31825299
"878","2020/05/13",0,0,45,2,0,105.644507235941,87.6445072359408,6.49611042148546e-06,2.58716868928582e-06,1.63110549315518e-05,0,3.31951342345411e-06,2.75392565002895e-06,31825299
"877","2020/05/14",0,0,45,2,0,92.2973277635246,76.2973277635246,6.26095663140648e-06,2.4888915130091e-06,1.57498138168987e-05,0,2.90012445015912e-06,2.39737976267009e-06,31825299
"876","2020/05/15",3,0,48,2,12.8452655910454,65.9921685832068,52.9921685832068,6.45788903528373e-06,2.5626965782884e-06,1.62736123914801e-05,1.72819374616082e-06,2.07357576069299e-06,1.66509570210815e-06,31825299
"875","2020/05/16",0,0,48,2,0,65.9921685832068,52.9921685832068,6.25889076811864e-06,2.47964023303505e-06,1.5798144071607e-05,0,2.07357576069299e-06,1.66509570210815e-06,31825299
"874","2020/05/17",0,0,48,2,0,65.9921685832068,52.9921685832068,6.07146191250636e-06,2.40164608087295e-06,1.53489100865422e-05,0,2.07357576069299e-06,1.66509570210815e-06,31825299
"873","2020/05/18",0,0,48,2,0,60.0791747938089,48.0791747938089,5.90031759001161e-06,2.33051589623095e-06,1.49382150618682e-05,0,1.88778037226952e-06,1.51072185665275e-06,31825299
"872","2020/05/19",0,0,48,2,0,60.0791747938089,48.0791747938089,5.74824787771675e-06,2.26728832135301e-06,1.45735120463008e-05,0,1.88778037226952e-06,1.51072185665275e-06,31825299
"871","2020/05/20",2,0,50,2,7.44594322461364,67.5251180184226,53.5251180184226,5.84907562424915e-06,2.30400877766054e-06,1.48487653301928e-05,8.71037700292615e-07,2.12174339723949e-06,1.68184179568659e-06,31825299
"870","2020/05/21",2,1,52,3,10.9300469550776,41.1557568968073,32.1557568968073,8.92941244109025e-06,4.87016476820347e-06,1.6372014159289e-05,1.8769018704302e-06,1.29317738371625e-06,1.01038349700367e-06,31825299
"869","2020/05/22",6,0,58,3,32.0915519231915,73.2473088199988,58.2473088199988,9.74753875077555e-06,5.31002672686431e-06,1.78934149647829e-05,5.39333872316957e-06,2.30154346138268e-06,1.83022031686171e-06,31825299
"868","2020/05/23",2,0,60,3,10.4436436985503,73.7564513924784,58.7564513924784,9.84466197651458e-06,5.35683447078214e-06,1.80922837844719e-05,1.71356903358973e-06,2.31754150660072e-06,1.84621836207975e-06,31825299
"867","2020/05/24",0,0,60,3,0,73.7564513924784,58.7564513924784,9.57032201171927e-06,5.2019076883863e-06,1.76072066047007e-05,0,2.31754150660072e-06,1.84621836207975e-06,31825299
"866","2020/05/25",9,1,69,4,59.0872211996859,132.843672592164,108.843672592164,1.42340227250525e-05,9.10015117901447e-06,2.22641798967623e-05,1.21891137582107e-05,4.17415316639018e-06,3.42003613515664e-06,31825299
"865","2020/05/26",0,0,69,4,0,132.843672592164,108.843672592164,1.37712857451844e-05,8.78727703171618e-06,2.15821477337081e-05,0,4.17415316639018e-06,3.42003613515664e-06,31825299
"864","2020/05/27",2,0,71,4,12.2431266937722,132.241533694891,109.241533694891,1.36567765672496e-05,8.7063137811348e-06,2.14221024989829e-05,2.35495275692078e-06,4.15523303315677e-06,3.43253754489129e-06,31825299
"863","2020/05/28",0,0,71,4,0,132.241533694891,109.241533694891,1.31482422730707e-05,8.36786344731001e-06,2.06595477997358e-05,0,4.15523303315677e-06,3.43253754489129e-06,31825299
"862","2020/05/29",2,0,73,4,11.3583623689547,143.599896063846,118.599896063846,1.3026750399638e-05,8.27754846421768e-06,2.0500783137427e-05,2.02688426752074e-06,4.51213030437973e-06,3.72659173017811e-06,31825299
"861","2020/05/30",4,0,77,4,21.9335943671623,165.533490431008,136.533490431008,1.32668570236488e-05,8.41790184897866e-06,2.0908950762748e-05,3.77908909719288e-06,5.20131768223162e-06,4.29009293615775e-06,31825299
"860","2020/05/31",7,0,84,4,37.0998076723801,202.633298103388,166.633298103388,1.39887984106155e-05,8.86404995734775e-06,2.20764190087428e-05,6.1783539357325e-06,6.36705088311624e-06,5.23587533626591e-06,31825299
"859","2020/06/01",2,0,86,4,10.2326354870978,205.419990365872,169.419990365872,1.38255834122786e-05,8.74968078283549e-06,2.1846140611764e-05,1.64502506342225e-06,6.45461305378066e-06,5.32343750693034e-06,31825299
"858","2020/06/02",0,0,86,4,0,194.489943410795,160.489943410795,1.33170042767623e-05,8.41800261643387e-06,2.10670643605042e-05,0,6.11117411373872e-06,5.04284165282453e-06,31825299
"857","2020/06/03",0,0,86,4,0,162.398391487603,134.398391487603,1.28260270220585e-05,8.09881797156481e-06,2.03124665535345e-05,0,5.10280803607229e-06,4.22300483296648e-06,31825299
"856","2020/06/04",0,0,86,4,0,151.954747789053,125.954747789053,1.23793008603016e-05,7.8087696010525e-06,1.96249982544253e-05,0,4.77465263685513e-06,3.95769251968546e-06,31825299
"855","2020/06/05",0,0,86,4,0,151.954747789053,125.954747789053,1.19861810664643e-05,7.5535583818261e-06,1.90199809541069e-05,0,4.77465263685513e-06,3.95769251968546e-06,31825299
"854","2020/06/06",0,0,86,4,0,92.8675265893672,75.8675265893672,1.16456938704309e-05,7.33238416802392e-06,1.84963284268754e-05,0,2.91804097706567e-06,2.38387474660858e-06,31825299
"853","2020/06/07",0,0,86,4,0,92.8675265893672,75.8675265893672,1.13526186538297e-05,7.14179924229605e-06,1.80461457857848e-05,0,2.91804097706567e-06,2.38387474660858e-06,31825299
"852","2020/06/08",5,0,91,4,20.539542277048,101.163942172643,81.1639421726431,1.17459908056881e-05,7.3833547954419e-06,1.8686397150044e-05,2.65117884328844e-06,3.1787271557965e-06,2.55029629643521e-06,31825299
"851","2020/06/09",1,0,92,4,4.02324659739813,105.187188770041,84.1871887700412,1.16303286564763e-05,7.30784884082286e-06,1.85094885791896e-05,5.08605219497722e-07,3.30514377162776e-06,2.64529136929841e-06,31825299
