"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"3876","2020/03/06",2,0,2,0,NA,NA,NA,6.05877374054756e-07,0,3300998
"3875","2020/03/12",1,0,3,0,0,NA,NA,9.08816061082133e-07,0,3300998
"3874","2020/03/13",0,0,3,0,0,NA,NA,9.08816061082133e-07,0,3300998
"3873","2020/03/16",15,0,18,0,0,NA,NA,5.4528963664928e-06,0,3300998
"3872","2020/03/17",3,0,21,0,0,0,NA,6.36171242757493e-06,0,3300998
"3871","2020/03/18",9,0,30,0,0,0,NA,9.08816061082133e-06,0,3300998
"3870","2020/03/19",5,0,35,0,0,0,NA,1.06028540459582e-05,0,3300998
"3869","2020/03/20",9,0,44,0,0,0,NA,1.33293022292046e-05,0,3300998
"3868","2020/03/21",18,0,62,0,0,0,NA,1.87821985956974e-05,0,3300998
"3867","2020/03/22",30,1,92,1,0.000186297481253929,3.13005942305519e-05,0.00110882085068153,7.95313772654569e-05,5.16610180589382e-05,3300998
"3866","2020/03/23",33,0,125,1,0.000181693077294116,2.91104159978919e-05,0.00113403993742296,0.000127498349671104,8.96310137926813e-05,3300998
"3865","2020/03/24",6,0,131,1,0.000136405484692284,2.10536890129906e-05,0.00088376228235614,0.000133745929122659,9.4060961122072e-05,3300998
"3864","2020/03/25",33,1,164,2,0.000250723347063195,0.000100488856597979,0.000625563857434075,0.000183590481340588,0.000134514414042153,3300998
"3863","2020/03/26",9,1,173,3,0.000302425073987175,0.000165370709500696,0.000553066051734893,0.000199020638988154,0.000147521062193499,3300998
"3862","2020/03/27",40,0,213,3,0.000293093138520824,0.000158554906078963,0.000541790790158239,0.00025406160396859,0.000190444479692841,3300998
"3861","2020/03/28",20,1,233,4,0.000345663288002022,0.000218502179794569,0.000546827994048866,0.000279188192161207,0.000214056374450321,3300998
"3860","2020/03/29",24,1,257,5,0.000392318965495608,0.00027189281473171,0.000566083994677898,0.000314916166652244,0.000243422636513783,3300998
"3859","2020/03/30",66,1,323,6,0.000495986293239572,0.000365323341757574,0.000673382658490998,0.000413536762908043,0.000324775727609022,3300998
"3858","2020/03/31",30,2,353,8,0.000611969307079246,0.000487455291518358,0.000768288783245156,0.000464030792454145,0.000367696289979439,3300998
"3857","2020/04/01",60,4,413,12,0.00091319974763288,0.000786979657331598,0.00105966370452873,0.000593972588479066,0.000482188212965963,3300998
"3856","2020/04/02",51,1,464,13,0.000950537074805181,0.000827549696725212,0.00109180238256942,0.000692996827489866,0.00057121547530486,3300998
"3855","2020/04/03",68,4,532,17,0.00122442214757178,0.0011022837574453,0.00136009406410824,0.000788752735351838,0.000655459713059792,3300998
"3854","2020/04/04",54,1,586,18,0.00123248392495886,0.00111480414386334,0.00136258609518427,0.000854359366952639,0.000714704632233018,3300998
"3853","2020/04/05",46,3,632,21,0.0013449097841037,0.00123384630443909,0.0014659705352849,0.000946000790774455,0.000794228508573739,3300998
"3852","2020/04/06",31,3,663,24,0.0014087146535664,0.00130607278568955,0.00151942295782925,0.000961417863837913,0.000810251459011252,3300998
"3851","2020/04/07",32,4,695,28,0.0015202221460897,0.00142467265052254,0.00162217992506133,0.00101568060732328,0.000857546612694987,3300998
"3850","2020/04/08",86,4,781,32,0.00174252809476053,0.00164611787962597,0.00184458488581614,0.00115251853626013,0.000980449362028584,3300998
"3849","2020/04/09",35,3,816,35,0.00179255549542552,0.00170123211030856,0.00188878118671145,0.00119973443925707,0.00102312118472011,3300998
