"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"3443","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3442","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3441","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3440","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3439","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3438","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3437","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3436","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3435","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3434","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3433","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3432","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3431","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3430","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3429","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3428","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3427","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3426","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3425","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3424","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3423","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3422","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
"3421","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,11455519
