"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1",NA,2,0,2,0,NA,NA,NA,11513102
"2",NA,1,0,3,0,0,NA,NA,11513102
"3",NA,7,0,10,0,0,NA,NA,11513102
"4",NA,0,0,10,0,0,NA,NA,11513102
"5",NA,1,0,11,0,0,0,NA,11513102
"6",NA,1,0,12,0,0,0,NA,11513102
"7",NA,0,0,12,0,0,0,NA,11513102
"8",NA,3,0,15,0,0,0,NA,11513102
"9",NA,4,0,19,0,0,0,NA,11513102
"10",NA,1,0,20,0,0,0,NA,11513102
"11",NA,7,0,27,0,0,0,NA,11513102
"12",NA,1,0,28,0,0,0,NA,11513102
"13",NA,4,0,32,0,0,0,NA,11513102
"14",NA,7,0,39,0,0,0,NA,11513102
"15",NA,22,0,61,0,0,0,NA,11513102
"16",NA,13,0,74,0,0,0,NA,11513102
"17",NA,7,0,81,0,0,0,NA,11513102
"18",NA,15,3,96,3,8.03225131652948e-05,4.54241775905536e-05,0.000142032425536542,11513102
"19",NA,11,3,107,6,0.00014677196419175,0.000113332271316738,0.000190078335344568,11513102
"20",NA,8,1,115,7,0.000152604098410164,0.000122162413989945,0.000190631554264275,11513102
"21",NA,8,1,123,8,0.000157068592635507,0.000129030591862779,0.000191199175608954,11513102
"22",NA,9,1,132,9,0.000162459451654067,0.000136097272185336,0.000193928011986884,11513102
"23",NA,7,1,139,10,0.000165481440004815,0.000140885947788775,0.000194370747515026,11513102
"24",NA,18,0,157,10,0.000165028757536165,0.000139895668527507,0.000194677155487308,11513102
"25",NA,26,1,183,11,0.000188723942051992,0.000162303451897182,0.000219445279119551,11513102
"26",NA,11,3,194,14,0.000227771660987601,0.000202874483530082,0.000255724271708905,11513102
"27",NA,16,1,210,15,0.000236501712860143,0.000212031028247174,0.000263796580378688,11513102
"28",NA,54,3,264,18,0.000320596915409751,0.000293090520579731,0.000350684771267745,11513102
"29",NA,4,1,268,19,0.000308323232836049,0.000282858693179655,0.000336080234402037,11513102
"30",NA,8,1,276,20,0.000299057013968679,0.000275239408587339,0.000324935655336881,11513102
"31",NA,24,4,300,24,0.000350941871269621,0.000327752332434884,0.000375772145068387,11513102
"32",NA,30,3,330,27,0.000393685834603168,0.00037050759651499,0.00041831405840264,11513102
"33",NA,24,1,354,28,0.000398879600538491,0.000375904163799622,0.000423259306620923,11513102
"34",NA,43,0,397,28,0.000408553876164541,0.000384597098226127,0.000434002935796805,11513102
"35",NA,44,1,441,29,0.000429855133491354,0.000405229606503925,0.000455977136969335,11513102
"36",NA,24,2,465,31,0.00044262868862263,0.000418709314736429,0.000467914491262555,11513102
"37",NA,28,0,493,31,0.000428652171811424,0.000405159372400257,0.000453507179928029,11513102
"38",NA,27,1,520,32,0.000427393125553304,0.000404464821528344,0.000451621189402802,11513102
"39",NA,44,1,564,33,0.000439438924781285,0.000416362440990993,0.000463794400266544,11513102
"40",NA,34,1,598,34,0.000442771619618754,0.000420018837047322,0.000466756940041066,11513102
"41",NA,11,3,609,37,0.000453666714908607,0.000432145498960444,0.000476259705842281,11513102
"42",NA,63,3,672,40,0.000502152926837795,0.000480021665183701,0.000525304543983999,11513102
"43",NA,31,3,703,43,0.000525790200793555,0.000504135837782283,0.000548374692953127,11513102
"44",NA,104,1,807,44,0.000575939300261014,0.000552591412396094,0.000600273674443896,11513102
"45",NA,59,2,866,46,0.000602264900469369,0.000578773223644466,0.000626710074894888,11513102
"46",NA,84,4,950,50,0.00066738950149869,0.00064333098454254,0.00069234772988183,11513102
"47",NA,64,3,1014,53,0.00070010769009432,0.000676154440109918,0.000724909500926331,11513102
"48",NA,39,2,1053,55,0.000698489200167767,0.000675294336065087,0.000722480756456371,11513102
"49",NA,57,4,1110,59,0.000731900998460176,0.000709114333847154,0.000755419889259304,11513102
"50",NA,57,3,1167,62,0.000751406119463028,0.000729003260018941,0.000774497436886381,11513102
"51",NA,62,4,1229,66,0.000785207420449461,0.00076309065199338,0.000807965202454407,11513102
"52",NA,241,5,1470,71,0.000944491926303384,0.000919626954385104,0.00097002919999093,11513102
"53",NA,124,5,1594,76,0.00102365953350204,0.000998337273688452,0.00104962407810151,11513102
"54",NA,87,6,1681,82,0.00108163194056114,0.00105667048679045,0.00110718305230197,11513102
"55",NA,121,4,1802,86,0.00112589336165214,0.00110093509830699,0.00115141743029333,11513102
"56",NA,84,5,1886,91,0.00115426791837127,0.00112990365516197,0.00117915755143756,11513102
"57",NA,195,11,2081,102,0.00132339664663659,0.00129827578251958,0.0013490035845312,11513102
"58",NA,185,4,2266,106,0.00139016744006495,0.00136458079108826,0.00141623385294433,11513102
"59",NA,171,8,2437,114,0.00149185755067333,0.00146610892394768,0.0015180583892145,11513102
"60",NA,119,4,2556,118,0.00150153818046965,0.00147630302450935,0.00152720469305917,11513102
"61",NA,275,4,2831,122,0.00159492031737559,0.00156879328315188,0.001621482477071,11513102
"62",NA,133,6,2964,128,0.00162610229769736,0.0016005047995939,0.00165210918658135,11513102
"63",NA,184,14,3148,142,0.0017785684312935,0.00175304699918936,0.00180446141276109,11513102
"64",NA,224,10,3372,152,0.0018959137358074,0.00187024279781449,0.0019219370328941,11513102
"65",NA,205,12,3577,164,0.00202046998789174,0.00199483678617708,0.00204643257045335,11513102
"66",NA,249,1,3826,165,0.00202705071550174,0.00200133329463763,0.00205309860892517,11513102
"67",NA,262,4,4088,169,0.00207045211882874,0.00204462255960034,0.00209660798088835,11513102
"68",NA,175,5,4263,174,0.00207623928473861,0.00205089412827896,0.00210189765919772,11513102
"69",NA,218,15,4481,189,0.002216626926188,0.00219140248454024,0.0022421417172631,11513102
"70",NA,438,10,4919,199,0.00240052938260324,0.00237432713696747,0.00242702078707717,11513102
"71",NA,268,16,5187,215,0.00256482714577131,0.00253857126013469,0.00259135459027311,11513102
"72",NA,392,15,5579,230,0.00276673103462184,0.0027399145166161,0.00279381001542838,11513102
"73",NA,336,10,5915,240,0.00286922821631011,0.00284230781987692,0.00289640358433331,11513102
"74",NA,348,10,6263,250,0.00296593683260352,0.00293895266444351,0.00299316875750358,11513102
"75",NA,397,11,6660,261,0.00308700681104536,0.00305981949985936,0.00311443568873211,11513102
"76",NA,476,13,7136,274,0.00325730261510365,0.00322965541554106,0.00328518648624425,11513102
"77",NA,632,6,7768,280,0.00339991055888363,0.00337146155519949,0.00342859962041728,11513102
"78",NA,619,13,8387,293,0.0036019062817463,0.00357276842906841,0.00363128176932148,11513102
"79",NA,344,7,8731,300,0.00359446231624083,0.00356583759770072,0.00362331681936564,11513102
"80",NA,861,10,9592,310,0.00381816668393446,0.00378845447016196,0.00384811192562222,11513102
"81",NA,390,3,9982,313,0.00375371451789305,0.00372463377180495,0.00378302231712109,11513102
"82",NA,549,30,10531,343,0.00405963809975708,0.00403029692717593,0.00408919288052243,11513102
"83",NA,460,33,10991,376,0.00434998880329369,0.00432061939690145,0.00437955784819897,11513102
"84",NA,647,24,11638,400,0.00459762654045325,0.00456792135109784,0.0046275249026343,11513102
"85",NA,607,15,12245,415,0.00471821841294239,0.00468847803308559,0.00474814744467891,11513102
"86",NA,483,12,12728,427,0.00475103626347727,0.00472163585868246,0.00478061973698554,11513102
"87",NA,630,27,13358,454,0.00499967909744749,0.0049700195229726,0.00502951567129915,11513102
"88",NA,285,11,13643,465,0.00494142949477379,0.00491254755588975,0.0049704812368779,11513102
"89",NA,306,10,13949,475,0.00488681527299952,0.00485862112333208,0.00491517303082971,11513102
"90",NA,695,12,14644,487,0.00499608100612546,0.00496770437889811,0.00502461972692993,11513102
"91",NA,637,25,15281,512,0.00522071093461584,0.00519202488179546,0.00524955547851536,11513102
