"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"3039","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3038","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3037","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3036","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3035","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3034","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3033","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3032","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3031","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3030","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3029","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3028","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3027","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3026","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3025","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3024","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3023","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3022","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3021","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3020","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3019","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3018","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3017","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3016","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3015","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
"3014","2020/01/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,9452409
