"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"1","2020/03/24",1,0,1,0,NA,NA,NA,2.5617969468504e-06,0,390351
"2","2020/03/25",0,0,1,0,0,NA,NA,2.5617969468504e-06,0,390351
"3","2020/03/26",1,0,2,0,0,NA,NA,5.1235938937008e-06,0,390351
"4","2020/03/27",0,0,2,0,0,NA,NA,5.1235938937008e-06,0,390351
"5","2020/03/28",0,0,2,0,0,NA,NA,5.1235938937008e-06,0,390351
"6","2020/03/29",0,0,2,0,0,NA,NA,5.1235938937008e-06,0,390351
"7","2020/03/30",0,0,2,0,0,0,NA,5.1235938937008e-06,0,390351
"8","2020/03/31",1,0,3,0,0,0,NA,7.6853908405512e-06,0,390351
"9","2020/04/01",0,0,3,0,0,0,NA,7.6853908405512e-06,0,390351
"10","2020/04/02",0,0,3,0,0,0,NA,7.6853908405512e-06,0,390351
"11","2020/04/03",0,0,3,0,0,0,NA,7.6853908405512e-06,0,390351
"12","2020/04/04",1,0,4,0,0,0,NA,1.02471877874016e-05,0,390351
"13","2020/04/05",0,0,4,0,0,0,NA,7.6853908405512e-06,0,390351
"14","2020/04/06",1,1,5,1,0.000546371409051901,0.000204672161606069,0.00145853600356223,0.000116959672650931,0.00010671248486353,390351
"15","2020/04/07",2,0,7,1,0.000679651228515868,0.000254599131239221,0.00181432587839078,0.000308583940994329,0.000295774956260077,390351
"16","2020/04/08",0,0,7,1,0.000595608163569484,0.000223116378874077,0.00158997329689914,0.000308583940994329,0.000295774956260077,390351
"17","2020/04/09",1,0,8,1,0.000588890801121983,0.000159124133145324,0.00217938265422866,0.000382195291134577,0.000366824509453474,390351
"18","2020/04/10",1,0,9,1,0.000574543221207613,0.000155247274800352,0.00212628475095701,0.000446033426824312,0.000428100848196359,390351
"19","2020/04/11",1,1,10,2,0.00111161628200176,0.000800322030631175,0.00154399193214373,0.000557195055024488,0.000536700679449685,390351
"20","2020/04/12",3,0,13,2,0.00126364310950992,0.000772679768148204,0.00206656622062044,0.000846243206426082,0.000820625236957578,390351
"21","2020/04/13",1,0,14,2,0.00118756471894197,0.000726160119726324,0.00194214736304611,0.00093106925777908,0.000902889491363725,390351
"22","2020/04/14",4,0,18,2,0.00132548756116516,0.000734835120307212,0.00239089998048685,0.00122562204914912,0.00118719509494636,390351
"23","2020/04/15",0,0,18,2,0.00114585532916066,0.000595072842639448,0.00220642640914704,0.00122562204914912,0.00118719509494636,390351
"24","2020/04/16",0,0,18,2,0.000989530254962632,0.000490458587896149,0.00199643792493597,0.00122306025220227,0.00118719509494636,390351
"25","2020/04/17",0,0,18,2,0.000865845587485804,0.0004143939509579,0.00180912047493859,0.00122306025220227,0.00118719509494636,390351
"26","2020/04/18",0,0,18,2,0.000771667388993504,0.000359402129037902,0.00165683648238282,0.00111378597039189,0.00108048261008283,390351
"27","2020/04/19",0,0,18,2,0.00070018593681399,0.000319084650707082,0.00153645856993021,0.000919599905101637,0.000891420138686283,390351
"28","2020/04/20",0,0,18,2,0.000645326532023708,0.000294084442769236,0.00141607739944451,0.000919599905101637,0.000891420138686283,390351
"29","2020/04/21",0,0,18,2,0.000602557748535701,0.000269744666964716,0.00134599821529708,0.000845988554961389,0.000820370585492885,390351
