"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1",NA,2,0,2,0,NA,NA,NA,875899
"2",NA,4,0,6,0,0,NA,NA,875899
"3",NA,8,0,14,0,0,NA,NA,875899
"4",NA,7,0,21,0,0,0,NA,875899
"5",NA,9,0,30,0,0,0,NA,875899
"6",NA,10,0,40,0,0,0,NA,875899
"7",NA,0,0,40,0,0,0,NA,875899
"8",NA,18,0,58,0,0,0,NA,875899
"9",NA,0,0,58,0,0,0,NA,875899
"10",NA,9,0,67,0,0,0,NA,875899
"11",NA,17,0,84,0,0,0,NA,875899
"12",NA,11,0,95,0,0,0,NA,875899
"13",NA,21,0,116,0,0,0,NA,875899
"14",NA,8,3,124,3,0.000920349628037237,0.000507209808212578,0.00167000602928655,875899
"15",NA,8,0,132,3,0.000817278613641913,0.000445749542450191,0.00149847452146535,875899
"16",NA,14,0,146,3,0.000766687199234307,0.000415116081400338,0.00141601178033588,875899
"17",NA,16,2,162,5,0.00122223552793442,0.000854215694031697,0.00174880852246399,875899
"18",NA,17,0,179,5,0.00117797518532824,0.000819565167870157,0.00169312410000927,875899
"19",NA,35,1,214,6,0.00148636954733917,0.00110008348786706,0.00200829705710865,875899
"20",NA,16,1,230,7,0.00164426891457742,0.00127074570058923,0.00212758560756253,875899
"21",NA,32,1,262,8,0.0018896407412952,0.00150802610639288,0.0023678251430963,875899
"22",NA,58,1,320,9,0.0022974672218541,0.00187946317499002,0.00280843791234271,875899
"23",NA,36,0,356,9,0.00225659861289866,0.00184216867724189,0.00276426223214276,875899
"24",NA,40,0,396,9,0.00220631205306711,0.00179729357101004,0.00270841277909519,875899
"25",NA,30,0,426,9,0.00208548723371789,0.00169592782213431,0.00256452954261153,875899
"26",NA,20,0,446,9,0.00192528758481055,0.00156330696804301,0.00237108409288665,875899
"27",NA,19,0,465,9,0.00178333089614914,0.00144617006447524,0.00219909757730609,875899
"28",NA,29,0,494,9,0.0016999695900059,0.00137715140359185,0.00209845961700903,875899
"29",NA,32,0,526,9,0.00163984037607645,0.00132728097639617,0.00202600391841065,875899
"30",NA,38,1,564,10,0.00178331524847313,0.00147412641553916,0.00215735451309555,875899
"31",NA,31,0,595,10,0.00172670382674571,0.00142646875496089,0.00209013067754157,875899
"32",NA,21,0,616,10,0.0016476762105541,0.00136045538632347,0.00199553540830367,875899
"33",NA,17,1,633,11,0.00172440705549141,0.00144871970923438,0.00205255693981,875899
"34",NA,29,1,662,12,0.00183130387314679,0.00156090377325393,0.0021485462033391,875899
"35",NA,33,0,695,12,0.00179900877539322,0.00153283225733787,0.00211140687994306,875899
"36",NA,20,0,715,12,0.0017387243735948,0.00148102263755192,0.00204126687241581,875899
"37",NA,20,0,735,12,0.00168478011964266,0.00143467564824096,0.00197848486173398,875899
"38",NA,0,0,735,12,0.0015937396248087,0.00135681476624613,0.00187203592920259,875899
"39",NA,26,0,761,12,0.00156751405214634,0.00133420354910379,0.00184162327054724,875899
"40",NA,6,0,767,12,0.00150733814417615,0.0012827466998247,0.00177125248593421,875899
"41",NA,5,0,772,12,0.00145283133250491,0.00123615232285435,0.00170749093108058,875899
