"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"8428","2020/03/23",1,0,1,0,1,1,0,NA,NA,NA,1.39260249554367e-05,1.39260249554367e-05,0,71808
"8427","2020/03/24",0,0,1,0,0,1,0,0,NA,NA,0,1.39260249554367e-05,0,71808
"8426","2020/03/25",1,0,2,0,1,2,0,0,NA,NA,1.39260249554367e-05,2.78520499108734e-05,0,71808
"8425","2020/03/26",5,0,7,0,5,7,0,0,NA,NA,6.96301247771836e-05,9.7482174688057e-05,0,71808
"8424","2020/03/27",4,0,11,0,4,11,0,0,NA,NA,5.57040998217469e-05,0.000153186274509804,0,71808
"8423","2020/03/28",0,0,11,0,0,11,0,0,0,NA,0,0.000153186274509804,0,71808
"8422","2020/03/29",0,0,11,0,0,11,0,0,0,NA,0,0.000153186274509804,0,71808
"8421","2020/03/30",0,0,11,0,0,11,0,0,0,NA,0,0.000153186274509804,0,71808
"8420","2020/03/31",0,0,11,0,0,11,0,0,0,NA,0,0.000153186274509804,0,71808
"8419","2020/04/01",0,0,11,0,0,11,0,0,0,NA,0,0.000153186274509804,0,71808
"8418","2020/04/02",1,0,12,0,1,12,0,0,0,NA,1.39260249554367e-05,0.000167112299465241,0,71808
"8417","2020/04/03",0,0,12,0,0,12,0,0,0,NA,0,0.000167112299465241,0,71808
"8416","2020/04/04",2,0,14,0,2,13,0,0,0,NA,2.78520499108734e-05,0.000181038324420677,0,71808
"8415","2020/04/05",0,0,14,0,0,13,0,0,0,NA,0,0.000181038324420677,0,71808
"8414","2020/04/06",0,0,14,0,0,12,0,0,0,NA,0,0.000167112299465241,0,71808
"8413","2020/04/07",1,0,15,0,1,8,0,0,0,NA,1.39260249554367e-05,0.000111408199643494,0,71808
"8412","2020/04/08",0,0,15,0,0,4,0,0,0,NA,0,5.57040998217469e-05,0,71808
"8411","2020/04/09",0,0,15,0,0,4,0,0,0,NA,0,5.57040998217469e-05,0,71808
"8410","2020/04/10",1,0,16,0,1,5,0,0,0,NA,1.39260249554367e-05,6.96301247771836e-05,0,71808
"8409","2020/04/11",0,0,16,0,0,5,0,0,0,NA,0,6.96301247771836e-05,0,71808
"8408","2020/04/12",0,0,16,0,0,5,0,0,0,NA,0,6.96301247771836e-05,0,71808
"8407","2020/04/13",0,0,16,0,0,5,0,0,0,NA,0,6.96301247771836e-05,0,71808
"8406","2020/04/14",0,0,16,0,0,4,0,0,0,NA,0,5.57040998217469e-05,0,71808
"8405","2020/04/15",0,0,16,0,0,4,0,0,0,NA,0,5.57040998217469e-05,0,71808
"8404","2020/04/16",0,0,16,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8403","2020/04/17",0,0,16,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8402","2020/04/18",0,0,16,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8401","2020/04/19",0,0,16,0,0,1,0,0,0,NA,0,1.39260249554367e-05,0,71808
"8400","2020/04/20",0,0,16,0,0,1,0,0,0,NA,0,1.39260249554367e-05,0,71808
"8399","2020/04/21",0,0,16,0,0,1,0,0,0,NA,0,1.39260249554367e-05,0,71808
"8398","2020/04/22",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8397","2020/04/23",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8396","2020/04/24",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8395","2020/04/25",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8394","2020/04/26",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8393","2020/04/27",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8392","2020/04/28",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8391","2020/04/29",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8390","2020/04/30",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8389","2020/05/01",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8388","2020/05/02",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8387","2020/05/03",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8386","2020/05/04",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8385","2020/05/05",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8384","2020/05/06",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8383","2020/05/07",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8382","2020/05/08",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8381","2020/05/09",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8380","2020/05/10",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8379","2020/05/11",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8378","2020/05/12",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8377","2020/05/13",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8376","2020/05/14",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8375","2020/05/15",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8374","2020/05/16",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8373","2020/05/17",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8372","2020/05/18",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8371","2020/05/19",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8370","2020/05/20",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8369","2020/05/21",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8368","2020/05/22",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8367","2020/05/23",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8366","2020/05/24",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8365","2020/05/25",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8364","2020/05/26",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8363","2020/05/27",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8362","2020/05/28",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8361","2020/05/29",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8360","2020/05/30",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8359","2020/05/31",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8358","2020/06/01",0,0,16,0,0,0,0,0,0,NA,0,0,0,71808
"8357","2020/06/02",2,0,18,0,2,2,0,0,0,NA,2.78520499108734e-05,2.78520499108734e-05,0,71808
"8356","2020/06/03",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8355","2020/06/04",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8354","2020/06/05",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8353","2020/06/06",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8352","2020/06/07",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8351","2020/06/08",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8350","2020/06/09",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8349","2020/06/10",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8348","2020/06/11",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8347","2020/06/12",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8346","2020/06/13",0,0,18,0,0,2,0,0,0,NA,0,2.78520499108734e-05,0,71808
"8345","2020/06/14",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8344","2020/06/15",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8343","2020/06/16",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8342","2020/06/17",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8341","2020/06/18",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8340","2020/06/19",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8339","2020/06/20",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8338","2020/06/21",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8337","2020/06/22",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8336","2020/06/23",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8335","2020/06/24",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8334","2020/06/25",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8333","2020/06/26",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8332","2020/06/27",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8331","2020/06/28",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8330","2020/06/29",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8329","2020/06/30",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8328","2020/07/01",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8327","2020/07/02",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8326","2020/07/03",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8325","2020/07/04",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8324","2020/07/05",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8323","2020/07/06",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8322","2020/07/07",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8321","2020/07/08",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8320","2020/07/09",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8319","2020/07/10",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8318","2020/07/11",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8317","2020/07/12",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8316","2020/07/13",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8315","2020/07/14",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8314","2020/07/15",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8313","2020/07/16",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8312","2020/07/17",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8311","2020/07/18",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8310","2020/07/19",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8309","2020/07/20",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8308","2020/07/21",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8307","2020/07/22",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8306","2020/07/23",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8305","2020/07/24",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8304","2020/07/25",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8303","2020/07/26",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8302","2020/07/27",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8301","2020/07/28",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
"8300","2020/07/29",0,0,18,0,0,0,0,0,0,NA,0,0,0,71808
