"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"9787","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9786","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9785","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9784","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9783","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9782","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9781","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9780","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9779","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9778","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9777","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9776","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9775","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9774","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9773","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9772","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9771","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9770","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9769","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9768","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9767","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9766","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9765","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9764","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9763","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9762","2020/01/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9761","2020/01/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9760","2020/01/27",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9759","2020/01/28",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9758","2020/01/29",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9757","2020/01/30",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9756","2020/01/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9755","2020/02/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9754","2020/02/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9753","2020/02/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9752","2020/02/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9751","2020/02/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9750","2020/02/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9749","2020/02/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9748","2020/02/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9747","2020/02/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9746","2020/02/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9745","2020/02/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9744","2020/02/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9743","2020/02/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9742","2020/02/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,100388076
"9741","2020/02/15",1,0,1,0,1,1,0,NA,NA,NA,9.9613424207871e-09,9.9613424207871e-09,0,100388076
"9740","2020/02/16",0,0,1,0,0,1,0,0,NA,NA,0,9.9613424207871e-09,0,100388076
"9739","2020/02/17",0,0,1,0,0,1,0,0,NA,NA,0,9.9613424207871e-09,0,100388076
"9738","2020/02/18",0,0,1,0,0,1,0,0,NA,NA,0,9.9613424207871e-09,0,100388076
"9737","2020/02/19",0,0,1,0,0,1,0,0,NA,NA,0,9.9613424207871e-09,0,100388076
"9736","2020/02/20",0,0,1,0,0,1,0,0,NA,NA,0,9.9613424207871e-09,0,100388076
"9735","2020/02/21",0,0,1,0,0,1,0,0,NA,NA,0,9.9613424207871e-09,0,100388076
"9734","2020/02/22",0,0,1,0,0,1,0,0,NA,NA,0,9.9613424207871e-09,0,100388076
"9733","2020/02/23",0,0,1,0,0,1,0,0,NA,NA,0,9.9613424207871e-09,0,100388076
"9732","2020/02/24",0,0,1,0,0,1,0,0,0,NA,0,9.9613424207871e-09,0,100388076
"9731","2020/02/25",0,0,1,0,0,1,0,0,0,NA,0,9.9613424207871e-09,0,100388076
"9730","2020/02/26",0,0,1,0,0,1,0,0,0,NA,0,9.9613424207871e-09,0,100388076
"9729","2020/02/27",0,0,1,0,0,0,0,0,0,NA,0,0,0,100388076
"9728","2020/02/28",0,0,1,0,0,0,0,0,0,NA,0,0,0,100388076
"9727","2020/02/29",0,0,1,0,0,0,0,0,0,NA,0,0,0,100388076
"9726","2020/03/01",0,0,1,0,0,0,0,0,0,NA,0,0,0,100388076
"9725","2020/03/02",1,0,2,0,1,1,0,0,0,NA,9.9613424207871e-09,9.9613424207871e-09,0,100388076
"9724","2020/03/06",1,0,3,0,1,2,0,0,0,NA,9.9613424207871e-09,1.99226848415742e-08,0,100388076
"9723","2020/03/07",12,0,15,0,12,14,0,0,0,NA,1.19536109049445e-07,1.39458793891019e-07,0,100388076
"9722","2020/03/09",34,1,49,1,2062.07814754203,2076.07814754203,2028.07814754203,2.96033017581864e-05,2.95474193235744e-05,2.96592898821131e-05,0.0012458024826663,2.06805253199796e-05,2.02023808837818e-05,100388076
"9721","2020/03/10",6,0,55,1,177.934915596639,2254.01306313867,2200.01306313867,1.62476473763264e-05,6.08641128439797e-06,4.33730211335134e-05,5.25640684463746e-05,2.24529959428515e-05,2.1915083452129e-05,100388076
"9720","2020/03/11",4,0,59,1,56.8248340909284,2310.8378972296,2252.8378972296,8.34926154816627e-06,1.73721560435964e-06,4.01275283417593e-05,8.04144749586977e-06,2.30190475732357e-05,2.244128971283e-05,100388076
"9719","2020/03/12",1,0,60,1,8.28845361112965,2319.12635084073,2260.12635084073,4.95384747355631e-06,8.65933490945018e-07,2.83400573460652e-05,6.84328916353055e-07,2.3101611697795e-05,2.25138924949685e-05,100388076
"9718","2020/03/13",20,1,80,2,225.163920333854,2544.29027117458,2465.29027117458,8.97173964500938e-06,3.90774052023679e-06,2.05981210474424e-05,2.52514008835621e-05,2.53445466090473e-05,2.45576005578051e-05,100388076
"9717","2020/03/14",13,0,93,2,108.252166318653,2652.54243749324,2560.54243749324,7.71425625952039e-06,3.24292176720782e-06,1.83506584214604e-05,8.97940808204635e-06,2.64228835055394e-05,2.5506440002827e-05,100388076
"9716","2020/03/15",0,0,93,2,0,2652.54243749324,2560.54243749324,5.93711898976352e-06,2.42189888322103e-06,1.45544399656068e-05,0,2.64228835055394e-05,2.5506440002827e-05,100388076
"9715","2020/03/16",17,0,110,2,86.9463218798147,2739.48875937305,2630.48875937305,5.60418995835347e-06,2.25156387724937e-06,1.39489469548953e-05,4.42967003631478e-06,2.72889855900122e-05,2.62031992661464e-05,100388076
"9714","2020/03/17",16,0,126,2,67.4420927712237,2806.93085214427,2681.93085214427,5.29053351489062e-06,2.09945263256364e-06,1.33319249208317e-05,2.83178295333747e-06,2.79607993696809e-05,2.67156315670825e-05,100388076
"9713","2020/03/18",40,2,166,4,282.992786022288,3088.92363816656,2924.92363816656,1.16988003833493e-05,7.50374095185721e-06,1.82391598120906e-05,1.99438320096543e-05,3.07698260714406e-05,2.91361659144315e-05,100388076
"9712","2020/03/19",30,2,196,6,268.31927709983,3356.24291526639,3163.24291526639,1.74624252889578e-05,1.30853761999919e-05,2.33035942040874e-05,2.39056394384845e-05,3.34326849263093e-05,3.15101458390974e-05,100388076
"9711","2020/03/20",14,0,210,6,105.017334263806,3449.2602495302,3254.2602495302,1.56917044008004e-05,1.16857381168104e-05,2.10709485820059e-05,7.84714745822707e-06,3.43592624439799e-05,3.24168006719264e-05,100388076
"9710","2020/03/21",46,1,256,7,338.647584307585,1725.82968629575,1518.82968629575,1.877361834997e-05,1.45700624830521e-05,2.41899268695859e-05,2.48345332145699e-05,1.71915804651516e-05,1.51295825840486e-05,100388076
"9709","2020/03/22",29,1,285,8,206.639644537401,1754.53441523651,1524.53441523651,2.02291845941321e-05,1.61906575424416e-05,2.52750642319966e-05,1.46671982940804e-05,1.74775180992264e-05,1.51864093424453e-05,100388076
"9708","2020/03/23",9,2,294,10,68.1845389331687,1765.89412007875,1530.89412007875,2.21875116438149e-05,1.85794617789567e-05,2.64962289436172e-05,5.14573214798583e-06,1.7590676008959e-05,1.5249760540074e-05,100388076
"9707","2020/03/24",33,4,327,14,300.851266259911,2058.45693272753,1791.45693272753,2.96963809475198e-05,2.62271031890082e-05,3.36245690202573e-05,2.7321693612838e-05,2.05049943653421e-05,1.78453159389919e-05,100388076
"9706","2020/03/25",39,5,366,19,420.355885386671,2253.64889778035,1967.64889778035,3.92962836444178e-05,3.59236216005588e-05,4.29855855134193e-05,4.51323062944125e-05,2.24493683670195e-05,1.96004244346744e-05,100388076
"9705","2020/03/26",76,2,442,21,795.969918032709,2941.36664949441,2592.36664949441,4.61129812933551e-05,4.2495105933601e-05,5.00388691131597e-05,8.30419591409857e-05,2.92999603806971e-05,2.58234518758424e-05,100388076
"9704","2020/03/27",14,0,456,21,129.216451865528,3070.58310135993,2707.58310135993,4.19249436774891e-05,3.85723973207821e-05,4.55688788991505e-05,1.18802466374282e-05,3.05871297041288e-05,2.6971162405383e-05,100388076
"9703","2020/03/28",39,3,495,24,363.019326780876,3346.656106261,2961.656106261,4.58974130927389e-05,4.26630787153971e-05,4.93769458753397e-05,3.36598949533532e-05,3.33371874390839e-05,2.95020706070808e-05,100388076
"9702","2020/03/29",41,6,536,30,423.769346748724,3702.9833602385,3292.9833602385,5.51859268715355e-05,5.20819520682845e-05,5.84748920447056e-05,4.36307913807341e-05,3.68866852298125e-05,3.28025348372898e-05,100388076
"9701","2020/03/30",40,6,576,36,443.71938784116,3863.70996205737,3453.70996205737,6.36485869588009e-05,6.06660123055004e-05,6.67777964612441e-05,4.90314445179062e-05,3.84877379466598e-05,3.44035875541371e-05,100388076
"9700","2020/03/31",33,4,609,40,366.026622150204,3961.41730710774,3548.41730710774,6.72874230206849e-05,6.44309060051141e-05,7.02705825121445e-05,4.04416882782482e-05,3.94610342677326e-05,3.53469998479475e-05,100388076
"9699","2020/04/01",47,1,656,41,483.807930832472,4340.20790367641,3894.20790367641,6.72661906592354e-05,6.44406972364848e-05,7.02155718334284e-05,4.96096288381512e-05,4.32342971059273e-05,3.87915383862562e-05,100388076
"9698","2020/04/02",54,5,710,46,567.910704020322,4569.47102338914,4115.47102338914,7.43810855721381e-05,7.15850647616407e-05,7.72863153691576e-05,5.94955136240405e-05,4.55180655458438e-05,4.09956160868064e-05,100388076
"9697","2020/04/03",69,6,779,52,750.083716099787,5112.91509495153,4618.91509495153,8.43559990828159e-05,8.1541536569555e-05,8.72676047156671e-05,8.12247256320267e-05,5.09314980292234e-05,4.60105948733546e-05,100388076
"9696","2020/04/04",0,0,779,52,0,5044.73055601836,4559.73055601836,7.73089961156269e-05,7.46950415733229e-05,8.00144260518167e-05,0,5.02522884891066e-05,4.54210374150249e-05,100388076
"9695","2020/04/05",206,14,985,66,2395.4393752386,7139.31866499705,6481.31866499705,0.000114096431975792,0.000111077302585238,0.000117197622616168,0.000277473183481265,7.11171978731523e-05,6.45626345602744e-05,100388076
"9694","2020/04/06",85,5,1070,71,978.134116941437,7697.09689655182,6993.09689655182,0.00012265383403964,0.000119612301358957,0.000125772707603682,0.000112123270698921,7.66734178325304e-05,6.96606327682963e-05,100388076
"9693","2020/04/07",3,7,1073,78,34.6755051596915,6935.8024836788,6304.8024836788,0.000123543281628883,0.000120733065035656,0.000126418909609607,3.99247502289613e-06,6.90899035028702e-05,6.28042964353536e-05,100388076
"9692","2020/04/08",249,7,1322,85,2865.46864074516,9672.05467255844,8806.05467255844,0.000151546404576786,0.000148354860994413,0.000154806607523401,0.000328480688299893,9.63466485059285e-05,8.77201259695268e-05,100388076
"9691","2020/04/09",238,18,1560,103,3031.68959356347,12340.724939341,11275.724939341,0.000197947601352249,0.000194499277078032,0.000201457061793545,0.000384689540442605,0.000122930186841523,0.000112321357163385,100388076
"9690","2020/04/10",139,15,1699,118,1838.86640256551,13755.8219951578,12592.8219951578,0.000223896150039993,0.000220460098913562,0.000227385754836235,0.000242327903456333,0.000137026453173162,0.000125441411937786,100388076
"9689","2020/04/11",95,17,1794,135,1294.1602637281,14606.2628710447,13388.2628710447,0.000243447188638556,0.000240139937794223,0.000246799987542274,0.000175618549527501,0.000145497985946506,0.000133365070877987,100388076
"9688","2020/04/12",145,11,1939,146,1921.23752350673,16161.4737724013,14831.4737724013,0.000255922657180613,0.000252653066186944,0.000259234560050513,0.000253578242439888,0.000160989974271459,0.000147741388851812,100388076
"9687","2020/04/13",126,13,2065,159,1640.78801056854,17318.4538521373,15909.4538521373,0.000267867394882922,0.000264671706501717,0.000271101668515134,0.000212839520555025,0.00017251504901974,0.000158479517548851,100388076
"9686","2020/04/14",125,5,2190,164,1522.01724677142,18272.5603948884,16792.5603948884,0.0002656265885944,0.000262502079516923,0.000268788288070494,0.00018460650641175,0.000182019230997997,0.000167276444215232,100388076
"9685","2020/04/15",160,14,2350,178,1926.6662857474,19449.1429645361,17878.1429645361,0.000281885181980328,0.0002787817361193,0.000285023175930289,0.000231105819818413,0.000193739572860586,0.00017809030391753,100388076
"9684","2020/04/16",155,5,2505,183,1756.80298358824,21205.9459481243,19479.9459481243,0.000282824456734737,0.000279751511055827,0.000285931157352484,0.000198350039689944,0.000211239688945969,0.00019404641192769,100388076
"9683","2020/04/17",168,13,2673,196,1874.42402035139,20684.9305932371,18996.9305932371,0.000297081348965098,0.000294022466215271,0.000300172055009919,0.000208326381032013,0.00020604967658945,0.000189234930583161,100388076
"9682","2020/04/18",171,9,2844,205,1840.16125749932,21546.957733795,19772.957733795,0.00030486476531325,0.000301822201310527,0.000307938000339079,0.00019725749996697,0.000214636624112559,0.000196965202658082,100388076
"9681","2020/04/19",188,19,3032,224,2044.36195726045,23556.6441858957,21597.6441858957,0.000328433166641124,0.000325384209333199,0.000331510693684145,0.000221449957580374,0.000234655799020351,0.000215141529218029,100388076
"9680","2020/04/20",112,15,3144,239,1204.72933571396,21895.9048808645,20073.9048808645,0.000336877394635983,0.000333901523944108,0.00033987978753797,0.00012908590326236,0.000218112606131275,0.000199963040240601,100388076
"9679","2020/04/21",189,11,3333,250,1977.07722697859,20841.2925142796,19068.2925142796,0.000347308180175467,0.000344334875565241,0.000350307159037511,0.000206017129843472,0.000207607251226527,0.000189945791114471,100388076
"9678","2020/04/22",157,14,3490,264,1617.67319694113,20620.0993086553,18829.0993086553,0.000358207301098175,0.000355261309589846,0.000361177722134101,0.000166035057288006,0.000205403869964151,0.000187563105688521,100388076
"9677","2020/04/23",0,0,3490,264,0,19325.9390449272,17629.9390449272,0.000335062698211532,0.000332284437897788,0.000337864187811666,0,0.000192512296429779,0.000175617859684124,100388076
"9676","2020/04/24",169,12,3659,276,1599.11320736979,19003.8147287902,17283.8147287902,0.000344883791485405,0.000342113903768073,0.00034767610529499,0.000150726489743668,0.000189303505814677,0.000172169996850923,100388076
"9675","2020/04/25",433,18,4092,294,4118.05722221276,21481.0839404345,19454.0839404345,0.00038766623367326,0.000384699914216529,0.000390655425636052,0.000390134832205814,0.000213980432700338,0.000193788791613403,100388076
"9674","2020/04/26",227,13,4319,307,2130.57172180906,22089.6384154721,19960.6384154721,0.000403804704708488,0.000400808798872451,0.00040682300389468,0.000199197704326317,0.000220042452207891,0.000198834754194035,100388076
"9673","2020/04/27",0,0,4319,307,0,20162.9721297247,18193.9721297247,0.000381145199105052,0.000378299840395508,0.000384011959003074,0,0.000200850269604975,0.000181236386378445,100388076
"9672","2020/04/28",463,30,4782,337,4252.49172413682,22658.6608702733,20381.6608702733,0.00043751195748512,0.000434473797877007,0.00044057136213459,0.000389066494859133,0.000225710679725282,0.00020302870303315,100388076
"9671","2020/04/29",260,22,5042,359,2405.69921353435,23189.9360634562,20820.9360634562,0.000464717137959698,0.000461636056578397,0.000467818783294666,0.00022173138701023,0.000231002893844247,0.000207404473649403,100388076
"9670","2020/04/30",226,21,5268,380,2091.71121708833,23441.4860230452,21017.4860230452,0.000485687494885018,0.000482594539194054,0.000488800273375723,0.00019284699716221,0.000233508669127649,0.000209362375099661,100388076
"9669","2020/05/01",269,12,5537,392,2426.66451278784,23823.7885785726,21318.7885785726,0.000497565032620894,0.000494456506757787,0.000500693101017894,0.000218064548937195,0.000237316915791599,0.000212363753027527,100388076
"9668","2020/05/02",358,14,5895,406,3162.21476781725,25781.2740106759,23030.2740106759,0.0005186925551123,0.000515523382070741,0.000521881210602409,0.000278238720565391,0.000256816098464482,0.000229412445464897,100388076
"9667","2020/05/03",298,9,6193,415,2544.72267008871,26348.919453786,23488.919453786,0.000526796819112481,0.000523616239503785,0.000529996718379134,0.00021646242663106,0.000262470609096902,0.00023398116977345,100388076
"9666","2020/05/04",272,14,6465,429,2271.18946563052,27002.4357224754,24027.4357224754,0.000537738163395803,0.000534557849493046,0.00054093739834991,0.000188910325131021,0.000268980508426872,0.00023934551472503,100388076
