"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"9981","2020/04/04",1,0,1,0,1,1,0,NA,NA,NA,0.00029655990510083,0.00029655990510083,0,3372
"9980","2020/04/05",0,0,1,0,0,1,0,0,NA,NA,0,0.00029655990510083,0,3372
"9979","2020/04/06",1,0,2,0,1,2,0,0,NA,NA,0.00029655990510083,0.000593119810201661,0,3372
"9978","2020/04/07",0,0,2,0,0,2,0,0,NA,NA,0,0.000593119810201661,0,3372
"9977","2020/04/08",3,0,5,0,3,5,0,0,NA,NA,0.000889679715302491,0.00148279952550415,0,3372
"9976","2020/04/09",0,0,5,0,0,5,0,0,NA,NA,0,0.00148279952550415,0,3372
"9975","2020/04/10",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"9974","2020/04/11",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"9973","2020/04/12",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"9972","2020/04/13",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"9971","2020/04/14",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"9970","2020/04/15",6,0,11,0,6,11,0,0,0,NA,0.00177935943060498,0.00326215895610913,0,3372
"9969","2020/04/16",0,0,11,0,0,10,0,0,0,NA,0,0.0029655990510083,0,3372
"9968","2020/04/17",0,0,11,0,0,10,0,0,0,NA,0,0.0029655990510083,0,3372
"9967","2020/04/18",0,0,11,0,0,9,0,0,0,NA,0,0.00266903914590747,0,3372
"9966","2020/04/19",0,0,11,0,0,9,0,0,0,NA,0,0.00266903914590747,0,3372
"9965","2020/04/20",0,0,11,0,0,6,0,0,0,NA,0,0.00177935943060498,0,3372
"9964","2020/04/21",0,0,11,0,0,6,0,0,0,NA,0,0.00177935943060498,0,3372
"9963","2020/04/22",1,0,12,0,1,7,0,0,0,NA,0.00029655990510083,0.00207591933570581,0,3372
"9962","2020/04/23",0,0,12,0,0,7,0,0,0,NA,0,0.00207591933570581,0,3372
"9961","2020/04/24",0,0,12,0,0,7,0,0,0,NA,0,0.00207591933570581,0,3372
"9960","2020/04/25",0,0,12,0,0,7,0,0,0,NA,0,0.00207591933570581,0,3372
"9959","2020/04/26",1,0,13,0,1,8,0,0,0,NA,0.00029655990510083,0.00237247924080664,0,3372
"9958","2020/04/27",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"9957","2020/04/28",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"9956","2020/04/29",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"9955","2020/04/30",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"9954","2020/05/01",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"9953","2020/05/02",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"9952","2020/05/03",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"9951","2020/05/04",0,0,13,0,0,1,0,0,0,NA,0,0.00029655990510083,0,3372
"9950","2020/05/05",0,0,13,0,0,1,0,0,0,NA,0,0.00029655990510083,0,3372
"9949","2020/05/06",0,0,13,0,0,1,0,0,0,NA,0,0.00029655990510083,0,3372
"9948","2020/05/07",0,0,13,0,0,1,0,0,0,NA,0,0.00029655990510083,0,3372
"9947","2020/05/08",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9946","2020/05/09",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9945","2020/05/10",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9944","2020/05/11",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9943","2020/05/12",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9942","2020/05/13",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9941","2020/05/14",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9940","2020/05/15",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9939","2020/05/16",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9938","2020/05/17",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9937","2020/05/18",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9936","2020/05/19",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9935","2020/05/20",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9934","2020/05/21",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9933","2020/05/22",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9932","2020/05/23",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9931","2020/05/24",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9930","2020/05/25",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9929","2020/05/26",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9928","2020/05/27",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9927","2020/05/28",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9926","2020/05/29",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9925","2020/05/30",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9924","2020/05/31",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9923","2020/06/01",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9922","2020/06/02",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9921","2020/06/03",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9920","2020/06/04",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9919","2020/06/05",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9918","2020/06/06",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9917","2020/06/07",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9916","2020/06/08",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9915","2020/06/09",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9914","2020/06/10",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9913","2020/06/11",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9912","2020/06/12",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9911","2020/06/13",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9910","2020/06/14",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9909","2020/06/15",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9908","2020/06/16",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9907","2020/06/17",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9906","2020/06/18",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9905","2020/06/19",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"9904","2020/06/20",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
