"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1",NA,1,0,1,0,NA,NA,NA,48677
"2",NA,1,0,2,0,0,NA,NA,48677
"3",NA,1,0,3,0,0,NA,NA,48677
"4",NA,0,0,3,0,0,NA,NA,48677
"5",NA,0,0,3,0,0,NA,NA,48677
"6",NA,0,0,3,0,0,0,NA,48677
"7",NA,0,0,3,0,0,0,NA,48677
"8",NA,0,0,3,0,0,0,NA,48677
"9",NA,0,0,3,0,0,0,NA,48677
"10",NA,0,0,3,0,0,0,NA,48677
"11",NA,6,0,9,0,0,0,NA,48677
"12",NA,2,0,11,0,0,0,NA,48677
"13",NA,7,0,18,0,0,0,NA,48677
"14",NA,29,0,47,0,0,0,NA,48677
"15",NA,25,0,72,0,0,0,NA,48677
"16",NA,8,0,80,0,0,0,NA,48677
"17",NA,12,0,92,0,0,0,NA,48677
"18",NA,23,0,115,0,0,0,NA,48677
"19",NA,3,0,118,0,0,0,NA,48677
"20",NA,4,0,122,0,0,0,NA,48677
"21",NA,10,0,132,0,0,0,NA,48677
"22",NA,8,0,140,0,0,0,NA,48677
"23",NA,4,0,144,0,0,0,NA,48677
"24",NA,11,0,155,0,0,0,NA,48677
"25",NA,4,0,159,0,0,0,NA,48677
"26",NA,9,0,168,0,0,0,NA,48677
"27",NA,1,0,169,0,0,0,NA,48677
"28",NA,4,0,173,0,0,0,NA,48677
"29",NA,4,0,177,0,0,0,NA,48677
"30",NA,2,0,179,0,0,0,NA,48677
"31",NA,2,0,181,0,0,0,NA,48677
"32",NA,0,0,181,0,0,0,NA,48677
"33",NA,2,0,183,0,0,0,NA,48677
"34",NA,1,0,184,0,0,0,NA,48677
"35",NA,0,0,184,0,0,0,NA,48677
"36",NA,0,0,184,0,0,0,NA,48677
"37",NA,0,0,184,0,0,0,NA,48677
"38",NA,0,0,184,0,0,0,NA,48677
"39",NA,0,0,184,0,0,0,NA,48677
"40",NA,0,0,184,0,0,0,NA,48677
"41",NA,0,0,184,0,0,0,NA,48677
"42",NA,0,0,184,0,0,0,NA,48677
"43",NA,0,0,184,0,0,0,NA,48677
"44",NA,0,0,184,0,0,0,NA,48677
"45",NA,0,0,184,0,0,0,NA,48677
"46",NA,1,0,185,0,0,0,NA,48677
"47",NA,0,0,185,0,0,0,NA,48677
"48",NA,0,0,185,0,0,0,NA,48677
"49",NA,0,0,185,0,0,0,NA,48677
"50",NA,2,0,187,0,0,0,NA,48677
"51",NA,0,0,187,0,0,0,NA,48677
"52",NA,0,0,187,0,0,0,NA,48677
"53",NA,0,0,187,0,0,0,NA,48677
"54",NA,0,0,187,0,0,0,NA,48677
"55",NA,0,0,187,0,0,0,NA,48677
"56",NA,0,0,187,0,0,0,NA,48677
"57",NA,0,0,187,0,0,0,NA,48677
"58",NA,0,0,187,0,0,0,NA,48677
"59",NA,0,0,187,0,0,0,NA,48677
"60",NA,0,0,187,0,0,0,NA,48677
"61",NA,0,0,187,0,0,0,NA,48677
"62",NA,0,0,187,0,0,0,NA,48677
"63",NA,0,0,187,0,0,0,NA,48677
"64",NA,0,0,187,0,0,0,NA,48677
"65",NA,0,0,187,0,0,0,NA,48677
"66",NA,0,0,187,0,0,0,NA,48677
"67",NA,0,0,187,0,0,0,NA,48677
"68",NA,0,0,187,0,0,0,NA,48677
"69",NA,0,0,187,0,0,0,NA,48677
"70",NA,0,0,187,0,0,0,NA,48677
"71",NA,0,0,187,0,0,0,NA,48677
"72",NA,0,0,187,0,0,0,NA,48677
"73",NA,0,0,187,0,0,0,NA,48677
"74",NA,0,0,187,0,0,0,NA,48677
"75",NA,0,0,187,0,0,0,NA,48677
"76",NA,0,0,187,0,0,0,NA,48677
"77",NA,0,0,187,0,0,0,NA,48677
"78",NA,0,0,187,0,0,0,NA,48677
"79",NA,0,0,187,0,0,0,NA,48677
"80",NA,0,0,187,0,0,0,NA,48677
"81",NA,0,0,187,0,0,0,NA,48677
"82",NA,0,0,187,0,0,0,NA,48677
"83",NA,0,0,187,0,0,0,NA,48677
"84",NA,0,0,187,0,0,0,NA,48677
"85",NA,0,0,187,0,0,0,NA,48677
"86",NA,0,0,187,0,0,0,NA,48677
"87",NA,0,0,187,0,0,0,NA,48677
"88",NA,0,0,187,0,0,0,NA,48677
"89",NA,0,0,187,0,0,0,NA,48677
"90",NA,0,0,187,0,0,0,NA,48677
"91",NA,0,0,187,0,0,0,NA,48677
"92",NA,0,0,187,0,0,0,NA,48677
"93",NA,0,0,187,0,0,0,NA,48677
"94",NA,0,0,187,0,0,0,NA,48677
"95",NA,0,0,187,0,0,0,NA,48677
