"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1",NA,2,0,2,0,NA,NA,NA,30417858
"2",NA,0,0,2,0,0,NA,NA,30417858
"3",NA,0,0,2,0,0,NA,NA,30417858
"4",NA,4,0,6,0,0,NA,NA,30417858
"5",NA,0,0,6,0,0,NA,NA,30417858
"6",NA,1,0,7,0,0,0,NA,30417858
"7",NA,4,0,11,0,0,0,NA,30417858
"8",NA,5,0,16,0,0,0,NA,30417858
"9",NA,5,1,21,1,2.00169216843111e-05,7.49839131761407e-06,5.34350818387716e-05,30417858
"10",NA,3,0,24,1,1.6169393938258e-05,3.71073770350618e-06,7.04574996188864e-05,30417858
"11",NA,3,1,27,2,2.64180180931536e-05,1.46458466096022e-05,4.76525323918539e-05,30417858
"12",NA,26,0,53,2,3.9221625291111e-05,2.03688227134372e-05,7.55240453569016e-05,30417858
"13",NA,15,1,68,3,5.68760909709379e-05,3.67239822867583e-05,8.80865723895313e-05,30417858
"14",NA,64,0,132,3,8.05549277418192e-05,4.92569163099253e-05,0.000131739801628267,30417858
"15",NA,5,0,137,3,5.84148985271481e-05,3.40436069395353e-05,0.000100233220762935,30417858
"16",NA,4,2,141,5,6.91917320228769e-05,5.0635785478418e-05,9.45476748329722e-05,30417858
"17",NA,11,0,152,5,5.45310789419313e-05,3.90278401263234e-05,7.61927526849094e-05,30417858
"18",NA,0,0,152,5,4.23565193457913e-05,2.98986775641997e-05,6.00051533128205e-05,30417858
"19",NA,0,0,152,5,3.45385579886065e-05,2.41885441057528e-05,4.93172297893125e-05,30417858
"20",NA,43,0,195,5,3.76202459509866e-05,2.61870698391733e-05,5.40451037135739e-05,30417858
"21",NA,9,0,204,5,3.41797160275766e-05,2.36970012314974e-05,4.92996129051539e-05,30417858
"22",NA,1,0,205,5,3.00720394702763e-05,2.07781895276329e-05,4.35229237224538e-05,30417858
"23",NA,9,0,214,5,2.78084964864636e-05,1.91586911255407e-05,4.03635338014686e-05,30417858
"24",NA,0,0,214,5,2.49802943817142e-05,1.71742897253759e-05,3.63342599534165e-05,30417858
"25",NA,73,0,287,5,3.04943387099429e-05,2.09293306770078e-05,4.44306943068313e-05,30417858
"26",NA,0,0,287,5,2.78616238543395e-05,1.90925025003576e-05,4.0658372771519e-05,30417858
"27",NA,26,1,313,6,3.31758017932054e-05,2.42346422355534e-05,4.54157240665746e-05,30417858
"28",NA,65,0,378,6,3.65036070309654e-05,2.66315915024686e-05,5.00350617854598e-05,30417858
"29",NA,0,0,378,6,3.31999087583262e-05,2.41918429314805e-05,4.556221469704e-05,30417858
"30",NA,30,2,408,8,4.33678299167105e-05,3.42531368463159e-05,5.49079250791893e-05,30417858
"31",NA,158,0,566,8,5.48097623689471e-05,4.32470087265572e-05,6.9463996225378e-05,30417858
"32",NA,0,0,566,8,4.96681048383245e-05,3.9154123317814e-05,6.3005385619461e-05,30417858
"33",NA,70,0,636,8,5.00711014684022e-05,3.94349983391017e-05,6.35758921732502e-05,30417858
"34",NA,5,0,641,8,4.52446553772965e-05,3.560386914246e-05,5.74959657339333e-05,30417858
"35",NA,0,0,641,8,4.07175811061548e-05,3.201817810298e-05,5.17806292976423e-05,30417858
"36",NA,0,0,641,8,3.70036323069857e-05,2.90804456854699e-05,4.70855508447297e-05,30417858
"37",NA,193,1,834,9,4.98232070555201e-05,4.02163335120114e-05,6.17249695464114e-05,30417858
"38",NA,208,0,1042,9,5.74973757718293e-05,4.63912376270138e-05,7.12623415487815e-05,30417858
"39",NA,0,0,1042,9,5.25401673679798e-05,4.23734701851604e-05,6.51461675192717e-05,30417858
"40",NA,0,0,1042,9,4.75517419936543e-05,3.83333917959202e-05,5.89869056896686e-05,30417858
"41",NA,112,0,1154,9,4.78063912110516e-05,3.85237852955549e-05,5.93257132727251e-05,30417858
"42",NA,0,0,1154,9,4.36819695138426e-05,3.51889124679878e-05,5.42248772917928e-05,30417858
"43",NA,125,1,1279,10,4.94439893609074e-05,4.06961228215781e-05,6.00722603143236e-05,30417858
"44",NA,0,0,1279,10,4.57055683655365e-05,3.76099699613511e-05,5.55437555989393e-05,30417858
"45",NA,271,1,1550,11,5.65661651804258e-05,4.73738084422638e-05,6.75421957497643e-05,30417858
"46",NA,0,0,1550,11,5.25886213365103e-05,4.40342315129297e-05,6.28048452091828e-05,30417858
"47",NA,121,5,1671,16,7.65260965163169e-05,6.77346651392957e-05,8.64585871352778e-05,30417858
"48",NA,0,0,1671,16,7.11236871900062e-05,6.29423004589673e-05,8.0368509613016e-05,30417858
"49",NA,403,1,2074,17,8.74461848596094e-05,7.79353397227953e-05,9.811768670926e-05,30417858
"50",NA,0,0,2074,17,8.15326193058327e-05,7.26550194544949e-05,9.149495878992e-05,30417858
"51",NA,95,1,2169,18,8.38763874338798e-05,7.5213678731592e-05,9.35368205305359e-05,30417858
"52",NA,0,0,2169,18,7.80288922700688e-05,6.99614995802575e-05,8.7026551252085e-05,30417858
"53",NA,550,0,2719,18,9.13796723532231e-05,8.19230767331836e-05,0.000101927867609006,30417858
"54",NA,0,0,2719,18,8.5399857076325e-05,7.65544262616728e-05,9.52673273747472e-05,30417858
"55",NA,372,0,3091,18,9.0372431549896e-05,8.10038705228338e-05,0.000100824520254726,30417858
"56",NA,0,0,3091,18,8.39970596620647e-05,7.52823333496244e-05,9.37206077168921e-05,30417858
"57",NA,921,0,4012,18,0.000101288089890558,9.07713828506651e-05,0.000113023255033539,30417858
"58",NA,251,4,4263,22,0.000121814089271585,0.000111339525804308,0.000133274075292419,30417858
"59",NA,0,0,4263,22,0.000111840116750906,0.00010221422958362,0.000122372508855272,30417858
"60",NA,437,0,4700,22,0.000113064317655331,0.00010332464577991,0.000123722078409981,30417858
"61",NA,427,0,5127,22,0.000113458130806248,0.000103677091278297,0.000124161927069248,30417858
"62",NA,281,2,5408,24,0.00012027514748412,0.000110718196503512,0.000130657033434139,30417858
"63",NA,122,0,5530,24,0.000113445226571215,0.000104424804702748,0.000123244850382331,30417858
"64",NA,108,4,5638,28,0.000124893003765315,0.000116305326009172,0.000134114772940775,30417858
"65",NA,97,1,5735,29,0.00012247791943908,0.000114326791211312,0.000131210196588126,30417858
"66",NA,0,0,5735,29,0.000114754870652658,0.000107113628092208,0.000122941222074674,30417858
"67",NA,0,0,5735,29,0.000108258992238025,0.000101047050140369,0.000115985665926042,30417858
"68",NA,361,2,6096,31,0.000116864576672431,0.000109553096001221,0.00012466401935984,30417858
"69",NA,173,0,6269,31,0.000114775397957992,0.000107592154078048,0.000122438221348923,30417858
"70",NA,217,0,6486,31,0.000113707161742213,0.000106588573288179,0.000121301169840349,30417858
"71",NA,131,0,6617,31,0.000111284286462741,0.000104315413769783,0.000118718720139025,30417858
"72",NA,0,0,6617,31,0.000106932012146353,0.000100233936215121,0.000114077683202297,30417858
"73",NA,66,1,6683,32,0.000107372961317876,0.00010084472589029,0.000114323805438398,30417858
"74",NA,125,0,6808,32,0.000105670224119386,9.92441287799992e-05,0.000112512411592569,30417858
"75",NA,309,2,7117,34,0.000113705573822579,0.000107174940487216,0.000120634146933482,30417858
"76",NA,186,0,7303,34,0.000113217212759563,0.000106713404430239,0.000120117405432639,30417858
"77",NA,0,0,7303,34,0.000109908838866774,0.000103593947799598,0.000116608673746184,30417858
"78",NA,313,0,7616,34,0.000111360239549863,0.000104960873763102,0.000118149768651815,30417858
