"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"11314","2020/03/20",10,0,10,0,NA,NA,NA,0.0002966830831306,0,33706
"11313","2020/03/21",0,0,10,0,0,NA,NA,0.0002966830831306,0,33706
"11312","2020/03/22",0,0,10,0,0,0,NA,0.0002966830831306,0,33706
"11311","2020/03/23",5,0,15,0,0,0,NA,0.0004450246246959,0,33706
"11310","2020/03/24",0,0,15,0,0,0,NA,0.0004450246246959,0,33706
"11309","2020/03/25",0,0,15,0,0,0,NA,0.0004450246246959,0,33706
"11308","2020/03/26",11,0,26,0,0,0,NA,0.00077137601613956,0,33706
"11307","2020/03/27",9,0,35,0,0,0,NA,0.0010383907909571,0,33706
"11306","2020/03/28",20,0,55,0,0,0,NA,0.0016317569572183,0,33706
"11305","2020/03/29",1,0,56,0,0,0,NA,0.00166142526553136,0,33706
"11304","2020/03/30",9,0,65,0,0,0,NA,0.0019284400403489,0,33706
"11303","2020/03/31",4,0,69,0,0,0,NA,0.00204711327360114,0,33706
"11302","2020/04/01",0,0,69,0,0,0,NA,0.00175043019047054,0,33706
"11301","2020/04/02",0,0,69,0,0,0,NA,0.00175043019047054,0,33706
"11300","2020/04/03",19,0,88,0,0,0,NA,0.00231412804841868,0,33706
"11299","2020/04/04",7,0,95,0,0,0,NA,0.0023734646650448,0,33706
"11298","2020/04/05",3,0,98,0,0,0,NA,0.00246246958998398,0,33706
"11297","2020/04/06",5,0,103,0,0,0,NA,0.00261081113154928,0,33706
"11296","2020/04/07",6,0,109,0,0,0,NA,0.00246246958998398,0,33706
"11295","2020/04/08",4,0,113,0,0,0,NA,0.00231412804841868,0,33706
"11294","2020/04/09",7,0,120,0,0,0,NA,0.0019284400403489,0,33706
"11293","2020/04/10",3,0,123,0,0,0,NA,0.00198777665697502,0,33706
"11292","2020/04/11",4,0,127,0,0,0,NA,0.00183943511540972,0,33706
"11291","2020/04/12",2,0,129,0,0,0,NA,0.0017800984987836,0,33706
"11290","2020/04/13",0,0,129,0,0,0,NA,0.0017800984987836,0,33706
"11289","2020/04/14",0,0,129,0,0,0,NA,0.0017800984987836,0,33706
"11288","2020/04/15",0,0,129,0,0,0,NA,0.00121640064083546,0,33706
"11287","2020/04/16",2,0,131,0,0,0,NA,0.00106805909927016,0,33706
"11286","2020/04/17",2,0,133,0,0,0,NA,0.0010383907909571,0,33706
"11285","2020/04/18",0,0,133,0,0,0,NA,0.0008900492493918,0,33706
"11284","2020/04/19",0,0,133,0,0,0,NA,0.00071203939951344,0,33706
