"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"14325","2020/03/14",1,0,1,0,1,1,0,NA,NA,NA,7.83008956213043e-08,7.83008956213043e-08,0,12771246
"14324","2020/03/15",0,0,1,0,0,1,0,0,NA,NA,0,7.83008956213043e-08,0,12771246
"14323","2020/03/17",0,0,1,0,0,1,0,0,NA,NA,0,7.83008956213043e-08,0,12771246
"14322","2020/03/18",0,0,1,0,0,1,0,0,NA,NA,0,7.83008956213043e-08,0,12771246
"14321","2020/03/19",0,0,1,0,0,1,0,0,NA,NA,0,7.83008956213043e-08,0,12771246
"14320","2020/03/20",0,0,1,0,0,1,0,0,NA,NA,0,7.83008956213043e-08,0,12771246
"14319","2020/03/21",1,0,2,0,1,2,0,0,NA,NA,7.83008956213043e-08,1.56601791242609e-07,0,12771246
"14318","2020/03/22",0,0,2,0,0,2,0,0,NA,NA,0,1.56601791242609e-07,0,12771246
"14317","2020/03/23",0,0,2,0,0,2,0,0,0,NA,0,1.56601791242609e-07,0,12771246
"14316","2020/03/24",0,0,2,0,0,2,0,0,0,NA,0,1.56601791242609e-07,0,12771246
"14315","2020/03/25",2,0,4,0,2,4,0,0,0,NA,1.56601791242609e-07,3.13203582485217e-07,0,12771246
"14314","2020/03/26",0,0,4,0,0,4,0,0,0,NA,0,3.13203582485217e-07,0,12771246
"14313","2020/03/27",1,0,5,0,1,4,0,0,0,NA,7.83008956213043e-08,3.13203582485217e-07,0,12771246
"14312","2020/03/28",0,0,5,0,0,4,0,0,0,NA,0,3.13203582485217e-07,0,12771246
"14311","2020/03/29",3,0,8,0,3,7,0,0,0,NA,2.34902686863913e-07,5.4810626934913e-07,0,12771246
"14310","2020/03/30",0,0,8,0,0,7,0,0,0,NA,0,5.4810626934913e-07,0,12771246
"14309","2020/03/31",8,0,16,0,8,15,0,0,0,NA,6.26407164970434e-07,1.17451343431956e-06,0,12771246
"14308","2020/04/01",0,0,16,0,0,15,0,0,0,NA,0,1.17451343431956e-06,0,12771246
"14307","2020/04/02",14,0,30,0,14,28,0,0,0,NA,1.09621253869826e-06,2.19242507739652e-06,0,12771246
"14306","2020/04/03",22,0,52,0,22,50,0,0,0,NA,1.72261970366869e-06,3.91504478106522e-06,0,12771246
"14305","2020/04/04",0,0,52,0,0,50,0,0,0,NA,0,3.91504478106522e-06,0,12771246
"14304","2020/04/05",59,0,111,0,59,109,0,0,0,NA,4.61975284165695e-06,8.53479762272217e-06,0,12771246
"14303","2020/04/06",10,0,121,0,10,117,0,0,0,NA,7.83008956213043e-07,9.1612047876926e-06,0,12771246
"14302","2020/04/07",7,0,128,0,7,124,0,0,0,NA,5.4810626934913e-07,9.70931105704173e-06,0,12771246
"14301","2020/04/08",16,0,144,0,16,139,0,0,0,NA,1.25281432994087e-06,1.08838244913613e-05,0,12771246
"14300","2020/04/09",20,0,164,0,20,159,0,0,0,NA,1.56601791242609e-06,1.24498424037874e-05,0,12771246
"14299","2020/04/10",30,0,194,0,30,186,0,0,0,NA,2.34902686863913e-06,1.45639665855626e-05,0,12771246
"14298","2020/04/11",18,0,212,0,18,204,0,0,0,NA,1.40941612118348e-06,1.59733827067461e-05,0,12771246
"14297","2020/04/12",38,0,250,0,38,234,0,0,0,NA,2.97543403360956e-06,1.83224095753852e-05,0,12771246
"14296","2020/04/13",0,0,250,0,0,234,0,0,0,NA,0,1.83224095753852e-05,0,12771246
"14295","2020/04/14",69,0,319,0,69,289,0,0,0,NA,5.40276179787e-06,2.26289588345569e-05,0,12771246
"14294","2020/04/15",44,0,363,0,44,311,0,0,0,NA,3.44523940733739e-06,2.43515785382256e-05,0,12771246
