"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1","2020/03/13",1,1,1,1,0,NA,NA,782775
"2","2020/03/16",3,0,4,1,0,NA,NA,782775
"3","2020/03/17",0,0,4,1,0,NA,NA,782775
"4","2020/03/18",0,0,4,1,0,NA,NA,782775
"5","2020/03/19",1,0,5,1,0,NA,NA,782775
"6","2020/03/20",0,0,5,1,0,NA,NA,782775
"7","2020/03/21",0,0,5,1,0.000374144065278472,0.00037343778996384,0.000374851676357275,782775
"8","2020/03/22",0,0,5,1,0.000293513003675217,0.00010995074033237,0.000783531634857804,782775
"9","2020/03/23",0,0,5,1,0.000243384862832604,9.11726074111131e-05,0.000649714789760692,782775
"10","2020/03/24",0,0,5,1,0.000210124408667943,7.87131541214662e-05,0.000560926157906456,782775
"11","2020/03/25",0,0,5,1,0.000186872682698713,7.0002996641864e-05,0.000498855780669965,782775
"12","2020/03/26",0,0,5,1,0.00016992766731696,4.59161404927726e-05,0.000628872806161239,782775
"13","2020/03/27",0,0,5,1,0.000157160379805413,4.24662928231852e-05,0.000581623290816113,782775
"14","2020/03/28",0,0,5,1,0.000147277523310488,3.97958470125893e-05,0.000545048554076746,782775
"15","2020/03/29",3,0,8,1,0.000223129524132165,6.02918096852812e-05,0.000825763645167222,782775
"16","2020/03/30",0,0,8,1,0.00021023197159093,4.82464405557646e-05,0.00091607756696424,782775
"17","2020/03/31",0,0,8,1,0.000194650865935737,4.46707099849212e-05,0.000848183510455102,782775
"18","2020/04/01",4,1,12,2,0.000538064404079402,0.000329010205384741,0.00087995234858678,782775
"19","2020/04/02",7,2,19,4,0.00155527634829797,0.00140742775666108,0.00171865625651261,782775
"20","2020/04/03",0,0,19,4,0.00136832401631356,0.00123824759681661,0.00151206480709833,782775
"21","2020/04/04",4,0,23,4,0.00141069764941209,0.00119585515701068,0.00166413787354603,782775
"22","2020/04/05",1,0,24,4,0.0012460815767002,0.00100814740653348,0.00154017089735981,782775
"23","2020/04/06",5,0,29,4,0.00127946709483684,0.000999554264960841,0.00163776605648755,782775
"24","2020/04/07",2,1,31,5,0.00146425306217153,0.00120136182053597,0.00178467218903474,782775
