"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"15864","2020/03/05",2,0,2,0,2,2,0,NA,NA,NA,2.04650561213234e-07,2.04650561213234e-07,0,9772756
"15863","2020/03/07",2,0,4,0,2,4,0,0,NA,NA,2.04650561213234e-07,4.09301122426468e-07,0,9772756
"15862","2020/03/08",3,0,7,0,3,7,0,0,NA,NA,3.06975841819851e-07,7.16276964246319e-07,0,9772756
"15861","2020/03/09",1,0,8,0,1,8,0,0,NA,NA,1.02325280606617e-07,8.18602244852936e-07,0,9772756
"15860","2020/03/10",1,0,9,0,1,9,0,0,0,NA,1.02325280606617e-07,9.20927525459553e-07,0,9772756
"15859","2020/03/11",3,0,12,0,3,12,0,0,0,NA,3.06975841819851e-07,1.2279033672794e-06,0,9772756
"15858","2020/03/12",1,0,13,0,1,13,0,0,0,NA,1.02325280606617e-07,1.33022864788602e-06,0,9772756
"15857","2020/03/13",3,0,16,0,3,16,0,0,0,NA,3.06975841819851e-07,1.63720448970587e-06,0,9772756
"15856","2020/03/14",9,0,25,0,9,25,0,0,0,NA,9.20927525459553e-07,2.55813201516543e-06,0,9772756
"15855","2020/03/15",6,0,31,0,6,31,0,0,0,NA,6.13951683639702e-07,3.17208369880513e-06,0,9772756
"15854","2020/03/16",8,1,39,1,90.3560873431727,121.356087343173,82.3560873431727,4.50728459605424e-05,8.78510042706614e-06,0.000231250793300407,0.000104425795036311,1.24177956907113e-05,8.4271097470532e-06,9772756
"15853","2020/03/17",11,0,50,1,95.0972936216879,216.453380964861,166.453380964861,4.42311693398594e-05,7.94497962713774e-06,0.000246243090981484,8.41252899588641e-05,2.21486529454803e-05,1.70323889151495e-05,9772756
"15852","2020/03/18",0,0,50,1,0,214.453380964861,166.453380964861,3.40640387370979e-05,5.72323708934317e-06,0.000202745180213332,0,2.19440023842671e-05,1.70323889151495e-05,9772756
"15851","2020/03/19",23,0,73,1,120.319425788548,332.772806753408,263.772806753408,3.90763255415449e-05,6.31941920030111e-06,0.000241629676625352,6.44060417956856e-05,3.4051070829294e-05,2.69906264674375e-05,9772756
