"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"15394","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15393","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15392","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15391","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15390","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15389","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15388","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15387","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15386","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15385","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15384","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15383","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15382","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15381","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15380","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15379","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15378","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15377","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15376","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15375","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15374","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15373","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15372","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15371","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
"15370","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4904240
