"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"15656","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15655","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15654","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15653","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15652","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15651","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15650","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15649","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15648","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15647","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15646","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15645","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15644","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15643","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15642","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15641","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15640","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15639","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15638","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15637","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15636","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15635","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15634","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15633","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15632","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15631","2020/01/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15630","2020/01/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15629","2020/01/27",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15628","2020/01/28",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15627","2020/01/29",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15626","2020/01/30",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15625","2020/01/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15624","2020/02/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15623","2020/02/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15622","2020/02/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15621","2020/02/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15620","2020/02/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15619","2020/02/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15618","2020/02/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15617","2020/02/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15616","2020/02/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15615","2020/02/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15614","2020/02/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15613","2020/02/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15612","2020/02/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15611","2020/02/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15610","2020/02/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15609","2020/02/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15608","2020/02/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15607","2020/02/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15606","2020/02/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15605","2020/02/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15604","2020/02/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15603","2020/02/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15602","2020/02/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
"15601","2020/02/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,356991
