"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1","2019/12/31",0,0,0,0,NA,NA,NA,60550092
"2","2020/01/01",0,0,0,0,NA,NA,NA,60550092
"3","2020/01/02",0,0,0,0,NA,NA,NA,60550092
"4","2020/01/03",0,0,0,0,NA,NA,NA,60550092
"5","2020/01/04",0,0,0,0,NA,NA,NA,60550092
"6","2020/01/05",0,0,0,0,NA,NA,NA,60550092
"7","2020/01/06",0,0,0,0,NA,NA,NA,60550092
"8","2020/01/07",0,0,0,0,NA,NA,NA,60550092
"9","2020/01/08",0,0,0,0,NA,NA,NA,60550092
"10","2020/01/09",0,0,0,0,NA,NA,NA,60550092
"11","2020/01/10",0,0,0,0,NA,NA,NA,60550092
"12","2020/01/11",0,0,0,0,NA,NA,NA,60550092
"13","2020/01/12",0,0,0,0,NA,NA,NA,60550092
"14","2020/01/13",0,0,0,0,NA,NA,NA,60550092
"15","2020/01/14",0,0,0,0,NA,NA,NA,60550092
"16","2020/01/15",0,0,0,0,NA,NA,NA,60550092
"17","2020/01/16",0,0,0,0,NA,NA,NA,60550092
"18","2020/01/17",0,0,0,0,NA,NA,NA,60550092
"19","2020/01/18",0,0,0,0,NA,NA,NA,60550092
"20","2020/01/19",0,0,0,0,NA,NA,NA,60550092
"21","2020/01/20",0,0,0,0,NA,NA,NA,60550092
"22","2020/01/21",0,0,0,0,NA,NA,NA,60550092
"23","2020/01/22",0,0,0,0,NA,NA,NA,60550092
"24","2020/01/23",0,0,0,0,NA,NA,NA,60550092
"25","2020/01/24",0,0,0,0,NA,NA,NA,60550092
"26","2020/01/25",0,0,0,0,NA,NA,NA,60550092
"27","2020/01/26",0,0,0,0,NA,NA,NA,60550092
"28","2020/01/27",0,0,0,0,NA,NA,NA,60550092
"29","2020/01/28",0,0,0,0,NA,NA,NA,60550092
"30","2020/01/29",0,0,0,0,NA,NA,NA,60550092
"31","2020/01/30",0,0,0,0,NA,NA,NA,60550092
"32","2020/01/31",3,0,3,0,NA,NA,NA,60550092
"33","2020/02/01",0,0,3,0,0,NA,NA,60550092
"34","2020/02/02",0,0,3,0,0,NA,NA,60550092
"35","2020/02/03",0,0,3,0,0,NA,NA,60550092
"36","2020/02/04",0,0,3,0,0,0,NA,60550092
"37","2020/02/05",0,0,3,0,0,0,NA,60550092
"38","2020/02/06",0,0,3,0,0,0,NA,60550092
"39","2020/02/07",0,0,3,0,0,0,NA,60550092
"40","2020/02/08",0,0,3,0,0,0,NA,60550092
"41","2020/02/09",0,0,3,0,0,0,NA,60550092
"42","2020/02/10",0,0,3,0,0,0,NA,60550092
"43","2020/02/11",0,0,3,0,0,0,NA,60550092
"44","2020/02/12",0,0,3,0,0,0,NA,60550092
"45","2020/02/13",0,0,3,0,0,0,NA,60550092
"46","2020/02/14",0,0,3,0,0,0,NA,60550092
"47","2020/02/15",0,0,3,0,0,0,NA,60550092
"48","2020/02/16",0,0,3,0,0,0,NA,60550092
"49","2020/02/17",0,0,3,0,0,0,NA,60550092
"50","2020/02/18",0,0,3,0,0,0,NA,60550092
"51","2020/02/19",0,0,3,0,0,0,NA,60550092
"52","2020/02/20",0,0,3,0,0,0,NA,60550092
"53","2020/02/21",0,0,3,0,0,0,NA,60550092
