"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1",NA,1,0,1,0,NA,NA,NA,10101697
"2",NA,0,0,1,0,0,NA,NA,10101697
"3",NA,0,0,1,0,0,NA,NA,10101697
"4",NA,14,0,15,0,0,NA,NA,10101697
"5",NA,1,0,16,0,0,NA,NA,10101697
"6",NA,19,0,35,0,0,0,NA,10101697
"7",NA,17,0,52,0,0,0,NA,10101697
"8",NA,4,0,56,0,0,0,NA,10101697
"9",NA,13,0,69,0,0,0,NA,10101697
"10",NA,15,0,84,0,0,0,NA,10101697
"11",NA,15,0,99,0,0,0,NA,10101697
"12",NA,13,0,112,0,0,0,NA,10101697
"13",NA,15,0,127,0,0,0,NA,10101697
"14",NA,26,0,153,0,0,0,NA,10101697
"15",NA,19,0,172,0,0,0,NA,10101697
"16",NA,40,0,212,0,0,0,NA,10101697
"17",NA,23,1,235,1,2.65512531735996e-05,3.850867950987e-06,0.000183067571794534,10101697
"18",NA,24,0,259,1,2.46020363361677e-05,3.54922474375822e-06,0.000170533070060031,10101697
"19",NA,9,4,268,5,0.00010806777609294,7.45068870791449e-05,0.000156745835016141,10101697
"20",NA,6,0,274,5,9.51282256587539e-05,6.53897395155918e-05,0.000138391426300529,10101697
"21",NA,4,0,278,5,8.45749718153178e-05,5.79951309228504e-05,0.000123336661953176,10101697
"22",NA,21,0,299,5,8.11489341450229e-05,5.5547868852112e-05,0.000118549093762809,10101697
"23",NA,0,0,299,5,7.34480375520638e-05,5.02049359799904e-05,0.000107451869322161,10101697
"24",NA,24,0,323,5,7.26194001747498e-05,4.95802521681704e-05,0.000106364470754467,10101697
"25",NA,22,0,345,5,7.16458437598331e-05,4.88705581009506e-05,0.000105035160790574,10101697
"26",NA,4,1,349,6,8.07436589721227e-05,5.87482230499903e-05,0.00011097422399753,10101697
"27",NA,0,0,349,6,7.52850323046614e-05,5.47361944489004e-05,0.000103548230675868,10101697
"28",NA,9,0,358,6,7.24476713823758e-05,5.26417875783986e-05,9.97052974485707e-05,10101697
"29",NA,14,1,372,7,8.29364185188657e-05,6.31110510628283e-05,0.000108989620690817,10101697
"30",NA,0,0,372,7,7.8716393719585e-05,5.98733793959386e-05,0.000103489575880479,10101697
"31",NA,9,0,381,7,7.6845420731136e-05,5.84269860826122e-05,0.000101070054837258,10101697
"32",NA,8,0,389,7,7.5104532867673e-05,5.70843433907774e-05,9.88132738719157e-05,10101697
"33",NA,2,0,391,7,7.25126593384017e-05,5.50974886464403e-05,9.5432403427099e-05,10101697
"34",NA,6,0,397,7,7.09429617872524e-05,5.38909087332325e-05,9.33905912045597e-05,10101697
"35",NA,4,0,401,7,6.92598159668461e-05,5.25997193161162e-05,9.11967244336918e-05,10101697
"36",NA,1,0,402,7,6.72920457238833e-05,5.10949608162539e-05,8.86236009454913e-05,10101697
"37",NA,5,0,407,7,6.62031380651884e-05,5.02585867630296e-05,8.72061029161775e-05,10101697
"38",NA,6,0,413,7,6.54427523624283e-05,4.96733823156966e-05,8.62182850676707e-05,10101697
"39",NA,4,0,417,7,6.44949844388846e-05,4.8946542632052e-05,8.49825706596099e-05,10101697
"40",NA,8,0,425,7,6.42588484530301e-05,4.87611336714728e-05,8.4682190375841e-05,10101697
"41",NA,0,0,425,7,6.2894932364092e-05,4.77203442583702e-05,8.28948864171252e-05,10101697
"42",NA,3,0,428,7,6.20624306092529e-05,4.70831915543843e-05,8.18072260177882e-05,10101697
"43",NA,9,0,437,7,6.21744207663244e-05,4.71628538433426e-05,8.19640518461462e-05,10101697
"44",NA,4,0,441,7,6.16264599242979e-05,4.67428563669673e-05,8.12492187680036e-05,10101697
"45",NA,3,0,444,7,6.09788385565333e-05,4.62468148205945e-05,8.04037805874552e-05,10101697
"46",NA,3,0,447,7,6.03760093000754e-05,4.57856696641851e-05,7.9615795198344e-05,10101697
"47",NA,2,0,449,7,5.96910573983477e-05,4.52624562519339e-05,7.87191555292717e-05,10101697
"48",NA,0,1,449,8,6.72028753830921e-05,5.27700626705609e-05,8.55831172297413e-05,10101697
"49",NA,2,0,451,8,6.65649328954153e-05,5.22650021801203e-05,8.47773865215008e-05,10101697
