"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"5558","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5557","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5556","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5555","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5554","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5553","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5552","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5551","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5550","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5549","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5548","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5547","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5546","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5545","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5544","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5543","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5542","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5541","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5540","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5539","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5538","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5537","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5536","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5535","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5534","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5533","2020/01/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5532","2020/01/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5531","2020/01/27",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"5530","2020/01/28",1,0,1,0,1,1,0,NA,NA,NA,6.06555334648103e-08,6.06555334648103e-08,0,16486542
"5529","2020/01/29",0,0,1,0,0,1,0,0,NA,NA,0,6.06555334648103e-08,0,16486542
"5528","2020/01/30",0,0,1,0,0,1,0,0,NA,NA,0,6.06555334648103e-08,0,16486542
"5527","2020/01/31",0,0,1,0,0,1,0,0,NA,NA,0,6.06555334648103e-08,0,16486542
"5526","2020/02/01",0,0,1,0,0,1,0,0,NA,NA,0,6.06555334648103e-08,0,16486542
"5525","2020/02/02",0,0,1,0,0,1,0,0,NA,NA,0,6.06555334648103e-08,0,16486542
"5524","2020/02/03",0,0,1,0,0,1,0,0,NA,NA,0,6.06555334648103e-08,0,16486542
"5523","2020/02/04",0,0,1,0,0,1,0,0,NA,NA,0,6.06555334648103e-08,0,16486542
"5522","2020/02/05",0,0,1,0,0,1,0,0,NA,NA,0,6.06555334648103e-08,0,16486542
"5521","2020/02/06",0,0,1,0,0,1,0,0,0,NA,0,6.06555334648103e-08,0,16486542
"5520","2020/02/07",0,0,1,0,0,1,0,0,0,NA,0,6.06555334648103e-08,0,16486542
"5519","2020/02/08",0,0,1,0,0,1,0,0,0,NA,0,6.06555334648103e-08,0,16486542
"5518","2020/02/09",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5517","2020/02/10",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5516","2020/02/11",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5515","2020/02/12",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5514","2020/02/13",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5513","2020/02/14",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5512","2020/02/15",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5511","2020/02/16",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5510","2020/02/17",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5509","2020/02/18",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5508","2020/02/19",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5507","2020/02/20",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5506","2020/02/21",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5505","2020/02/22",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5504","2020/02/23",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5503","2020/02/24",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5502","2020/02/25",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5501","2020/02/26",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5500","2020/02/27",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5499","2020/02/28",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5498","2020/02/29",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5497","2020/03/01",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5496","2020/03/02",0,0,1,0,0,0,0,0,0,NA,0,0,0,16486542
"5495","2020/03/08",1,0,2,0,1,1,0,0,0,NA,6.06555334648103e-08,6.06555334648103e-08,0,16486542
"5494","2020/03/12",1,0,3,0,1,2,0,0,0,NA,6.06555334648103e-08,1.21311066929621e-07,0,16486542
"5493","2020/03/13",2,0,5,0,2,4,0,0,0,NA,1.21311066929621e-07,2.42622133859241e-07,0,16486542
"5492","2020/03/15",2,0,7,0,2,6,0,0,0,NA,1.21311066929621e-07,3.63933200788862e-07,0,16486542
"5491","2020/03/16",5,0,12,0,5,11,0,0,0,NA,3.03277667324051e-07,6.67210868112913e-07,0,16486542
"5490","2020/03/17",12,0,24,0,12,23,0,0,0,NA,7.27866401577723e-07,1.39507726969064e-06,0,16486542
"5489","2020/03/18",0,0,24,0,0,23,0,0,0,NA,0,1.39507726969064e-06,0,16486542
