"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"25270","2020/03/26",2,0,2,0,2,2,0,NA,NA,NA,3.78544119317106e-05,3.78544119317106e-05,0,52834
"25269","2020/03/27",0,0,2,0,0,2,0,0,NA,NA,0,3.78544119317106e-05,0,52834
"25268","2020/03/28",0,0,2,0,0,2,0,0,NA,NA,0,3.78544119317106e-05,0,52834
"25267","2020/03/29",0,0,2,0,0,2,0,0,NA,NA,0,3.78544119317106e-05,0,52834
"25266","2020/03/30",5,0,7,0,5,7,0,0,NA,NA,9.46360298292766e-05,0.000132490441760987,0,52834
"25265","2020/03/31",0,0,7,0,0,7,0,0,0,NA,0,0.000132490441760987,0,52834
"25264","2020/04/01",1,0,8,0,1,8,0,0,0,NA,1.89272059658553e-05,0.000151417647726843,0,52834
"25263","2020/04/02",0,0,8,0,0,8,0,0,0,NA,0,0.000151417647726843,0,52834
"25262","2020/04/03",0,0,8,0,0,8,0,0,0,NA,0,0.000151417647726843,0,52834
"25261","2020/04/04",1,0,9,0,1,9,0,0,0,NA,1.89272059658553e-05,0.000170344853692698,0,52834
"25260","2020/04/05",1,0,10,0,1,10,0,0,0,NA,1.89272059658553e-05,0.000189272059658553,0,52834
"25259","2020/04/06",0,0,10,0,0,10,0,0,0,NA,0,0.000189272059658553,0,52834
"25258","2020/04/07",1,0,11,0,1,9,0,0,0,NA,1.89272059658553e-05,0.000170344853692698,0,52834
"25257","2020/04/08",0,0,11,0,0,9,0,0,0,NA,0,0.000170344853692698,0,52834
"25256","2020/04/09",0,0,11,0,0,9,0,0,0,NA,0,0.000170344853692698,0,52834
"25255","2020/04/10",0,0,11,0,0,9,0,0,0,NA,0,0.000170344853692698,0,52834
"25254","2020/04/11",1,0,12,0,1,5,0,0,0,NA,1.89272059658553e-05,9.46360298292766e-05,0,52834
"25253","2020/04/12",0,0,12,0,0,5,0,0,0,NA,0,9.46360298292766e-05,0,52834
"25252","2020/04/13",0,0,12,0,0,4,0,0,0,NA,0,7.57088238634213e-05,0,52834
"25251","2020/04/14",0,0,12,0,0,4,0,0,0,NA,0,7.57088238634213e-05,0,52834
"25250","2020/04/15",2,0,14,0,2,6,0,0,0,NA,3.78544119317106e-05,0.000113563235795132,0,52834
"25249","2020/04/16",0,0,14,0,0,5,0,0,0,NA,0,9.46360298292766e-05,0,52834
"25248","2020/04/17",0,0,14,0,0,4,0,0,0,NA,0,7.57088238634213e-05,0,52834
"25247","2020/04/18",0,0,14,0,0,4,0,0,0,NA,0,7.57088238634213e-05,0,52834
"25246","2020/04/19",0,0,14,0,0,3,0,0,0,NA,0,5.6781617897566e-05,0,52834
"25245","2020/04/20",1,0,15,0,1,4,0,0,0,NA,1.89272059658553e-05,7.57088238634213e-05,0,52834
"25244","2020/04/21",0,0,15,0,0,4,0,0,0,NA,0,7.57088238634213e-05,0,52834
"25243","2020/04/22",0,0,15,0,0,4,0,0,0,NA,0,7.57088238634213e-05,0,52834
"25242","2020/04/23",0,0,15,0,0,3,0,0,0,NA,0,5.6781617897566e-05,0,52834
"25241","2020/04/24",0,0,15,0,0,3,0,0,0,NA,0,5.6781617897566e-05,0,52834
"25240","2020/04/25",0,0,15,0,0,3,0,0,0,NA,0,5.6781617897566e-05,0,52834
"25239","2020/04/26",0,0,15,0,0,3,0,0,0,NA,0,5.6781617897566e-05,0,52834
"25238","2020/04/27",0,0,15,0,0,1,0,0,0,NA,0,1.89272059658553e-05,0,52834
"25237","2020/04/28",0,0,15,0,0,1,0,0,0,NA,0,1.89272059658553e-05,0,52834
"25236","2020/04/29",0,0,15,0,0,1,0,0,0,NA,0,1.89272059658553e-05,0,52834
"25235","2020/04/30",0,0,15,0,0,1,0,0,0,NA,0,1.89272059658553e-05,0,52834
"25234","2020/05/01",0,0,15,0,0,1,0,0,0,NA,0,1.89272059658553e-05,0,52834
"25233","2020/05/02",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25232","2020/05/03",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25231","2020/05/04",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25230","2020/05/05",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25229","2020/05/06",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25228","2020/05/07",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25227","2020/05/08",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25226","2020/05/09",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25225","2020/05/10",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25224","2020/05/11",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25223","2020/05/12",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25222","2020/05/13",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25221","2020/05/14",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25220","2020/05/15",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25219","2020/05/16",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25218","2020/05/17",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25217","2020/05/18",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25216","2020/05/19",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25215","2020/05/20",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25214","2020/05/21",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25213","2020/05/22",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25212","2020/05/23",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25211","2020/05/24",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25210","2020/05/25",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25209","2020/05/26",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25208","2020/05/27",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25207","2020/05/28",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25206","2020/05/29",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25205","2020/05/30",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25204","2020/05/31",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25203","2020/06/01",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25202","2020/06/02",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25201","2020/06/03",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25200","2020/06/04",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25199","2020/06/05",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25198","2020/06/06",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25197","2020/06/07",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25196","2020/06/08",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25195","2020/06/09",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25194","2020/06/10",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25193","2020/06/11",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25192","2020/06/12",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25191","2020/06/13",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25190","2020/06/14",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25189","2020/06/15",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25188","2020/06/16",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25187","2020/06/17",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25186","2020/06/18",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25185","2020/06/19",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25184","2020/06/20",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25183","2020/06/21",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25182","2020/06/22",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25181","2020/06/23",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25180","2020/06/24",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25179","2020/06/25",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25178","2020/06/26",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25177","2020/06/27",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25176","2020/06/28",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25175","2020/06/29",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25174","2020/06/30",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25173","2020/07/01",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25172","2020/07/02",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25171","2020/07/03",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25170","2020/07/04",0,0,15,0,0,0,0,0,0,NA,0,0,0,52834
"25169","2020/07/05",1,0,16,0,1,1,0,0,0,NA,1.89272059658553e-05,1.89272059658553e-05,0,52834
"25168","2020/07/06",0,0,16,0,0,1,0,0,0,NA,0,1.89272059658553e-05,0,52834
"25167","2020/07/07",0,0,16,0,0,1,0,0,0,NA,0,1.89272059658553e-05,0,52834
