"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"15888","2020/03/25",2,0,2,0,NA,NA,NA,2.78961193150498e-07,0,7169456
"15887","2020/03/26",0,0,2,0,0,NA,NA,2.78961193150498e-07,0,7169456
"15886","2020/03/27",4,0,6,0,0,NA,NA,8.36883579451495e-07,0,7169456
"15885","2020/03/28",0,0,6,0,0,NA,NA,8.36883579451495e-07,0,7169456
"15884","2020/03/29",0,0,6,0,0,0,NA,8.36883579451495e-07,0,7169456
"15883","2020/03/30",0,0,6,0,0,0,NA,8.36883579451495e-07,0,7169456
"15882","2020/03/31",3,0,9,0,0,0,NA,1.25532536917724e-06,0,7169456
"15881","2020/04/01",0,0,9,0,0,0,NA,1.25532536917724e-06,0,7169456
"15880","2020/04/02",1,0,10,0,0,0,NA,1.39480596575249e-06,0,7169456
"15879","2020/04/03",0,0,10,0,0,0,NA,1.39480596575249e-06,0,7169456
"15878","2020/04/04",0,0,10,0,0,0,NA,1.39480596575249e-06,0,7169456
"15877","2020/04/05",0,0,10,0,0,0,NA,1.39480596575249e-06,0,7169456
"15876","2020/04/06",1,0,11,0,0,0,NA,1.25532536917724e-06,0,7169456
"15875","2020/04/07",1,0,12,0,0,0,NA,1.39480596575249e-06,0,7169456
"15874","2020/04/08",0,0,12,0,0,0,NA,8.36883579451495e-07,0,7169456
"15873","2020/04/09",3,0,15,0,0,0,NA,1.25532536917724e-06,0,7169456
"15872","2020/04/10",1,0,16,0,0,0,NA,1.39480596575249e-06,0,7169456
"15871","2020/04/11",0,0,16,0,0,0,NA,1.39480596575249e-06,0,7169456
"15870","2020/04/12",2,0,18,0,0,0,NA,1.25532536917724e-06,0,7169456
"15869","2020/04/13",1,0,19,0,0,0,NA,1.39480596575249e-06,0,7169456
"15868","2020/04/14",0,0,19,0,0,0,NA,1.25532536917724e-06,0,7169456
"15867","2020/04/15",0,0,19,0,0,0,NA,1.25532536917724e-06,0,7169456
"15866","2020/04/16",0,0,19,0,0,0,NA,1.25532536917724e-06,0,7169456
"15865","2020/04/17",0,0,19,0,0,0,NA,1.25532536917724e-06,0,7169456
"15864","2020/04/18",0,0,19,0,0,0,NA,1.11584477260199e-06,0,7169456
"15863","2020/04/19",0,0,19,0,0,0,NA,9.76364176026745e-07,0,7169456
"15862","2020/04/20",0,0,19,0,0,0,NA,9.76364176026745e-07,0,7169456
"15861","2020/04/21",0,0,19,0,0,0,NA,5.57922386300997e-07,0,7169456
"15860","2020/04/22",0,0,19,0,0,0,NA,4.18441789725748e-07,0,7169456
"15859","2020/04/23",0,0,19,0,0,0,NA,4.18441789725748e-07,0,7169456
"15858","2020/04/24",0,0,19,0,0,0,NA,1.39480596575249e-07,0,7169456
"15857","2020/04/25",0,0,19,0,0,0,NA,0,0,7169456
"15856","2020/04/26",0,0,19,0,0,0,NA,0,0,7169456
"15855","2020/04/27",0,0,19,0,0,0,NA,0,0,7169456
"15854","2020/04/28",0,0,19,0,0,0,NA,0,0,7169456
"15853","2020/04/29",0,0,19,0,0,0,NA,0,0,7169456
