"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"17195","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17194","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17193","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17192","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17191","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17190","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17189","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17188","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17187","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17186","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17185","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17184","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17183","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17182","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17181","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17180","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17179","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17178","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17177","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17176","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17175","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17174","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17173","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17172","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17171","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17170","2020/01/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17169","2020/01/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17168","2020/01/27",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17167","2020/01/28",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17166","2020/01/29",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17165","2020/01/30",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17164","2020/01/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17163","2020/02/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17162","2020/02/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17161","2020/02/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17160","2020/02/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17159","2020/02/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17158","2020/02/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17157","2020/02/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17156","2020/02/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17155","2020/02/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17154","2020/02/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17153","2020/02/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17152","2020/02/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17151","2020/02/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17150","2020/02/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17149","2020/02/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17148","2020/02/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17147","2020/02/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17146","2020/02/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17145","2020/02/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17144","2020/02/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17143","2020/02/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,6855709
"17142","2020/02/22",1,0,1,0,1,1,0,NA,NA,NA,1.45863834068803e-07,1.45863834068803e-07,0,6855709
"17141","2020/02/23",0,0,1,0,0,1,0,0,NA,NA,0,1.45863834068803e-07,0,6855709
"17140","2020/02/24",0,0,1,0,0,1,0,0,NA,NA,0,1.45863834068803e-07,0,6855709
"17139","2020/02/25",0,0,1,0,0,1,0,0,NA,NA,0,1.45863834068803e-07,0,6855709
"17138","2020/02/26",0,0,1,0,0,1,0,0,NA,NA,0,1.45863834068803e-07,0,6855709
"17137","2020/02/27",1,0,2,0,1,2,0,0,NA,NA,1.45863834068803e-07,2.91727668137606e-07,0,6855709
"17136","2020/02/28",1,0,3,0,1,3,0,0,NA,NA,1.45863834068803e-07,4.37591502206409e-07,0,6855709
"17135","2020/02/29",0,0,3,0,0,3,0,0,NA,NA,0,4.37591502206409e-07,0,6855709
"17134","2020/03/01",1,0,4,0,1,4,0,0,0,NA,1.45863834068803e-07,5.83455336275212e-07,0,6855709
"17133","2020/03/02",6,0,10,0,6,10,0,0,0,NA,8.75183004412819e-07,1.45863834068803e-06,0,6855709
"17132","2020/03/03",3,0,13,0,3,13,0,0,0,NA,4.37591502206409e-07,1.89622984289444e-06,0,6855709
"17131","2020/03/06",3,0,16,0,3,16,0,0,0,NA,4.37591502206409e-07,2.33382134510085e-06,0,6855709
"17130","2020/03/07",6,0,22,0,6,21,0,0,0,NA,8.75183004412819e-07,3.06314051544487e-06,0,6855709
"17129","2020/03/09",10,0,32,0,10,31,0,0,0,NA,1.45863834068803e-06,4.5217788561329e-06,0,6855709
"17128","2020/03/10",9,0,41,0,9,40,0,0,0,NA,1.31277450661923e-06,5.83455336275212e-06,0,6855709
