"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"1","2020/05/15",1,0,1,0,NA,NA,NA,4.70529114694765e-07,0,2125267
"2","2020/05/16",0,0,1,0,0,NA,NA,4.70529114694765e-07,0,2125267
"3","2020/05/17",0,0,1,0,0,NA,NA,4.70529114694765e-07,0,2125267
"4","2020/05/18",0,0,1,0,0,NA,NA,4.70529114694765e-07,0,2125267
"5","2020/05/19",0,0,1,0,0,NA,NA,4.70529114694765e-07,0,2125267
"6","2020/05/20",0,0,1,0,0,NA,NA,4.70529114694765e-07,0,2125267
"7","2020/05/21",0,0,1,0,0,NA,NA,4.70529114694765e-07,0,2125267
"8","2020/05/22",0,0,1,0,0,NA,NA,4.70529114694765e-07,0,2125267
"9","2020/05/23",0,0,1,0,0,NA,NA,4.70529114694765e-07,0,2125267
"10","2020/05/24",1,0,2,0,0,0,NA,9.41058229389531e-07,0,2125267
"11","2020/05/25",0,0,2,0,0,0,NA,9.41058229389531e-07,0,2125267
"12","2020/05/26",0,0,2,0,0,0,NA,9.41058229389531e-07,0,2125267
"13","2020/05/27",0,0,2,0,0,0,NA,4.70529114694765e-07,0,2125267
"14","2020/05/28",0,0,2,0,0,0,NA,4.70529114694765e-07,0,2125267
"15","2020/05/29",0,0,2,0,0,0,NA,4.70529114694765e-07,0,2125267
"16","2020/05/30",0,0,2,0,0,0,NA,4.70529114694765e-07,0,2125267
"17","2020/05/31",0,0,2,0,0,0,NA,4.70529114694765e-07,0,2125267
"18","2020/06/01",0,0,2,0,0,0,NA,4.70529114694765e-07,0,2125267
"19","2020/06/02",0,0,2,0,0,0,NA,4.70529114694765e-07,0,2125267
"20","2020/06/03",0,0,2,0,0,0,NA,4.70529114694765e-07,0,2125267
"21","2020/06/04",0,0,2,0,0,0,NA,4.70529114694765e-07,0,2125267
"22","2020/06/05",2,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"23","2020/06/06",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"24","2020/06/07",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"25","2020/06/08",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"26","2020/06/09",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"27","2020/06/10",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"28","2020/06/11",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"29","2020/06/12",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"30","2020/06/13",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"31","2020/06/14",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"32","2020/06/15",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"33","2020/06/16",0,0,4,0,0,0,NA,9.41058229389531e-07,0,2125267
"34","2020/06/17",0,0,4,0,0,0,NA,0,0,2125267
"35","2020/06/18",0,0,4,0,0,0,NA,0,0,2125267
"36","2020/06/19",0,0,4,0,0,0,NA,0,0,2125267
"37","2020/06/20",0,0,4,0,0,0,NA,0,0,2125267
"38","2020/06/21",0,0,4,0,0,0,NA,0,0,2125267
"39","2020/06/22",0,0,4,0,0,0,NA,0,0,2125267
"40","2020/06/23",0,0,4,0,0,0,NA,0,0,2125267
"41","2020/06/24",13,0,17,0,0,0,NA,6.11687849103195e-06,0,2125267
"42","2020/06/25",0,0,17,0,0,0,NA,6.11687849103195e-06,0,2125267
"43","2020/06/26",3,0,20,0,0,0,NA,7.52846583511625e-06,0,2125267
"44","2020/06/27",4,0,24,0,0,0,NA,9.41058229389531e-06,0,2125267
"45","2020/06/28",0,0,24,0,0,0,NA,9.41058229389531e-06,0,2125267
"46","2020/06/29",3,0,27,0,0,0,NA,1.08221696379796e-05,0,2125267
"47","2020/06/30",0,0,27,0,0,0,NA,1.08221696379796e-05,0,2125267
"48","2020/07/01",0,0,27,0,0,0,NA,1.08221696379796e-05,0,2125267
"49","2020/07/02",8,0,35,0,0,0,NA,1.45864025555377e-05,0,2125267
"50","2020/07/03",0,0,35,0,0,0,NA,1.45864025555377e-05,0,2125267
"51","2020/07/04",0,0,35,0,0,0,NA,1.45864025555377e-05,0,2125267
"52","2020/07/05",0,0,35,0,0,0,NA,1.45864025555377e-05,0,2125267
"53","2020/07/06",44,0,79,0,0,0,NA,2.91728051110755e-05,0,2125267
