"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"18702","2020/03/08",1,0,1,0,NA,NA,NA,2.47325300537339e-07,0,4043258
"18701","2020/03/11",2,0,3,0,0,NA,NA,7.41975901612017e-07,0,4043258
"18700","2020/03/12",1,0,4,0,0,NA,NA,9.89301202149356e-07,0,4043258
"18699","2020/03/13",2,0,6,0,0,NA,NA,1.48395180322403e-06,0,4043258
"18698","2020/03/14",2,0,8,0,0,0,NA,1.97860240429871e-06,0,4043258
"18697","2020/03/15",12,0,20,0,0,0,NA,4.94650601074678e-06,0,4043258
"18696","2020/03/16",3,0,23,0,0,0,NA,5.6884819123588e-06,0,4043258
"18695","2020/03/17",6,0,29,0,0,0,NA,7.17243371558283e-06,0,4043258
"18694","2020/03/18",1,0,30,0,0,0,NA,7.41975901612017e-06,0,4043258
"18693","2020/03/19",6,1,36,1,0.000102021413867447,1.98848851772398e-05,0.000523431178744063,2.44233279940281e-05,1.55196171746839e-05,4043258
"18692","2020/03/20",13,0,49,1,0.000104008610908383,1.86824428801463e-05,0.000579035151478368,5.20174492554359e-05,3.98985095291063e-05,4043258
"18691","2020/03/21",17,0,66,1,0.000108257780925199,1.8188828159308e-05,0.000644337668606254,7.99020291907143e-05,6.357855935525e-05,4043258
"18690","2020/03/22",14,0,80,1,0.000101778764559949,1.6459650953088e-05,0.000629352162137195,9.7465987688168e-05,7.79272889457182e-05,4043258
"18689","2020/03/23",14,0,94,1,9.28432494754582e-05,1.45546710579041e-05,0.000592240727314893,0.000110799055094076,8.82924527451786e-05,4043258
"18688","2020/03/24",15,0,109,1,8.44904203002431e-05,1.29353782363613e-05,0.000551868758073505,0.000122178851853206,9.6209695296785e-05,4043258
"18687","2020/03/25",16,0,125,1,7.73016016788454e-05,1.16279465855455e-05,0.000513894484993847,0.000131578806267023,0.00010214709550308,4043258
"18686","2020/03/26",24,0,149,1,7.47976667452391e-05,1.11044023988997e-05,0.000503826387909554,0.000143132101987329,0.000108259234611564,4043258
"18685","2020/03/27",28,0,177,1,7.31215098750138e-05,1.07597732174443e-05,0.000496920808491886,0.000151731442880883,0.000112901370696521,4043258
"18684","2020/03/28",22,1,199,2,0.000136403848837554,5.30599696383884e-05,0.000350660019304589,0.000166069289463825,0.000122540036569253,4043258
"18683","2020/03/29",32,0,231,2,0.00013235543322166,5.11474479330515e-05,0.000342499213767678,0.000182920289448883,0.00013296057874034,4043258
"18682","2020/03/30",32,0,263,2,0.000127029635240628,4.88628503192319e-05,0.00033024123897692,0.000198129041439981,0.000140502246414781,4043258
"18681","2020/03/31",35,0,298,2,0.000122193191531771,4.68168214739557e-05,0.000318927590268517,0.000195477021803053,0.00013067779306227,4043258
"18680","2020/04/01",55,2,353,4,0.000247430607788073,0.000154231753323054,0.000396947479045639,0.000206434411670098,0.000131247520306747,4043258
"18679","2020/04/02",70,1,423,5,0.000318124064147331,0.000218115020423105,0.000463988770664667,0.000231194475919957,0.000142899343628127,4043258
"18678","2020/04/03",82,1,505,6,0.000391029463348027,0.000285524394489984,0.000535520061182057,0.000276877085180458,0.000171763832452089,4043258
