"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"19913","2020/03/18",2,0,2,0,2,2,0,NA,NA,NA,3.21449350833036e-06,3.21449350833036e-06,0,622182
"19912","2020/03/19",6,0,8,0,6,8,0,0,NA,NA,9.64348052499108e-06,1.28579740333214e-05,0,622182
"19911","2020/03/20",5,0,13,0,5,13,0,0,NA,NA,8.0362337708259e-06,2.08942078041473e-05,0,622182
"19910","2020/03/21",1,0,14,0,1,14,0,0,0,NA,1.60724675416518e-06,2.25014545583125e-05,0,622182
"19909","2020/03/22",0,0,14,0,0,14,0,0,0,NA,0,2.25014545583125e-05,0,622182
"19908","2020/03/23",7,0,21,0,7,21,0,0,0,NA,1.12507272791563e-05,3.37521818374688e-05,0,622182
"19907","2020/03/24",6,0,27,0,6,27,0,0,0,NA,9.64348052499108e-06,4.33956623624599e-05,0,622182
"19906","2020/03/25",20,0,47,0,20,47,0,0,0,NA,3.21449350833036e-05,7.55405974457635e-05,0,622182
"19905","2020/03/26",6,0,53,0,6,53,0,0,0,NA,9.64348052499108e-06,8.51840779707545e-05,0,622182
"19904","2020/03/27",14,1,67,1,103.60949141701,156.60949141701,89.6094914170096,0.000796945947021892,0.000136305319040507,0.0046595602207268,0.00123240543668336,0.000251710096751448,0.000144024564222381,622182
"19903","2020/03/28",8,0,75,1,43.4545397203013,200.064031137311,125.064031137311,0.000654770324242464,0.000107035896703451,0.00400542426151093,0.000379369907499583,0.000321552264670644,0.000201008758108256,622182
"19902","2020/03/29",9,0,84,1,37.0336410843594,237.09767222167,153.09767222167,0.000555540527992379,8.70899035734505e-05,0.00354375496560013,0.000244924863351015,0.000381074464098399,0.000246065736748524,622182
"19901","2020/03/30",1,0,85,1,3.22783272865663,238.325504950327,155.325504950327,0.000440973512470328,6.77745141520846e-05,0.00286918528495918,1.67457498355576e-05,0.000383047894266191,0.000249646413670481,622182
"19900","2020/03/31",6,0,91,1,15.737403280657,248.062908230984,165.062908230984,0.000383624003517671,5.78453703492792e-05,0.00254415133287775,6.63433588076678e-05,0.000398698304083024,0.000265296823487314,622182
"19899","2020/04/01",18,0,109,1,39.6566237385692,282.719531969553,186.719531969553,0.000385968877586734,5.75849462722168e-05,0.00258699511086351,0.000140424060121605,0.000454400050097163,0.000300104361697306,622182
"19898","2020/04/02",14,0,123,1,26.4357379347905,308.155269904344,199.155269904344,0.000373294052909097,5.52603641118553e-05,0.00252167086078618,8.02301118318758e-05,0.000495281557332651,0.000320091661128647,622182
"19897","2020/04/03",21,1,144,2,68.5530249667784,376.708294871122,246.708294871122,0.000755531155652977,0.000295916399518284,0.00192901551955742,0.000359680181782343,0.00060546318419871,0.000396521106157237,622182
"19896","2020/04/04",30,0,174,2,84.9789133693978,454.68720824052,301.68720824052,0.000792176079575602,0.00030837777354009,0.00203498110077051,0.000386886565744622,0.000730794539605003,0.00048488578621773,622182
"19895","2020/04/05",27,0,201,2,66.2670997942336,514.954308034753,340.954308034753,0.000792889770055431,0.000307051367289421,0.00204745607553663,0.000261405500090001,0.000827658640132234,0.000547997704907492,622182
"19894","2020/04/06",13,0,214,2,27.5455244273708,522.499832462124,355.499832462124,0.000728792716286251,0.000280991209997769,0.00189023287709288,9.3808306396976e-05,0.0008397861597766,0.000571375951831015,622182
"19893","2020/04/07",19,0,233,2,34.8236293450981,551.323461807222,371.323461807222,0.000686370973648754,0.000263575246469108,0.00178736478397927,0.00010258338360334,0.000886112844484769,0.000596808428735036,622182
"19892","2020/04/08",8,0,241,2,12.7859622866273,460.49993267684,286.49993267684,0.000619074666069811,0.000236956091764995,0.00161740278257773,3.28442544936721e-05,0.000740137022088135,0.000460476086863394,622182
"19891","2020/04/09",8,0,249,2,11.27094338629,428.316336342829,254.316336342829,0.000563835200790567,0.000215271849206621,0.00147678451605349,2.55219061337669e-05,0.000688410041342933,0.000408749106118192,622182
"19890","2020/04/10",3,0,252,2,3.77459882327196,395.057294081741,227.057294081741,0.000509603783386284,0.000194180378512647,0.0013373957658894,7.63313429009844e-06,0.000634954553622158,0.000364937098922408,622182
"19889","2020/04/11",5,0,257,2,5.6938606985879,397.523322051673,225.523322051673,0.000470383971100768,0.0001789475772349,0.00123645753514776,1.04214039155501e-05,0.00063891806907251,0.000362471627356099,622182
"19888","2020/04/12",6,0,263,2,6.26325588193169,388.049174652947,216.049174652947,0.000441252531935466,0.000167641634364683,0.00116142864913799,1.05082795287531e-05,0.000623690776417427,0.000347244334701016,622182
"19887","2020/04/13",9,1,272,3,13.0589435558653,361.451494470243,198.451494470243,0.000634332549210389,0.000333758334715334,0.00120559620879863,3.04548270433332e-05,0.000580941741275452,0.000318960520346528,622182
"19886","2020/04/14",2,0,274,3,2.71231934005957,337.728075875512,186.728075875512,0.000597233204413115,0.000313981741915244,0.00113601350918628,5.91199697392496e-06,0.000542812353741369,0.000300118093862427,622182
"19885","2020/04/15",9,1,283,4,15.3178585700276,284.492909478762,145.492909478762,0.000774148967364999,0.000478858064702897,0.0012515329026444,4.19021356686571e-05,0.000457250305342748,0.000233843006513788,622182
"19884","2020/04/16",5,0,288,4,8.05892480381934,207.572920913183,93.5729209131832,0.000746074410220794,0.000461196747553755,0.00120691880100787,2.08769360070252e-05,0.000333620903390299,0.000150394773415469,622182
"19883","2020/04/17",15,0,303,4,23.0055543546124,164.311375473562,62.311375473562,0.000746907171797274,0.000461472187312238,0.00120889262369509,5.67096156390496e-05,0.000264088924902299,0.00010014975597745,622182
"19882","2020/04/18",0,0,303,4,0,136.765851046191,47.7658510461912,0.000713173322684573,0.00044042227236251,0.00115483757317866,0,0.000219816470174629,7.67715090539283e-05,622182
"19881","2020/04/19",4,1,307,5,7.01001734073372,108.952239041827,34.9522390418268,0.00086472901964588,0.000588746259081647,0.00127008242665373,1.9745164243496e-05,0.000175113132559005,5.61768727507817e-05,622182
"19880","2020/04/20",1,0,308,5,1.68342268193886,97.8496994371384,30.8496994371384,0.000833348097561754,0.000567180857020232,0.00122442258604829,4.55479574475991e-06,0.000157268611816379,4.95830792873121e-05,622182
"19879","2020/04/21",4,0,312,5,6.49103768316976,93.0697937340181,30.0697937340181,0.0008137505413002,0.000553661562961361,0.00119601935146902,1.6929760988075e-05,0.000149586123889823,4.83295783774171e-05,622182
"19878","2020/04/22",1,0,313,5,1.56962507165319,90.8648199823994,29.8648199823994,0.000789628512922986,0.000537085850899752,0.00116091903627032,3.95981057883753e-06,0.000146042186984515,4.80001349804388e-05,622182
"19877","2020/04/23",2,0,315,5,3.04578023452629,88.2167395183378,30.2167395183378,0.000771012962345248,0.000524293156278355,0.0011338332018753,7.45503505166578e-06,0.000141786068253884,4.85657565123031e-05,622182
"19876","2020/04/24",4,0,319,5,5.92722783741514,87.8807114738212,31.8807114738212,0.000759739786804918,0.000516505788354562,0.00111751805433428,1.4116460230539e-05,0.000141245988270026,5.12401700367758e-05,622182
"19875","2020/04/25",0,1,319,6,0,74.8217679179559,27.8217679179559,0.00088925552033724,0.000645249603074928,0.00122553408275158,0,0.000120257043627035,4.47164461812716e-05,622182
"19874","2020/04/26",1,0,320,6,1.69531187761333,73.8047604555097,27.8047604555097,0.000871931044029343,0.000632582364499586,0.00120184151220137,4.61935954813355e-06,0.000118622461684057,4.46891109924583e-05,622182
"19873","2020/04/27",1,1,321,7,1.93733450575257,60.4242363912346,22.4242363912347,0.000999521645349068,0.000759657924355233,0.00131512288293347,6.03242296816614e-06,9.71166578127214e-05,3.60412811544446e-05,622182
"19872","2020/04/28",0,0,321,7,0,52.3653115874153,19.3653115874153,0.000980948100004666,0.000745437193708664,0.00129086552565935,0,8.41639770797215e-05,3.11248341922706e-05,622182
"19871","2020/04/29",0,0,321,7,0,29.3597572328029,11.3597572328029,0.000964457679444349,0.000732826468205606,0.00126930270097477,0,4.71883745155e-05,1.82579329405268e-05,622182
"19870","2020/04/30",1,0,322,7,1.84110033348146,31.2008575662843,12.2008575662843,0.000952831016295924,0.000723897296082155,0.00125416540513295,5.44800466414257e-06,5.01474770505806e-05,1.96097887214422e-05,622182
"19869","2020/05/01",0,0,322,7,0,24.1908402255506,9.19084022555061,0.000939862049854937,0.000713989820428928,0.00123718944932136,0,3.88806494330447e-05,1.4771948120567e-05,622182
"19868","2020/05/02",0,0,322,7,0,22.5074175436117,8.50741754361175,0.000928302445121259,0.000705138256391163,0.00122209427982031,0,3.61749737916104e-05,1.36735192332979e-05,622182
