"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"1",NA,3,0,3,0,NA,NA,NA,1.11237567625952e-07,0,26969306
"2",NA,0,0,3,0,0,NA,NA,1.11237567625952e-07,0,26969306
"3",NA,0,0,3,0,0,NA,NA,1.11237567625952e-07,0,26969306
"4",NA,14,0,17,0,0,NA,NA,6.30346216547063e-07,0,26969306
"5",NA,2,0,19,0,0,0,NA,7.04504594964364e-07,0,26969306
"6",NA,0,0,19,0,0,0,NA,7.04504594964364e-07,0,26969306
"7",NA,4,0,23,0,0,0,NA,8.52821351798967e-07,0,26969306
"8",NA,1,0,24,0,0,0,NA,8.89900541007618e-07,0,26969306
"9",NA,4,0,28,0,0,0,NA,1.03821729784222e-06,0,26969306
"10",NA,9,0,37,0,0,0,NA,1.37193000072008e-06,0,26969306
"11",NA,7,0,44,0,0,0,NA,1.63148432518063e-06,0,26969306
"12",NA,2,0,46,0,0,0,NA,1.70564270359793e-06,0,26969306
"13",NA,8,0,54,0,0,0,NA,1.89103864964119e-06,0,26969306
"14",NA,5,0,59,0,0,0,NA,2.07643459568444e-06,0,26969306
"15",NA,6,0,65,0,0,0,NA,2.29890973093635e-06,0,26969306
"16",NA,6,0,71,0,0,0,NA,2.00227621726714e-06,0,26969306
"17",NA,1,0,72,0,0,0,NA,1.96519702805849e-06,0,26969306
"18",NA,5,0,77,0,0,0,NA,2.15059297410174e-06,0,26969306
"19",NA,8,0,85,0,0,0,NA,2.29890973093635e-06,0,26969306
"20",NA,8,0,93,0,0,0,NA,2.5584640553969e-06,0,26969306
"21",NA,0,0,93,0,0,0,NA,2.4101472985623e-06,0,26969306
"22",NA,9,0,102,0,0,0,NA,2.4101472985623e-06,0,26969306
"23",NA,0,0,102,0,0,0,NA,2.15059297410174e-06,0,26969306
"24",NA,4,0,106,0,0,0,NA,2.22475135251905e-06,0,26969306
"25",NA,0,0,106,0,0,0,NA,1.92811783884984e-06,0,26969306
"26",NA,2,0,108,0,0,0,NA,1.81688027122389e-06,0,26969306
"27",NA,2,0,110,0,0,0,NA,1.66856351438928e-06,0,26969306
"28",NA,1,0,111,0,0,0,NA,1.48316756834603e-06,0,26969306
"29",NA,6,0,117,0,0,0,NA,1.66856351438928e-06,0,26969306
"30",NA,0,0,117,0,0,0,NA,1.48316756834603e-06,0,26969306
"31",NA,4,0,121,0,0,0,NA,1.33485081151143e-06,0,26969306
"32",NA,0,0,121,0,0,0,NA,1.03821729784222e-06,0,26969306
"33",NA,0,0,121,0,0,0,NA,1.03821729784222e-06,0,26969306
"34",NA,0,0,121,0,0,0,NA,7.04504594964364e-07,0,26969306
"35",NA,0,0,121,0,0,0,NA,7.04504594964364e-07,0,26969306
"36",NA,1,0,122,0,0,0,NA,5.93267027338412e-07,0,26969306
"37",NA,2,0,124,0,0,0,NA,6.67425405755714e-07,0,26969306
"38",NA,0,0,124,0,0,0,NA,5.93267027338412e-07,0,26969306
"39",NA,4,0,128,0,0,0,NA,6.67425405755714e-07,0,26969306
"40",NA,0,0,128,0,0,0,NA,6.30346216547063e-07,0,26969306
"41",NA,0,0,128,0,0,0,NA,4.07871081295158e-07,0,26969306
"42",NA,4,0,132,0,0,0,NA,5.56187838129761e-07,0,26969306
"43",NA,3,0,135,0,0,0,NA,5.1910864892111e-07,0,26969306
"44",NA,0,0,135,0,0,0,NA,5.1910864892111e-07,0,26969306
"45",NA,14,0,149,0,0,0,NA,1.03821729784222e-06,0,26969306
"46",NA,0,0,149,0,0,0,NA,1.03821729784222e-06,0,26969306
"47",NA,9,0,158,0,0,0,NA,1.37193000072008e-06,0,26969306
"48",NA,0,0,158,0,0,0,NA,1.33485081151143e-06,0,26969306
"49",NA,11,0,169,0,0,0,NA,1.66856351438928e-06,0,26969306
"50",NA,0,0,169,0,0,0,NA,1.66856351438928e-06,0,26969306
"51",NA,0,0,169,0,0,0,NA,1.52024675755468e-06,0,26969306
"52",NA,2,0,171,0,0,0,NA,1.59440513597198e-06,0,26969306
"53",NA,15,0,186,0,0,0,NA,2.15059297410174e-06,0,26969306
"54",NA,6,0,192,0,0,0,NA,2.22475135251905e-06,0,26969306
"55",NA,20,0,212,0,0,0,NA,2.85509756906611e-06,0,26969306
"56",NA,18,0,230,0,0,0,NA,3.52252297482182e-06,0,26969306
