"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"21434","2019/12/31",0,0,0,0,NA,NA,NA,0,0,2077132
"21433","2020/01/01",0,0,0,0,NA,NA,NA,0,0,2077132
"21432","2020/01/02",0,0,0,0,NA,NA,NA,0,0,2077132
"21431","2020/01/03",0,0,0,0,NA,NA,NA,0,0,2077132
"21430","2020/01/04",0,0,0,0,NA,NA,NA,0,0,2077132
"21429","2020/01/05",0,0,0,0,NA,NA,NA,0,0,2077132
"21428","2020/01/06",0,0,0,0,NA,NA,NA,0,0,2077132
"21427","2020/01/07",0,0,0,0,NA,NA,NA,0,0,2077132
"21426","2020/01/08",0,0,0,0,NA,NA,NA,0,0,2077132
"21425","2020/01/09",0,0,0,0,NA,NA,NA,0,0,2077132
"21424","2020/01/10",0,0,0,0,NA,NA,NA,0,0,2077132
"21423","2020/01/11",0,0,0,0,NA,NA,NA,0,0,2077132
"21422","2020/01/12",0,0,0,0,NA,NA,NA,0,0,2077132
"21421","2020/01/13",0,0,0,0,NA,NA,NA,0,0,2077132
"21420","2020/01/14",0,0,0,0,NA,NA,NA,0,0,2077132
"21419","2020/01/15",0,0,0,0,NA,NA,NA,0,0,2077132
"21418","2020/01/16",0,0,0,0,NA,NA,NA,0,0,2077132
"21417","2020/01/17",0,0,0,0,NA,NA,NA,0,0,2077132
"21416","2020/01/18",0,0,0,0,NA,NA,NA,0,0,2077132
"21415","2020/01/19",0,0,0,0,NA,NA,NA,0,0,2077132
"21414","2020/01/20",0,0,0,0,NA,NA,NA,0,0,2077132
"21413","2020/01/21",0,0,0,0,NA,NA,NA,0,0,2077132
"21412","2020/01/22",0,0,0,0,NA,NA,NA,0,0,2077132
"21411","2020/01/23",0,0,0,0,NA,NA,NA,0,0,2077132
"21410","2020/01/24",0,0,0,0,NA,NA,NA,0,0,2077132
"21409","2020/01/25",0,0,0,0,NA,NA,NA,0,0,2077132
"21408","2020/01/26",0,0,0,0,NA,NA,NA,0,0,2077132
"21407","2020/01/27",0,0,0,0,NA,NA,NA,0,0,2077132
"21406","2020/01/28",0,0,0,0,NA,NA,NA,0,0,2077132
"21405","2020/01/29",0,0,0,0,NA,NA,NA,0,0,2077132
"21404","2020/01/30",0,0,0,0,NA,NA,NA,0,0,2077132
"21403","2020/01/31",0,0,0,0,NA,NA,NA,0,0,2077132
"21402","2020/02/01",0,0,0,0,NA,NA,NA,0,0,2077132
"21401","2020/02/02",0,0,0,0,NA,NA,NA,0,0,2077132
"21400","2020/02/03",0,0,0,0,NA,NA,NA,0,0,2077132
"21399","2020/02/04",0,0,0,0,NA,NA,NA,0,0,2077132
"21398","2020/02/05",0,0,0,0,NA,NA,NA,0,0,2077132
"21397","2020/02/06",0,0,0,0,NA,NA,NA,0,0,2077132
"21396","2020/02/07",0,0,0,0,NA,NA,NA,0,0,2077132
"21395","2020/02/08",0,0,0,0,NA,NA,NA,0,0,2077132
"21394","2020/02/09",0,0,0,0,NA,NA,NA,0,0,2077132
"21393","2020/02/10",0,0,0,0,NA,NA,NA,0,0,2077132
"21392","2020/02/11",0,0,0,0,NA,NA,NA,0,0,2077132
"21391","2020/02/12",0,0,0,0,NA,NA,NA,0,0,2077132
"21390","2020/02/13",0,0,0,0,NA,NA,NA,0,0,2077132
"21389","2020/02/14",0,0,0,0,NA,NA,NA,0,0,2077132
"21388","2020/02/15",0,0,0,0,NA,NA,NA,0,0,2077132
"21387","2020/02/16",0,0,0,0,NA,NA,NA,0,0,2077132
"21386","2020/02/17",0,0,0,0,NA,NA,NA,0,0,2077132
