"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1","2020/03/26",2,0,2,0,NA,NA,NA,19658023
"2","2020/03/27",2,0,4,0,0,NA,NA,19658023
"3","2020/03/28",0,0,4,0,0,NA,NA,19658023
"4","2020/03/29",5,0,9,0,0,NA,NA,19658023
"5","2020/03/30",9,0,18,0,0,0,NA,19658023
"6","2020/03/31",0,0,18,0,0,0,NA,19658023
"7","2020/04/01",0,1,18,1,2.70326389782615e-05,1.012649740073e-05,7.21635074015172e-05,19658023
"8","2020/04/02",10,0,28,1,2.79862633887426e-05,6.42260823957946e-06,0.000121949044569993,19658023
"9","2020/04/03",8,2,36,3,7.77956747967175e-05,5.97914700179533e-05,0.000101221244690244,19658023
"10","2020/04/04",3,0,39,3,6.20979490646401e-05,4.26697456037308e-05,9.03721178430806e-05,19658023
"11","2020/04/05",2,0,41,3,4.93813793724663e-05,3.18847668750087e-05,7.64791738414354e-05,19658023
"12","2020/04/06",4,2,45,5,7.10751885733492e-05,5.64402270896883e-05,8.95049983181252e-05,19658023
"13","2020/04/07",2,0,47,5,6.06028728106017e-05,4.70143467239236e-05,7.81188817631508e-05,19658023
"14","2020/04/08",9,0,56,5,6.07124524075289e-05,4.59499815798803e-05,8.02177008695563e-05,19658023
"15","2020/04/09",3,2,59,7,7.67894773842573e-05,6.3890975571671e-05,9.22919674365076e-05,19658023
"16","2020/04/10",0,0,59,7,6.66144117664986e-05,5.47210709643904e-05,8.10927084721042e-05,19658023
"17","2020/04/11",28,0,87,7,8.64737130933693e-05,7.03396460307234e-05,0.000106308511317902,19658023
"18","2020/04/12",18,2,105,9,0.000118442762610212,0.000101732697789213,0.000137897532647821,19658023
"19","2020/04/13",11,0,116,9,0.000113729735658753,9.67184984485543e-05,0.00013373297746025,19658023
"20","2020/04/14",7,1,123,10,0.000115339633972855,9.9508993944873e-05,0.000133688731416198,19658023
"21","2020/04/15",21,3,144,13,0.000151525545489851,0.000135734965217987,0.000169153105827403,19658023
"22","2020/04/16",4,0,148,13,0.000135297278840442,0.000120603463931313,0.000151781325883423,19658023
"23","2020/04/17",23,0,171,13,0.000136768521058489,0.000121303759866284,0.00015420485212615,19658023
"24","2020/04/18",19,0,190,13,0.000134043077355194,0.000118430468688555,0.000151713885673298,19658023
"25","2020/04/19",26,0,216,13,0.000134948480209055,0.000118829405662682,0.000153254088995691,19658023
"26","2020/04/20",8,1,224,14,0.000133739755119615,0.000118723467905794,0.000150655320426179,19658023
"27","2020/04/21",22,0,246,14,0.000130795288856603,0.000115809906812156,0.000147719725004445,19658023
"28","2020/04/22",12,0,258,14,0.000122926761053886,0.000108619113826536,0.0001391190560377,19658023
"29","2020/04/23",35,3,293,17,0.000152854916463402,0.000138191296985801,0.000169074507560592,19658023
"30","2020/04/24",16,4,309,21,0.000180397000084252,0.000166446509497767,0.000195516732297918,19658023
"31","2020/04/25",16,0,325,21,0.000172327455507457,0.000158792498441152,0.000187016088374476,19658023
"32","2020/04/26",45,0,370,21,0.000178963557849923,0.000164713791513742,0.000194446104020565,19658023
"33","2020/04/27",19,2,389,23,0.00018851909725647,0.000174738824667141,0.00020338611123254,19658023
"34","2020/04/28",19,0,408,23,0.000181052033747112,0.000167660208789975,0.000195513527989388,19658023
"35","2020/04/29",16,1,424,24,0.000180325206520076,0.000167440629957783,0.000194201252794538,19658023
"36","2020/04/30",58,1,482,25,0.000197035660852649,0.000183425088948767,0.000211656169121357,19658023
"37","2020/05/01",8,1,490,26,0.000192745338094759,0.00017985095927571,0.000206564176843291,19658023
"38","2020/05/02",18,0,508,26,0.000185095541032224,0.000172612723460467,0.000198481077310956,19658023
"39","2020/05/03",36,0,544,26,0.000184305392740557,0.000171785363528057,0.000197737904415256,19658023
"40","2020/05/04",19,1,563,27,0.00018487297904302,0.000172717195752551,0.000197884282635108,19658023
"41","2020/05/05",17,2,580,29,0.00019148545051355,0.000179717381036851,0.000204024104662747,19658023
"42","2020/05/06",32,3,612,32,0.000209439417016165,0.000197744577354652,0.000221825902823116,19658023
"43","2020/05/07",19,0,631,32,0.000203526658513726,0.000192099351540957,0.000215633735322273,19658023
"44","2020/05/08",19,0,650,32,0.000198129037957014,0.000186950454260722,0.000209976037966863,19658023
"45","2020/05/09",18,3,668,35,0.000211070707456694,0.000200158111525177,0.000222578256793082,19658023
"46","2020/05/10",24,2,692,37,0.000219733563821452,0.000208953431624108,0.0002310698546293,19658023
"47","2020/05/11",12,1,704,38,0.00021884889971007,0.000208358258178883,0.000229867735135264,19658023
"48","2020/05/12",8,1,712,39,0.000217096445978137,0.000206925155732931,0.000227767700304007,19658023
"49","2020/05/13",18,1,730,40,0.000218839097276085,0.000208811303586261,0.000229348458029371,19658023
"50","2020/05/14",28,4,758,44,0.000240331925855147,0.000230307222868898,0.00025079297933319,19658023
"51","2020/05/15",21,2,779,46,0.000248801597267413,0.000238853105195868,0.000259164454873023,19658023
"52","2020/05/16",27,0,806,46,0.000248351445915615,0.000238390553743031,0.000258728543224333,19658023
"53","2020/05/17",29,2,835,48,0.000259237040383409,0.000249250552789046,0.000269623647188569,19658023
"54","2020/05/18",25,4,860,52,0.000279421044768848,0.000269470789843097,0.000289738714556689,19658023
"55","2020/05/19",14,0,874,52,0.000274393233412372,0.000264591807867746,0.000284557738764649,19658023
"56","2020/05/20",27,1,901,53,0.000278763022713997,0.000268969393693792,0.000288913254275734,19658023
"57","2020/05/21",30,2,931,55,0.000289290197156757,0.000279474374366599,0.000299450775623589,19658023
"58","2020/05/22",16,5,947,60,0.000310867304260869,0.000301182983437142,0.00032086301741077,19658023
"59","2020/05/23",22,2,969,62,0.000318490032005039,0.000308866432140766,0.000328413482111067,19658023
"60","2020/05/24",46,1,1015,63,0.00032876309901966,0.000318961509393418,0.000338865888497207,19658023
"61","2020/05/25",15,2,1030,65,0.000333964498031575,0.000324291754387292,0.000343925753388975,19658023
"62","2020/05/26",29,2,1059,67,0.000343405088554147,0.000333732482067992,0.000353358037294243,19658023
"63","2020/05/27",18,3,1077,70,0.000354182871041724,0.000344612530681606,0.00036401899226137,19658023
"64","2020/05/28",39,0,1116,70,0.000356466159895986,0.00034680947344746,0.000366391730559922,19658023
"65","2020/05/29",78,2,1194,72,0.000381219609335132,0.000371156015031698,0.000391556069835535,19658023
"66","2020/05/30",32,1,1226,73,0.000385406799160453,0.000375346766261112,0.000395736460763257,19658023
"67","2020/05/31",24,3,1250,76,0.000396649741771796,0.000386678797234719,0.000406877798246926,19658023
"68","2020/06/01",15,1,1265,77,0.000394063233426984,0.000384259778470694,0.000404116799725822,19658023
"69","2020/06/02",50,1,1315,78,0.000402276692492054,0.000392370893518541,0.00041243257335218,19658023
"70","2020/06/03",36,0,1351,78,0.00040096989538927,0.000391071870785796,0.000411118438882928,19658023
"71","2020/06/04",0,0,1351,78,0.000389131684358589,0.000379503582093191,0.00039900405402384,19658023
"72","2020/06/05",110,7,1461,85,0.000445398966339372,0.000435253548690843,0.000455780865688218,19658023
"73","2020/06/06",24,2,1485,87,0.00045017806331857,0.000440133250725347,0.000460452120714059,19658023
"74","2020/06/07",38,3,1523,90,0.000463557204545495,0.00045352966910222,0.000473806448674919,19658023
"75","2020/06/08",10,2,1533,92,0.000462811604188433,0.000452990680572287,0.000472845447285731,19658023
"76","2020/06/09",14,0,1547,92,0.000453435738246419,0.000443791009691726,0.000463290071743218,19658023
"77","2020/06/10",39,2,1586,94,0.00046181477687946,0.000452175507931749,0.000471659531317244,19658023
"78","2020/06/11",81,2,1667,96,0.000482723074555798,0.000472832362546553,0.000492820680576111,19658023
"79","2020/06/12",55,1,1722,97,0.000490836822019749,0.000480861387961726,0.000501019195722203,19658023
"80","2020/06/13",30,4,1752,101,0.000506223170417199,0.000496310999223542,0.000516333304456585,19658023
"81","2020/06/14",24,3,1776,104,0.000514178574380778,0.000504372630587533,0.000524175163993888,19658023
"82","2020/06/15",33,0,1809,104,0.000509793228385646,0.000500051322474214,0.00051972492427767,19658023
"83","2020/06/16",51,0,1860,104,0.000510619818629582,0.000500843502772761,0.0005205869652573,19658023
"84","2020/06/17",25,2,1885,106,0.000514152295554029,0.000504469416644937,0.000524021029424542,19658023
"85","2020/06/18",5,1,1890,107,0.000507551804620856,0.000498062601155938,0.000517221798577149,19658023
"86","2020/06/19",16,0,1906,107,0.000499749919924485,0.000490391354087009,0.000509287083434624,19658023
"87","2020/06/20",17,1,1923,108,0.000497639144448937,0.000488388866202469,0.000507064626623174,19658023
"88","2020/06/21",10,1,1933,109,0.000494424768284237,0.00048530204518367,0.000503718980620416,19658023
"89","2020/06/22",28,2,1961,111,0.000500971964730019,0.000491875905659621,0.000510236233484322,19658023
"90","2020/06/23",0,0,1961,111,0.000491975141564547,0.000483031928262057,0.000501083936186808,19658023
