"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"19790","2020/03/17",0,0,0,0,NA,NA,NA,0,0,54045422
"19789","2020/03/24",2,0,2,0,NA,NA,NA,3.70059095847193e-08,0,54045422
"19788","2020/03/25",1,0,3,0,0,NA,NA,5.5508864377079e-08,0,54045422
"19787","2020/03/26",0,0,3,0,0,NA,NA,5.5508864377079e-08,0,54045422
"19786","2020/03/27",2,0,5,0,0,NA,NA,9.25147739617983e-08,0,54045422
"19785","2020/03/28",0,0,5,0,0,0,NA,9.25147739617983e-08,0,54045422
"19784","2020/03/29",3,0,8,0,0,0,NA,1.48023638338877e-07,0,54045422
"19783","2020/03/30",0,0,8,0,0,0,NA,1.48023638338877e-07,0,54045422
"19782","2020/03/31",6,0,14,0,0,0,NA,2.59041367093035e-07,0,54045422
"19781","2020/04/01",1,1,15,1,8.45049052703249e-06,3.16557589607521e-06,2.25585462146093e-05,8.22407402228535e-07,5.4486308034314e-07,54045422
"19780","2020/04/02",1,0,16,1,6.69908813704232e-06,1.81016003415237e-06,2.47921625829485e-05,1.24110041079368e-06,9.45053134115925e-07,54045422
"19779","2020/04/03",4,0,20,1,6.44771471239998e-06,1.47969541567937e-06,2.8095663858911e-05,2.53064335327368e-06,2.16058425742648e-06,54045422
"19778","2020/04/04",0,0,20,1,5.12500847538852e-06,1.06635115507619e-06,2.46313906519166e-05,2.53064335327368e-06,2.16058425742648e-06,54045422
"19777","2020/04/05",1,0,21,1,4.3881594581416e-06,8.55291488882282e-07,2.2513895765807e-05,2.70259741788618e-06,2.35104127683134e-06,54045422
"19776","2020/04/06",0,0,21,1,3.68750715298686e-06,6.62364790320021e-07,2.05290335507712e-05,2.68409446309382e-06,2.35104127683134e-06,54045422
"19775","2020/04/07",1,0,22,1,3.33691215187276e-06,5.83292885796837e-07,1.90898654525926e-05,2.83577228817894e-06,2.48421614712411e-06,54045422
"19774","2020/04/08",0,0,22,1,2.95044315619617e-06,5.04627819764984e-07,1.72505646280044e-05,2.79876637859422e-06,2.48421614712411e-06,54045422
"19773","2020/04/09",0,2,22,3,7.97189171726964e-06,4.94749214456243e-06,1.28451052967751e-05,2.79876637859422e-06,2.48421614712411e-06,54045422
