"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"18608","2020/03/15",1,0,1,0,1,0,NA,NA,NA,1,2.20960391082215e-07,0,4525698
"18607","2020/03/16",0,0,1,0,1,0,0,NA,NA,0,2.20960391082215e-07,0,4525698
"18606","2020/03/17",0,0,1,0,1,0,0,NA,NA,0,2.20960391082215e-07,0,4525698
"18605","2020/03/18",0,0,1,0,1,0,0,NA,NA,0,2.20960391082215e-07,0,4525698
"18604","2020/03/19",0,0,1,0,1,0,0,NA,NA,0,2.20960391082215e-07,0,4525698
"18603","2020/03/20",1,0,2,0,2,0,0,NA,NA,1,4.41920782164431e-07,0,4525698
"18602","2020/03/21",0,0,2,0,2,0,0,NA,NA,0,4.41920782164431e-07,0,4525698
"18601","2020/03/22",0,0,2,0,2,0,0,NA,NA,0,4.41920782164431e-07,0,4525698
"18600","2020/03/23",0,0,2,0,2,0,0,0,NA,0,4.41920782164431e-07,0,4525698
"18599","2020/03/24",0,0,2,0,2,0,0,0,NA,0,4.41920782164431e-07,0,4525698
"18598","2020/03/25",0,0,2,0,2,0,0,0,NA,0,4.41920782164431e-07,0,4525698
"18597","2020/03/26",0,0,2,0,2,0,0,0,NA,0,4.41920782164431e-07,0,4525698
"18596","2020/03/27",1,0,3,0,2,0,0,0,NA,1,4.41920782164431e-07,0,4525698
"18595","2020/03/28",0,0,3,0,2,0,0,0,NA,0,4.41920782164431e-07,0,4525698
"18594","2020/03/29",2,0,5,0,4,0,0,0,NA,2,8.83841564328862e-07,0,4525698
"18593","2020/03/30",0,0,5,0,4,0,0,0,NA,0,8.83841564328862e-07,0,4525698
"18592","2020/03/31",0,0,5,0,4,0,0,0,NA,0,8.83841564328862e-07,0,4525698
"18591","2020/04/01",0,0,5,0,3,0,0,0,NA,0,6.62881173246646e-07,0,4525698
"18590","2020/04/02",0,0,5,0,3,0,0,0,NA,0,6.62881173246646e-07,0,4525698
"18589","2020/04/03",1,1,6,1,32.10616166204,28.10616166204,3.85878531824793e-05,1.44551109222581e-05,0.000103010099420252,29.10616166204,7.09419003699319e-06,6.21034847266433e-06,4525698
"18588","2020/04/04",0,0,6,1,32.10616166204,28.10616166204,3.50028699863812e-05,9.45812251366388e-06,0.000129539547147279,0,7.09419003699319e-06,6.21034847266433e-06,4525698
"18587","2020/04/05",0,0,6,1,32.10616166204,28.10616166204,3.19131651571381e-05,8.62325363527162e-06,0.000118105085785835,0,7.09419003699319e-06,6.21034847266433e-06,4525698
"18586","2020/04/06",0,0,6,1,32.10616166204,28.10616166204,2.93432643251746e-05,7.92884095065079e-06,0.000108594328807465,0,7.09419003699319e-06,6.21034847266433e-06,4525698
"18585","2020/04/07",0,0,6,1,32.10616166204,28.10616166204,2.72573398078737e-05,6.25532650812845e-06,0.000118772788668418,0,7.09419003699319e-06,6.21034847266433e-06,4525698
"18584","2020/04/08",0,0,6,1,31.10616166204,28.10616166204,2.55750134918248e-05,5.86924699801197e-06,0.000111442117758645,0,6.87322964591098e-06,6.21034847266433e-06,4525698
"18583","2020/04/09",0,0,6,1,31.10616166204,28.10616166204,2.42135280428153e-05,5.5567977245447e-06,0.000105509498337595,0,6.87322964591098e-06,6.21034847266433e-06,4525698
"18582","2020/04/10",1,0,7,1,46.532417230481,44.532417230481,2.69535857185095e-05,6.18561754090917e-06,0.00011744919214295,17.426255568441,1.02818211092479e-05,9.83990032708348e-06,4525698
"18581","2020/04/11",0,0,7,1,46.532417230481,44.532417230481,2.57947463284601e-05,5.91967380588828e-06,0.000112399594972238,0,1.02818211092479e-05,9.83990032708348e-06,4525698
"18580","2020/04/12",0,0,7,1,46.532417230481,44.532417230481,2.46553775863378e-05,5.12999939303278e-06,0.00011849663076968,0,1.02818211092479e-05,9.83990032708348e-06,4525698
"18579","2020/04/13",0,0,7,1,46.532417230481,44.532417230481,2.35970176030389e-05,4.90978836390045e-06,0.000113410028801277,0,1.02818211092479e-05,9.83990032708348e-06,4525698
"18578","2020/04/14",0,0,7,1,46.532417230481,44.532417230481,2.26590180821314e-05,4.7146205163966e-06,0.000108901893304188,0,1.02818211092479e-05,9.83990032708348e-06,4525698
"18577","2020/04/15",0,0,7,1,17.426255568441,16.426255568441,2.1847423640113e-05,4.54575354283824e-06,0.000105001275412866,0,3.85051224550136e-06,3.62955185441915e-06,4525698
