"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"21115","2020/04/03",3,0,3,0,3,3,0,NA,NA,NA,1.61041409704967e-07,1.61041409704967e-07,0,18628749
"21114","2020/04/04",0,0,3,0,0,3,0,0,NA,NA,0,1.61041409704967e-07,0,18628749
"21113","2020/04/05",1,0,4,0,1,4,0,0,NA,NA,5.36804699016558e-08,2.14721879606623e-07,0,18628749
"21112","2020/04/06",0,0,4,0,0,4,0,0,NA,NA,0,2.14721879606623e-07,0,18628749
"21111","2020/04/07",1,0,5,0,1,5,0,0,0,NA,5.36804699016558e-08,2.68402349508279e-07,0,18628749
"21110","2020/04/08",3,1,8,1,3,8,0,0,NA,NA,1.61041409704967e-07,4.29443759213246e-07,0,18628749
"21109","2020/04/09",0,0,8,1,0,8,0,2.30593223168908e-05,2.3015793014582e-05,2.31029339452858e-05,0,4.29443759213246e-07,0,18628749
"21108","2020/04/10",0,0,8,1,0,8,0,1.70601950520011e-05,6.39079377300019e-06,4.55421134760993e-05,0,4.29443759213246e-07,0,18628749
"21107","2020/04/11",1,0,9,1,30.9452966878119,38.9452966878119,29.9452966878119,1.49504226070311e-05,5.60046748642116e-06,3.99100854831776e-05,5.14050292425274e-05,2.09060182666114e-06,1.60747759754624e-06,18628749
"21106","2020/04/12",3,1,12,2,151.334840178214,190.280136866026,178.280136866026,3.24949013330341e-05,2.33951102022202e-05,4.5134158527854e-05,0.000409800891653464,1.02143271599197e-05,9.5701615210998e-06,18628749
"21105","2020/04/13",1,0,13,2,41.9350910582049,232.215227924231,219.215227924231,2.92642401138511e-05,2.10691552939654e-05,4.06468953070187e-05,9.43998903018091e-05,1.24654225532928e-05,1.17675764445713e-05,18628749
"21104","2020/04/14",3,0,16,2,105.244042336974,337.459270261205,321.459270261205,3.01309314506587e-05,1.84241586506285e-05,4.92762273328189e-05,0.000198193814077848,1.81149722002913e-05,1.72560846818648e-05,18628749
"21103","2020/04/15",0,0,16,2,0,334.459270261205,321.459270261205,2.5362939056258e-05,1.40609228775912e-05,4.57493923529474e-05,0,1.79539307905864e-05,1.72560846818648e-05,18628749
"21102","2020/04/16",0,0,16,2,0,334.459270261205,321.459270261205,2.15386275327458e-05,1.11855763867258e-05,4.14741681568502e-05,0,1.79539307905864e-05,1.72560846818648e-05,18628749
"21101","2020/04/17",0,0,16,2,0,333.459270261205,321.459270261205,1.86545657547015e-05,9.24609624817614e-06,3.76367295078858e-05,0,1.79002503206847e-05,1.72560846818648e-05,18628749
"21100","2020/04/18",1,0,17,2,19.2327433660091,352.692013627214,339.692013627214,1.75511859235504e-05,8.40000270715243e-06,3.66719081007844e-05,1.98563208609856e-05,1.893267302207e-05,1.82348269133485e-05,18628749
"21099","2020/04/19",0,0,17,2,0,351.692013627214,339.692013627214,1.58282251257089e-05,7.57539316627993e-06,3.30719086298131e-05,0,1.88789925521684e-05,1.82348269133485e-05,18628749
"21098","2020/04/20",0,0,17,2,0,348.692013627214,339.692013627214,1.44717202172796e-05,6.74016698271397e-06,3.10720322781809e-05,0,1.87179511424634e-05,1.82348269133485e-05,18628749
"21097","2020/04/21",0,0,17,2,0,348.692013627214,339.692013627214,1.33987900269258e-05,6.10601843146551e-06,2.94017412820942e-05,0,1.87179511424634e-05,1.82348269133485e-05,18628749
"21096","2020/04/22",1,0,18,2,13.7476344700729,362.439648097287,352.439648097287,1.32836306110149e-05,5.9466308813689e-06,2.96730780386477e-05,1.01454721153169e-05,1.94559306208531e-05,1.89191259218366e-05,18628749
"21095","2020/04/23",5,1,23,3,97.3453873779861,428.839738787461,414.839738787461,2.40375122311614e-05,1.49180906058802e-05,3.87316319177928e-05,0.00010173656259763,2.30203186906142e-05,2.2268792111991e-05,18628749
"21094","2020/04/24",10,0,33,3,183.630537980316,461.135436589563,440.135436589563,3.25293327713548e-05,1.98907089467169e-05,5.31985809748725e-05,0.000181011481119534,2.47539669244329e-05,2.36266770564982e-05,18628749
"21093","2020/04/25",0,0,33,3,0,419.200345531358,399.200345531358,3.01152616335001e-05,1.81846617580943e-05,4.98732940606098e-05,0,2.25028715310598e-05,2.14292621330266e-05,18628749
"21092","2020/04/26",0,0,33,3,0,313.956303194384,296.956303194384,2.73007064183668e-05,1.63085539302847e-05,4.57016958172968e-05,0,1.68533218840613e-05,1.59407538957331e-05,18628749
"21091","2020/04/27",1,0,34,3,13.930684810191,327.886988004575,309.886988004575,2.5425394026539e-05,1.49248202042913e-05,4.33137989306491e-05,1.04174455987831e-05,1.76011275907242e-05,1.66348791324944e-05,18628749
"21090","2020/04/28",2,0,36,3,25.3576708751421,353.244658879717,333.244658879717,2.45018103874048e-05,1.42794051375126e-05,4.20422774253548e-05,1.72585789902486e-05,1.89623392789133e-05,1.78887298808802e-05,18628749
"21089","2020/04/29",0,0,36,3,0,353.244658879717,333.244658879717,2.24800542925268e-05,1.2943108807375e-05,3.90441623041136e-05,0,1.89623392789133e-05,1.78887298808802e-05,18628749
"21088","2020/04/30",0,0,36,3,0,334.011915513708,315.011915513708,2.0787428589983e-05,1.19069895216228e-05,3.62910529650613e-05,0,1.7929916577528e-05,1.69099876493966e-05,18628749
"21087","2020/05/01",1,0,37,3,10.0372670984496,344.049182612158,324.049182612158,1.99357929318086e-05,1.13178920205752e-05,3.51157122808238e-05,5.40813185070126e-06,1.84687217919012e-05,1.73951123938681e-05,18628749
"21086","2020/05/02",0,0,37,3,0,344.049182612158,324.049182612158,1.87591158940714e-05,1.06086995816542e-05,3.31713068523268e-05,0,1.84687217919012e-05,1.73951123938681e-05,18628749
"21085","2020/05/03",1,0,38,3,8.95012293189737,352.999305544055,331.999305544055,1.82569785771498e-05,1.02881344349249e-05,3.23982223283359e-05,4.30005796396071e-06,1.89491685965631e-05,1.78218787286283e-05,18628749
"21084","2020/05/04",1,0,39,3,8.5325719632094,347.784243037192,326.784243037192,1.78632664257362e-05,1.0033441085827e-05,3.18032751343487e-05,3.90819503270709e-06,1.86692215906281e-05,1.75419317226933e-05,18628749
