"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"19924","2020/03/23",1,0,1,0,1,1,0,NA,NA,NA,3.29315215683519e-08,3.29315215683519e-08,0,30366043
"19923","2020/03/24",0,0,1,0,0,1,0,0,NA,NA,0,3.29315215683519e-08,0,30366043
"19922","2020/03/25",0,0,1,0,0,1,0,0,NA,NA,0,3.29315215683519e-08,0,30366043
"19921","2020/03/26",4,0,5,0,4,5,0,0,NA,NA,1.31726086273407e-07,1.64657607841759e-07,0,30366043
"19920","2020/03/27",2,0,7,0,2,7,0,0,NA,NA,6.58630431367037e-08,2.30520650978463e-07,0,30366043
"19919","2020/03/28",0,0,7,0,0,7,0,0,0,NA,0,2.30520650978463e-07,0,30366043
"19918","2020/03/29",1,0,8,0,1,8,0,0,0,NA,3.29315215683519e-08,2.63452172546815e-07,0,30366043
"19917","2020/03/30",0,0,8,0,0,8,0,0,0,NA,0,2.63452172546815e-07,0,30366043
"19916","2020/03/31",0,0,8,0,0,8,0,0,0,NA,0,2.63452172546815e-07,0,30366043
"19915","2020/04/01",0,0,8,0,0,8,0,0,0,NA,0,2.63452172546815e-07,0,30366043
"19914","2020/04/02",2,0,10,0,2,10,0,0,0,NA,6.58630431367037e-08,3.29315215683519e-07,0,30366043
"19913","2020/04/03",0,0,10,0,0,10,0,0,0,NA,0,3.29315215683519e-07,0,30366043
"19912","2020/04/04",0,0,10,0,0,9,0,0,0,NA,0,2.96383694115167e-07,0,30366043
"19911","2020/04/05",0,0,10,0,0,9,0,0,0,NA,0,2.96383694115167e-07,0,30366043
"19910","2020/04/06",0,0,10,0,0,9,0,0,0,NA,0,2.96383694115167e-07,0,30366043
"19909","2020/04/07",0,0,10,0,0,5,0,0,0,NA,0,1.64657607841759e-07,0,30366043
"19908","2020/04/08",0,0,10,0,0,3,0,0,0,NA,0,9.87945647050556e-08,0,30366043
"19907","2020/04/09",7,0,17,0,7,10,0,0,0,NA,2.30520650978463e-07,3.29315215683519e-07,0,30366043
"19906","2020/04/10",0,0,17,0,0,9,0,0,0,NA,0,2.96383694115167e-07,0,30366043
"19905","2020/04/11",3,0,20,0,3,12,0,0,0,NA,9.87945647050556e-08,3.95178258820222e-07,0,30366043
"19904","2020/04/12",0,0,20,0,0,12,0,0,0,NA,0,3.95178258820222e-07,0,30366043
"19903","2020/04/13",1,0,21,0,1,13,0,0,0,NA,3.29315215683519e-08,4.28109780388574e-07,0,30366043
"19902","2020/04/14",6,0,27,0,6,17,0,0,0,NA,1.97589129410111e-07,5.59835866661982e-07,0,30366043
"19901","2020/04/15",1,0,28,0,1,18,0,0,0,NA,3.29315215683519e-08,5.92767388230333e-07,0,30366043
"19900","2020/04/16",1,0,29,0,1,19,0,0,0,NA,3.29315215683519e-08,6.25698909798685e-07,0,30366043
"19899","2020/04/17",2,0,31,0,2,21,0,0,0,NA,6.58630431367037e-08,6.91561952935389e-07,0,30366043
"19898","2020/04/18",3,0,34,0,3,24,0,0,0,NA,9.87945647050556e-08,7.90356517640445e-07,0,30366043
"19897","2020/04/19",1,0,35,0,1,25,0,0,0,NA,3.29315215683519e-08,8.23288039208797e-07,0,30366043
"19896","2020/04/20",4,0,39,0,4,29,0,0,0,NA,1.31726086273407e-07,9.55014125482204e-07,0,30366043
"19895","2020/04/21",0,0,39,0,0,22,0,0,0,NA,0,7.24493474503741e-07,0,30366043
"19894","2020/04/22",0,0,39,0,0,22,0,0,0,NA,0,7.24493474503741e-07,0,30366043
"19893","2020/04/23",2,0,41,0,2,21,0,0,0,NA,6.58630431367037e-08,6.91561952935389e-07,0,30366043
"19892","2020/04/24",5,0,46,0,5,26,0,0,0,NA,1.64657607841759e-07,8.56219560777148e-07,0,30366043
"19891","2020/04/25",19,0,65,0,19,44,0,0,0,NA,6.25698909798685e-07,1.44898694900748e-06,0,30366043
"19890","2020/04/26",5,0,70,0,5,43,0,0,0,NA,1.64657607841759e-07,1.41605542743913e-06,0,30366043
"19889","2020/04/27",6,0,76,0,6,48,0,0,0,NA,1.97589129410111e-07,1.58071303528089e-06,0,30366043
"19888","2020/04/28",0,0,76,0,0,47,0,0,0,NA,0,1.54778151371254e-06,0,30366043
"19887","2020/04/29",0,0,76,0,0,45,0,0,0,NA,0,1.48191847057583e-06,0,30366043
"19886","2020/04/30",0,0,76,0,0,42,0,0,0,NA,0,1.38312390587078e-06,0,30366043
"19885","2020/05/01",0,0,76,0,0,41,0,0,0,NA,0,1.35019238430243e-06,0,30366043
"19884","2020/05/02",3,0,79,0,3,40,0,0,0,NA,9.87945647050556e-08,1.31726086273407e-06,0,30366043
"19883","2020/05/03",0,0,79,0,0,40,0,0,0,NA,0,1.31726086273407e-06,0,30366043
"19882","2020/05/04",1,0,80,0,1,41,0,0,0,NA,3.29315215683519e-08,1.35019238430243e-06,0,30366043
"19881","2020/05/05",0,0,80,0,0,39,0,0,0,NA,0,1.28432934116572e-06,0,30366043
"19880","2020/05/06",1,0,81,0,1,35,0,0,0,NA,3.29315215683519e-08,1.15260325489232e-06,0,30366043
"19879","2020/05/07",0,0,81,0,0,16,0,0,0,NA,0,5.2690434509363e-07,0,30366043
"19878","2020/05/08",0,0,81,0,0,11,0,0,0,NA,0,3.6224673725187e-07,0,30366043
"19877","2020/05/09",1,0,82,0,1,6,0,0,0,NA,3.29315215683519e-08,1.97589129410111e-07,0,30366043
"19876","2020/05/10",5,0,87,0,5,11,0,0,0,NA,1.64657607841759e-07,3.6224673725187e-07,0,30366043
"19875","2020/05/11",4,0,91,0,4,15,0,0,0,NA,1.31726086273407e-07,4.93972823525278e-07,0,30366043
