"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"20851","2020/03/21",2,0,2,0,2,2,0,NA,NA,NA,7.07321127328413e-06,7.07321127328413e-06,0,282757
"20850","2020/03/22",2,0,4,0,2,4,0,0,NA,NA,7.07321127328413e-06,1.41464225465683e-05,0,282757
"20849","2020/03/23",1,0,5,0,1,5,0,0,NA,NA,3.53660563664206e-06,1.76830281832103e-05,0,282757
"20848","2020/03/24",2,0,7,0,2,7,0,0,NA,NA,7.07321127328413e-06,2.47562394564944e-05,0,282757
"20847","2020/03/25",2,0,9,0,2,9,0,0,0,NA,7.07321127328413e-06,3.18294507297786e-05,0,282757
"20846","2020/03/26",5,0,14,0,5,14,0,0,0,NA,1.76830281832103e-05,4.95124789129889e-05,0,282757
"20845","2020/03/27",1,0,15,0,1,15,0,0,0,NA,3.53660563664206e-06,5.3049084549631e-05,0,282757
"20844","2020/03/28",0,0,15,0,0,15,0,0,0,NA,0,5.3049084549631e-05,0,282757
"20843","2020/03/29",0,0,15,0,0,15,0,0,0,NA,0,5.3049084549631e-05,0,282757
"20842","2020/03/30",0,0,15,0,0,15,0,0,0,NA,0,5.3049084549631e-05,0,282757
"20841","2020/03/31",1,0,16,0,1,16,0,0,0,NA,3.53660563664206e-06,5.6585690186273e-05,0,282757
"20840","2020/04/01",0,0,16,0,0,16,0,0,0,NA,0,5.6585690186273e-05,0,282757
"20839","2020/04/02",0,0,16,0,0,14,0,0,0,NA,0,4.95124789129889e-05,0,282757
"20838","2020/04/03",0,0,16,0,0,12,0,0,0,NA,0,4.24392676397048e-05,0,282757
"20837","2020/04/04",2,0,18,0,2,13,0,0,0,NA,7.07321127328413e-06,4.59758732763468e-05,0,282757
"20836","2020/04/05",0,0,18,0,0,11,0,0,0,NA,0,3.89026620030627e-05,0,282757
"20835","2020/04/06",0,0,18,0,0,9,0,0,0,NA,0,3.18294507297786e-05,0,282757
"20834","2020/04/07",0,0,18,0,0,4,0,0,0,NA,0,1.41464225465683e-05,0,282757
"20833","2020/04/08",0,0,18,0,0,3,0,0,0,NA,0,1.06098169099262e-05,0,282757
"20832","2020/04/09",0,0,18,0,0,3,0,0,0,NA,0,1.06098169099262e-05,0,282757
"20831","2020/04/10",0,0,18,0,0,3,0,0,0,NA,0,1.06098169099262e-05,0,282757
"20830","2020/04/11",0,0,18,0,0,3,0,0,0,NA,0,1.06098169099262e-05,0,282757
"20829","2020/04/12",0,0,18,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20828","2020/04/13",0,0,18,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20827","2020/04/14",0,0,18,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20826","2020/04/15",0,0,18,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20825","2020/04/16",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20824","2020/04/17",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20823","2020/04/18",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20822","2020/04/19",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20821","2020/04/20",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20820","2020/04/21",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20819","2020/04/22",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20818","2020/04/23",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20817","2020/04/24",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20816","2020/04/25",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20815","2020/04/26",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20814","2020/04/27",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20813","2020/04/28",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20812","2020/04/29",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20811","2020/04/30",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20810","2020/05/01",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20809","2020/05/02",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20808","2020/05/03",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20807","2020/05/04",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20806","2020/05/05",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20805","2020/05/06",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20804","2020/05/07",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20803","2020/05/08",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20802","2020/05/09",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20801","2020/05/10",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20800","2020/05/11",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20799","2020/05/12",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20798","2020/05/13",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20797","2020/05/14",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20796","2020/05/15",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20795","2020/05/16",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20794","2020/05/17",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20793","2020/05/18",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20792","2020/05/19",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20791","2020/05/20",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20790","2020/05/21",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20789","2020/05/22",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20788","2020/05/23",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20787","2020/05/24",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20786","2020/05/25",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20785","2020/05/26",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20784","2020/05/27",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20783","2020/05/28",0,0,18,0,0,0,0,0,0,NA,0,0,0,282757
"20782","2020/05/29",1,0,19,0,1,1,0,0,0,NA,3.53660563664206e-06,3.53660563664206e-06,0,282757
"20781","2020/05/30",0,0,19,0,0,1,0,0,0,NA,0,3.53660563664206e-06,0,282757
"20780","2020/05/31",0,0,19,0,0,1,0,0,0,NA,0,3.53660563664206e-06,0,282757
"20779","2020/06/01",0,0,19,0,0,1,0,0,0,NA,0,3.53660563664206e-06,0,282757
"20778","2020/06/02",1,0,20,0,1,2,0,0,0,NA,3.53660563664206e-06,7.07321127328413e-06,0,282757
"20777","2020/06/03",0,0,20,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20776","2020/06/04",0,0,20,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20775","2020/06/05",0,0,20,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20774","2020/06/06",0,0,20,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20773","2020/06/07",0,0,20,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20772","2020/06/08",0,0,20,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20771","2020/06/09",0,0,20,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20770","2020/06/10",1,0,21,0,1,2,0,0,0,NA,3.53660563664206e-06,7.07321127328413e-06,0,282757
"20769","2020/06/11",0,0,21,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20768","2020/06/12",0,0,21,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20767","2020/06/13",0,0,21,0,0,2,0,0,0,NA,0,7.07321127328413e-06,0,282757
"20766","2020/06/14",0,0,21,0,0,1,0,0,0,NA,0,3.53660563664206e-06,0,282757
