"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"20323","2019/12/31",0,0,0,0,NA,NA,NA,0,0,17282163
"20322","2020/01/01",0,0,0,0,NA,NA,NA,0,0,17282163
"20321","2020/01/02",0,0,0,0,NA,NA,NA,0,0,17282163
"20320","2020/01/03",0,0,0,0,NA,NA,NA,0,0,17282163
"20319","2020/01/04",0,0,0,0,NA,NA,NA,0,0,17282163
"20318","2020/01/05",0,0,0,0,NA,NA,NA,0,0,17282163
"20317","2020/01/06",0,0,0,0,NA,NA,NA,0,0,17282163
"20316","2020/01/07",0,0,0,0,NA,NA,NA,0,0,17282163
"20315","2020/01/08",0,0,0,0,NA,NA,NA,0,0,17282163
"20314","2020/01/09",0,0,0,0,NA,NA,NA,0,0,17282163
"20313","2020/01/10",0,0,0,0,NA,NA,NA,0,0,17282163
"20312","2020/01/11",0,0,0,0,NA,NA,NA,0,0,17282163
"20311","2020/01/12",0,0,0,0,NA,NA,NA,0,0,17282163
"20310","2020/01/13",0,0,0,0,NA,NA,NA,0,0,17282163
"20309","2020/01/14",0,0,0,0,NA,NA,NA,0,0,17282163
"20308","2020/01/15",0,0,0,0,NA,NA,NA,0,0,17282163
"20307","2020/01/16",0,0,0,0,NA,NA,NA,0,0,17282163
"20306","2020/01/17",0,0,0,0,NA,NA,NA,0,0,17282163
"20305","2020/01/18",0,0,0,0,NA,NA,NA,0,0,17282163
"20304","2020/01/19",0,0,0,0,NA,NA,NA,0,0,17282163
"20303","2020/01/20",0,0,0,0,NA,NA,NA,0,0,17282163
"20302","2020/01/21",0,0,0,0,NA,NA,NA,0,0,17282163
"20301","2020/01/22",0,0,0,0,NA,NA,NA,0,0,17282163
"20300","2020/01/23",0,0,0,0,NA,NA,NA,0,0,17282163
"20299","2020/01/24",0,0,0,0,NA,NA,NA,0,0,17282163
"20298","2020/01/25",0,0,0,0,NA,NA,NA,0,0,17282163
"20297","2020/01/26",0,0,0,0,NA,NA,NA,0,0,17282163
"20296","2020/01/27",0,0,0,0,NA,NA,NA,0,0,17282163
"20295","2020/01/28",0,0,0,0,NA,NA,NA,0,0,17282163
"20294","2020/01/29",0,0,0,0,NA,NA,NA,0,0,17282163
"20293","2020/01/30",0,0,0,0,NA,NA,NA,0,0,17282163
"20292","2020/01/31",0,0,0,0,NA,NA,NA,0,0,17282163
"20291","2020/02/01",0,0,0,0,NA,NA,NA,0,0,17282163
"20290","2020/02/02",0,0,0,0,NA,NA,NA,0,0,17282163
"20289","2020/02/03",0,0,0,0,NA,NA,NA,0,0,17282163
"20288","2020/02/04",0,0,0,0,NA,NA,NA,0,0,17282163
"20287","2020/02/05",0,0,0,0,NA,NA,NA,0,0,17282163
"20286","2020/02/06",0,0,0,0,NA,NA,NA,0,0,17282163
"20285","2020/02/07",0,0,0,0,NA,NA,NA,0,0,17282163
"20284","2020/02/08",0,0,0,0,NA,NA,NA,0,0,17282163
"20283","2020/02/09",0,0,0,0,NA,NA,NA,0,0,17282163
"20282","2020/02/10",0,0,0,0,NA,NA,NA,0,0,17282163
"20281","2020/02/11",0,0,0,0,NA,NA,NA,0,0,17282163
"20280","2020/02/12",0,0,0,0,NA,NA,NA,0,0,17282163
"20279","2020/02/13",0,0,0,0,NA,NA,NA,0,0,17282163
"20278","2020/02/14",0,0,0,0,NA,NA,NA,0,0,17282163
"20277","2020/02/15",0,0,0,0,NA,NA,NA,0,0,17282163
"20276","2020/02/16",0,0,0,0,NA,NA,NA,0,0,17282163
"20275","2020/02/17",0,0,0,0,NA,NA,NA,0,0,17282163
"20274","2020/02/18",0,0,0,0,NA,NA,NA,0,0,17282163
"20273","2020/02/19",0,0,0,0,NA,NA,NA,0,0,17282163
"20272","2020/02/20",0,0,0,0,NA,NA,NA,0,0,17282163
"20271","2020/02/21",0,0,0,0,NA,NA,NA,0,0,17282163
"20270","2020/02/22",0,0,0,0,NA,NA,NA,0,0,17282163
"20269","2020/02/23",0,0,0,0,NA,NA,NA,0,0,17282163
"20268","2020/02/24",0,0,0,0,NA,NA,NA,0,0,17282163
"20267","2020/02/25",0,0,0,0,NA,NA,NA,0,0,17282163
"20266","2020/02/26",0,0,0,0,NA,NA,NA,0,0,17282163
"20265","2020/02/27",0,0,0,0,NA,NA,NA,0,0,17282163
"20264","2020/02/28",1,0,1,0,NA,NA,NA,5.78631274337593e-08,0,17282163
"20263","2020/02/29",1,0,2,0,0,NA,NA,1.15726254867519e-07,0,17282163
"20262","2020/03/01",5,0,7,0,0,NA,NA,4.05041892036315e-07,0,17282163
"20261","2020/03/02",6,0,13,0,0,NA,NA,7.52220656638871e-07,0,17282163
"20260","2020/03/03",5,0,18,0,0,0,NA,1.04153629380767e-06,0,17282163
"20259","2020/03/04",10,0,28,0,0,0,NA,1.62016756814526e-06,0,17282163
"20258","2020/03/05",10,0,38,0,0,0,NA,2.19879884248285e-06,0,17282163
"20257","2020/03/06",44,0,82,0,0,0,NA,4.74477644956826e-06,0,17282163
"20256","2020/03/07",46,1,128,1,6.81197658157223e-05,1.22359449159666e-05,0.000379235320742068,2.92253172895935e-05,2.18188369780723e-05,17282163
"20255","2020/03/08",60,0,188,1,5.93239987398619e-05,9.6977476926767e-06,0.000362902494271405,4.81585083767835e-05,3.72802404192367e-05,17282163
