"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"1",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"2",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"3",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"4",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"5",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"6",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"7",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"8",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"9",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"10",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"11",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"12",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"13",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"14",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"15",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"16",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"17",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"18",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"19",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"20",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"21",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"22",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"23",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"24",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"25",NA,0,0,0,0,NA,NA,NA,0,0,28608715
"26",NA,1,0,1,0,NA,NA,NA,3.495438365547e-08,0,28608715
"27",NA,0,0,1,0,0,NA,NA,3.495438365547e-08,0,28608715
"28",NA,0,0,1,0,0,NA,NA,3.495438365547e-08,0,28608715
"29",NA,0,0,1,0,0,NA,NA,3.495438365547e-08,0,28608715
"30",NA,0,0,1,0,0,NA,NA,3.495438365547e-08,0,28608715
"31",NA,0,0,1,0,0,NA,NA,3.495438365547e-08,0,28608715
"32",NA,0,0,1,0,0,NA,NA,3.495438365547e-08,0,28608715
"33",NA,0,0,1,0,0,NA,NA,3.495438365547e-08,0,28608715
"34",NA,0,0,1,0,0,NA,NA,3.495438365547e-08,0,28608715
"35",NA,0,0,1,0,0,0,NA,3.495438365547e-08,0,28608715
"36",NA,0,0,1,0,0,0,NA,3.495438365547e-08,0,28608715
"37",NA,0,0,1,0,0,0,NA,3.495438365547e-08,0,28608715
"38",NA,0,0,1,0,0,0,NA,0,0,28608715
"39",NA,0,0,1,0,0,0,NA,0,0,28608715
"40",NA,0,0,1,0,0,0,NA,0,0,28608715
"41",NA,0,0,1,0,0,0,NA,0,0,28608715
"42",NA,0,0,1,0,0,0,NA,0,0,28608715
"43",NA,0,0,1,0,0,0,NA,0,0,28608715
"44",NA,0,0,1,0,0,0,NA,0,0,28608715
"45",NA,0,0,1,0,0,0,NA,0,0,28608715
"46",NA,0,0,1,0,0,0,NA,0,0,28608715
"47",NA,0,0,1,0,0,0,NA,0,0,28608715
"48",NA,0,0,1,0,0,0,NA,0,0,28608715
"49",NA,0,0,1,0,0,0,NA,0,0,28608715
"50",NA,0,0,1,0,0,0,NA,0,0,28608715
"51",NA,0,0,1,0,0,0,NA,0,0,28608715
"52",NA,0,0,1,0,0,0,NA,0,0,28608715
"53",NA,0,0,1,0,0,0,NA,0,0,28608715
"54",NA,0,0,1,0,0,0,NA,0,0,28608715
"55",NA,0,0,1,0,0,0,NA,0,0,28608715
"56",NA,0,0,1,0,0,0,NA,0,0,28608715
"57",NA,0,0,1,0,0,0,NA,0,0,28608715
"58",NA,0,0,1,0,0,0,NA,0,0,28608715
"59",NA,0,0,1,0,0,0,NA,0,0,28608715
"60",NA,0,0,1,0,0,0,NA,0,0,28608715
"61",NA,0,0,1,0,0,0,NA,0,0,28608715
"62",NA,0,0,1,0,0,0,NA,0,0,28608715
"63",NA,0,0,1,0,0,0,NA,0,0,28608715
"64",NA,0,0,1,0,0,0,NA,0,0,28608715
"65",NA,0,0,1,0,0,0,NA,0,0,28608715
"66",NA,0,0,1,0,0,0,NA,0,0,28608715
"67",NA,0,0,1,0,0,0,NA,0,0,28608715
"68",NA,0,0,1,0,0,0,NA,0,0,28608715
"69",NA,0,0,1,0,0,0,NA,0,0,28608715
"70",NA,0,0,1,0,0,0,NA,0,0,28608715
"71",NA,0,0,1,0,0,0,NA,0,0,28608715
"72",NA,1,0,2,0,0,0,NA,3.495438365547e-08,0,28608715
"73",NA,1,0,3,0,0,0,NA,6.990876731094e-08,0,28608715
"74",NA,0,0,3,0,0,0,NA,6.990876731094e-08,0,28608715
"75",NA,0,0,3,0,0,0,NA,6.990876731094e-08,0,28608715
"76",NA,0,0,3,0,0,0,NA,6.990876731094e-08,0,28608715
"77",NA,2,0,5,0,0,0,NA,1.3981753462188e-07,0,28608715
"78",NA,0,0,5,0,0,0,NA,1.3981753462188e-07,0,28608715
"79",NA,0,0,5,0,0,0,NA,1.3981753462188e-07,0,28608715
"80",NA,0,0,5,0,0,0,NA,1.3981753462188e-07,0,28608715
"81",NA,0,0,5,0,0,0,NA,1.3981753462188e-07,0,28608715
"82",NA,0,0,5,0,0,0,NA,1.3981753462188e-07,0,28608715
"83",NA,1,0,6,0,0,0,NA,1.7477191827735e-07,0,28608715
"84",NA,0,0,6,0,0,0,NA,1.3981753462188e-07,0,28608715
"85",NA,3,0,9,0,0,0,NA,2.0972630193282e-07,0,28608715
"86",NA,0,0,9,0,0,0,NA,2.0972630193282e-07,0,28608715
"87",NA,0,0,9,0,0,0,NA,2.0972630193282e-07,0,28608715
"88",NA,0,0,9,0,0,0,NA,2.0972630193282e-07,0,28608715
"89",NA,0,0,9,0,0,0,NA,1.3981753462188e-07,0,28608715
"90",NA,0,0,9,0,0,0,NA,1.3981753462188e-07,0,28608715
"91",NA,0,0,9,0,0,0,NA,1.3981753462188e-07,0,28608715
"92",NA,3,0,12,0,0,0,NA,2.4468068558829e-07,0,28608715
"93",NA,2,0,14,0,0,0,NA,3.1458945289923e-07,0,28608715
"94",NA,2,0,16,0,0,0,NA,3.8449822021017e-07,0,28608715
"95",NA,0,0,16,0,0,0,NA,3.495438365547e-07,0,28608715
