"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"1",NA,3,0,3,0,NA,NA,NA,1.07417154519577e-05,0,279285
"2",NA,0,0,3,0,0,NA,NA,1.07417154519577e-05,0,279285
"3",NA,12,0,15,0,0,NA,NA,5.37085772597884e-05,0,279285
"4",NA,2,0,17,0,0,0,NA,6.08697208944268e-05,0,279285
"5",NA,1,0,18,0,0,0,NA,6.44502927117461e-05,0,279285
"6",NA,5,0,23,0,0,0,NA,8.23531517983422e-05,0,279285
"7",NA,2,0,25,0,0,0,NA,8.95142954329806e-05,0,279285
"8",NA,0,0,25,0,0,0,NA,8.95142954329806e-05,0,279285
"9",NA,5,0,30,0,0,0,NA,0.000107417154519577,0,279285
"10",NA,0,0,30,0,0,0,NA,0.000107417154519577,0,279285
"11",NA,4,0,34,0,0,0,NA,0.000121739441788854,0,279285
"12",NA,1,0,35,0,0,0,NA,0.000125320013606173,0,279285
"13",NA,1,0,36,0,0,0,NA,0.000118158869971534,0,279285
"14",NA,1,0,37,0,0,0,NA,0.000121739441788854,0,279285
"15",NA,0,0,37,0,0,0,NA,7.8772579981023e-05,0,279285
"16",NA,0,0,37,0,0,0,NA,7.16114363463845e-05,0,279285
"17",NA,2,0,39,0,0,0,NA,7.51920081637037e-05,0,279285
"18",NA,1,0,40,0,0,0,NA,6.08697208944268e-05,0,279285
"19",NA,1,0,41,0,0,0,NA,5.72891490771076e-05,0,279285
"20",NA,0,0,41,0,0,0,NA,5.72891490771076e-05,0,279285
"21",NA,6,0,47,0,0,0,NA,6.08697208944268e-05,0,279285
"22",NA,4,0,51,0,0,0,NA,7.51920081637037e-05,0,279285
"23",NA,0,0,51,0,0,0,NA,6.08697208944268e-05,0,279285
"24",NA,0,0,51,0,0,0,NA,5.72891490771076e-05,0,279285
"25",NA,0,0,51,0,0,0,NA,5.37085772597884e-05,0,279285
"26",NA,2,0,53,0,0,0,NA,5.72891490771076e-05,0,279285
"27",NA,2,0,55,0,0,0,NA,6.44502927117461e-05,0,279285
"28",NA,0,0,55,0,0,0,NA,6.44502927117461e-05,0,279285
"29",NA,0,0,55,0,0,0,NA,5.72891490771076e-05,0,279285
"30",NA,0,0,55,0,0,0,NA,5.37085772597884e-05,0,279285
"31",NA,0,0,55,0,0,0,NA,5.01280054424692e-05,0,279285
"32",NA,0,0,55,0,0,0,NA,5.01280054424692e-05,0,279285
"33",NA,0,0,55,0,0,0,NA,2.86445745385538e-05,0,279285
"34",NA,1,0,56,0,0,0,NA,1.79028590865961e-05,0,279285
"35",NA,1,0,57,0,0,0,NA,2.14834309039154e-05,0,279285
"36",NA,0,0,57,0,0,0,NA,2.14834309039154e-05,0,279285
"37",NA,0,0,57,0,0,0,NA,2.14834309039154e-05,0,279285
"38",NA,0,0,57,0,0,0,NA,1.43222872692769e-05,0,279285
"39",NA,0,0,57,0,0,0,NA,7.16114363463845e-06,0,279285
"40",NA,0,0,57,0,0,0,NA,7.16114363463845e-06,0,279285
"41",NA,1,0,58,0,0,0,NA,1.07417154519577e-05,0,279285
"42",NA,0,0,58,0,0,0,NA,1.07417154519577e-05,0,279285
"43",NA,0,0,58,0,0,0,NA,1.07417154519577e-05,0,279285
"44",NA,0,0,58,0,0,0,NA,1.07417154519577e-05,0,279285
"45",NA,0,0,58,0,0,0,NA,1.07417154519577e-05,0,279285
"46",NA,0,0,58,0,0,0,NA,7.16114363463845e-06,0,279285
"47",NA,0,0,58,0,0,0,NA,3.58057181731923e-06,0,279285
