"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"22164","2019/12/31",0,0,0,0,NA,NA,NA,0,0,216565317
"22163","2020/01/01",0,0,0,0,NA,NA,NA,0,0,216565317
"22162","2020/01/02",0,0,0,0,NA,NA,NA,0,0,216565317
"22161","2020/01/03",0,0,0,0,NA,NA,NA,0,0,216565317
"22160","2020/01/04",0,0,0,0,NA,NA,NA,0,0,216565317
"22159","2020/01/05",0,0,0,0,NA,NA,NA,0,0,216565317
"22158","2020/01/06",0,0,0,0,NA,NA,NA,0,0,216565317
"22157","2020/01/07",0,0,0,0,NA,NA,NA,0,0,216565317
"22156","2020/01/08",0,0,0,0,NA,NA,NA,0,0,216565317
"22155","2020/01/09",0,0,0,0,NA,NA,NA,0,0,216565317
"22154","2020/01/10",0,0,0,0,NA,NA,NA,0,0,216565317
"22153","2020/01/11",0,0,0,0,NA,NA,NA,0,0,216565317
"22152","2020/01/12",0,0,0,0,NA,NA,NA,0,0,216565317
"22151","2020/01/13",0,0,0,0,NA,NA,NA,0,0,216565317
"22150","2020/01/14",0,0,0,0,NA,NA,NA,0,0,216565317
"22149","2020/01/15",0,0,0,0,NA,NA,NA,0,0,216565317
"22148","2020/01/16",0,0,0,0,NA,NA,NA,0,0,216565317
"22147","2020/01/17",0,0,0,0,NA,NA,NA,0,0,216565317
"22146","2020/01/18",0,0,0,0,NA,NA,NA,0,0,216565317
"22145","2020/01/19",0,0,0,0,NA,NA,NA,0,0,216565317
"22144","2020/01/20",0,0,0,0,NA,NA,NA,0,0,216565317
"22143","2020/01/21",0,0,0,0,NA,NA,NA,0,0,216565317
"22142","2020/01/22",0,0,0,0,NA,NA,NA,0,0,216565317
"22141","2020/01/23",0,0,0,0,NA,NA,NA,0,0,216565317
"22140","2020/01/24",0,0,0,0,NA,NA,NA,0,0,216565317
"22139","2020/01/25",0,0,0,0,NA,NA,NA,0,0,216565317
"22138","2020/01/26",0,0,0,0,NA,NA,NA,0,0,216565317
"22137","2020/01/27",0,0,0,0,NA,NA,NA,0,0,216565317
"22136","2020/01/28",0,0,0,0,NA,NA,NA,0,0,216565317
"22135","2020/01/29",0,0,0,0,NA,NA,NA,0,0,216565317
"22134","2020/01/30",0,0,0,0,NA,NA,NA,0,0,216565317
"22133","2020/01/31",0,0,0,0,NA,NA,NA,0,0,216565317
"22132","2020/02/01",0,0,0,0,NA,NA,NA,0,0,216565317
"22131","2020/02/02",0,0,0,0,NA,NA,NA,0,0,216565317
"22130","2020/02/03",0,0,0,0,NA,NA,NA,0,0,216565317
"22129","2020/02/04",0,0,0,0,NA,NA,NA,0,0,216565317
"22128","2020/02/05",0,0,0,0,NA,NA,NA,0,0,216565317
"22127","2020/02/06",0,0,0,0,NA,NA,NA,0,0,216565317
"22126","2020/02/07",0,0,0,0,NA,NA,NA,0,0,216565317
"22125","2020/02/08",0,0,0,0,NA,NA,NA,0,0,216565317
"22124","2020/02/09",0,0,0,0,NA,NA,NA,0,0,216565317
"22123","2020/02/10",0,0,0,0,NA,NA,NA,0,0,216565317
"22122","2020/02/11",0,0,0,0,NA,NA,NA,0,0,216565317
"22121","2020/02/12",0,0,0,0,NA,NA,NA,0,0,216565317
"22120","2020/02/13",0,0,0,0,NA,NA,NA,0,0,216565317
"22119","2020/02/14",0,0,0,0,NA,NA,NA,0,0,216565317
"22118","2020/02/15",0,0,0,0,NA,NA,NA,0,0,216565317
"22117","2020/02/16",0,0,0,0,NA,NA,NA,0,0,216565317
"22116","2020/02/17",0,0,0,0,NA,NA,NA,0,0,216565317
"22115","2020/02/18",0,0,0,0,NA,NA,NA,0,0,216565317
"22114","2020/02/19",0,0,0,0,NA,NA,NA,0,0,216565317
"22113","2020/02/20",0,0,0,0,NA,NA,NA,0,0,216565317
"22112","2020/02/21",0,0,0,0,NA,NA,NA,0,0,216565317
"22111","2020/02/22",0,0,0,0,NA,NA,NA,0,0,216565317
"22110","2020/02/23",0,0,0,0,NA,NA,NA,0,0,216565317
"22109","2020/02/24",0,0,0,0,NA,NA,NA,0,0,216565317
"22108","2020/02/25",0,0,0,0,NA,NA,NA,0,0,216565317
"22107","2020/02/26",0,0,0,0,NA,NA,NA,0,0,216565317
"22106","2020/02/27",2,0,2,0,NA,NA,NA,9.23508910708911e-09,0,216565317
"22105","2020/02/28",0,0,2,0,0,NA,NA,9.23508910708911e-09,0,216565317
"22104","2020/02/29",0,0,2,0,0,NA,NA,9.23508910708911e-09,0,216565317
"22103","2020/03/01",2,0,4,0,0,NA,NA,1.84701782141782e-08,0,216565317
"22102","2020/03/02",0,0,4,0,0,NA,NA,1.84701782141782e-08,0,216565317
"22101","2020/03/04",1,0,5,0,0,0,NA,2.30877227677228e-08,0,216565317
"22100","2020/03/07",1,0,6,0,0,0,NA,2.77052673212673e-08,0,216565317
