"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"23455","2020/03/28",64,2,64,2,64,0,0,NA,NA,64,2.18176562110095e-05,0,2933404
"23454","2020/03/29",36,1,100,3,100,0,0,NA,NA,36,3.40900878297023e-05,0,2933404
"23453","2020/03/30",27,2,127,5,127,0,0,NA,NA,27,4.32944115437219e-05,0,2933404
"23452","2020/03/31",47,1,174,6,1994.45722534371,1820.45722534371,0.00235684039669174,0.00202779209879545,0.00273928311426881,1867.45722534371,0.000679912219845514,0.000620595467021832,2933404
"23451","2020/04/01",65,2,239,8,3874.39312839758,3635.39312839758,0.00235643631258258,0.0020304571144776,0.00273474975445931,1879.93590305387,0.00132078402033868,0.0012393087104257,2933404
"23450","2020/04/02",47,3,286,11,5030.17479338562,4744.17479338562,0.00239757441762148,0.0021289656581972,0.00270007318619724,1155.78166498805,0.0017147910050527,0.00161729335385976,2933404
"23449","2020/04/03",30,1,316,12,5568.85799377391,5252.85799377391,0.00193431580196816,0.00170807017356637,0.00219052921808914,538.683200388285,0.00189842858118892,0.00179070390364706,2933404
"23448","2020/04/04",62,3,378,15,6567.32219038676,6189.32219038676,0.00207520367023815,0.00187153111585638,0.00230104123649547,998.464196612856,0.00223880590276237,0.0021099453707661,2933404
"23447","2020/04/05",74,3,452,18,7649.89409123919,7197.89409123919,0.00225419553706436,0.00206274424188361,0.00246341616965599,1082.57190085243,0.00260785561458265,0.00245376841759239,2933404
"23446","2020/04/06",23,2,475,20,7942.46651929338,7467.46651929338,0.00205981060445012,0.00189632447909328,0.00223739121283392,292.572428054184,0.00270759381227181,0.00254566589508072,2933404
"23445","2020/04/07",38,1,513,21,8350.88686246377,7837.88686246377,0.00187961652496563,0.00173264262171653,0.00203905770101845,408.420343170391,0.00284682466597297,0.0026719425154066,2933404
"23444","2020/04/08",60,2,573,23,8935.94172028431,8362.94172028431,0.00190470657713229,0.00176593990455467,0.0020543774652886,585.054857820542,0.00304627038085593,0.00285093417759174,2933404
"23443","2020/04/09",47,1,620,24,9277.17385758297,8721.17385758297,0.0018223249945098,0.00169259011053115,0.00196200389270445,405.232137298656,0.00316259671616421,0.00297305582783107,2933404
"23442","2020/04/10",63,9,683,33,9884.61105778938,9301.61105778938,0.00237801418193636,0.00225547004644604,0.00250721638196924,643.437200206408,0.00336967259122486,0.0031709273791777,2933404
"23441","2020/04/11",42,6,725,39,10300.0368481668,9702.0368481668,0.0026034981399444,0.00248935467013131,0.00272287538855861,442.42579037742,0.00351129160803176,0.00330743288281014,2933404
"23440","2020/04/12",63,3,788,42,9063.03476974118,8449.03476974118,0.00268823965221063,0.00257739135130716,0.00280385531054586,630.455146918092,0.00308959651304122,0.00288028337376685,2933404
"23439","2020/04/13",109,2,897,44,8200.88298193428,7542.88298193428,0.00285528677456506,0.00274144495447908,0.00297385601402867,1017.78411524697,0.0027956882113525,0.00257137543343306,2933404
"23438","2020/04/14",6,1,903,45,7096.42066111458,6479.42066111458,0.00263296882984257,0.00252896809028554,0.00274124647343409,51.3193441683424,0.0024191760361391,0.00220884019422984,2933404
"23437","2020/04/15",20,0,923,45,6711.7415482987,6104.7415482987,0.00242288094018633,0.00232599016073363,0.00252380777417677,154.004087572402,0.00228803858871765,0.00208111175559135,2933404
"23436","2020/04/16",51,6,974,51,6117.74663474056,5521.74663474056,0.00263331277564208,0.00253990786461726,0.00273015264488925,404.469283054721,0.00208554520098171,0.00188236827751669,2933404
"23435","2020/04/17",69,5,1043,56,5586.39195116088,4995.39195116088,0.00284044321943842,0.00274815252659891,0.00293583329337209,551.217217272747,0.00190440592266216,0.00170293350358862,2933404
"23434","2020/04/18",25,2,1068,58,5484.83319261831,4891.83319261831,0.00278178660748279,0.0026938581573076,0.00287258507229823,191.013669511621,0.00186978445267625,0.00166763023184611,2933404
"23433","2020/04/19",50,2,1118,60,5443.25638443886,4838.25638443886,0.00279628085405125,0.00271024580936624,0.00288504702699347,366.843534990937,0.00185561088225108,0.00164936585088139,2933404
"23432","2020/04/20",95,2,1213,62,5530.26012926749,4890.26012926749,0.00292531380289517,0.00283767761211588,0.00301565646811733,672.058602649176,0.0018852705352783,0.0016670939731682,2933404
"23431","2020/04/21",39,1,1252,63,5387.47692868739,4755.47692868739,0.00287218665231834,0.00278699482117625,0.00295998259597552,262.448936718556,0.00183659561679448,0.00162114626171076,2933404
"23430","2020/04/22",0,0,1252,63,4744.03972848098,4175.03972848098,0.00269390944812443,0.0026135351986423,0.0027767554530982,0,0.00161724731011514,0.00142327471036413,2933404
"23429","2020/04/23",0,1,1252,64,4301.61393810356,3774.61393810356,0.00257618422335289,0.00250014045126983,0.00265454092760329,0,0.00146642396959422,0.00128676920673169,2933404
"23428","2020/04/24",0,5,1252,69,3671.15879118547,3207.15879118547,0.00262938911445997,0.00255709039037294,0.00270373199995962,0,0.00125150125628296,0.00109332324875315,2933404
"23427","2020/04/25",24,8,1276,77,2810.56203431606,2431.56203431606,0.00284895223674385,0.00277849029542686,0.00292120107837224,157.187358377555,0.000958123066006611,0.000828921633132039,2933404
