"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"26204","2020/03/03",2,0,2,0,2,2,0,NA,NA,NA,1.94616574695739e-07,1.94616574695739e-07,0,10276617
"26203","2020/03/04",2,0,4,0,2,4,0,0,NA,NA,1.94616574695739e-07,3.89233149391478e-07,0,10276617
"26202","2020/03/05",1,0,5,0,1,5,0,0,NA,NA,9.73082873478694e-08,4.86541436739347e-07,0,10276617
"26201","2020/03/06",4,0,9,0,4,9,0,0,NA,NA,3.89233149391478e-07,8.75774586130825e-07,0,10276617
"26200","2020/03/07",4,0,13,0,4,13,0,0,0,NA,3.89233149391478e-07,1.2650077355223e-06,0,10276617
"26199","2020/03/08",8,0,21,0,8,21,0,0,0,NA,7.78466298782956e-07,2.04347403430526e-06,0,10276617
"26198","2020/03/09",9,0,30,0,9,30,0,0,0,NA,8.75774586130825e-07,2.91924862043608e-06,0,10276617
"26197","2020/03/10",9,0,39,0,9,39,0,0,0,NA,8.75774586130825e-07,3.79502320656691e-06,0,10276617
"26196","2020/03/11",2,0,41,0,2,41,0,0,0,NA,1.94616574695739e-07,3.98963978126265e-06,0,10276617
"26195","2020/03/12",18,0,59,0,18,59,0,0,0,NA,1.75154917226165e-06,5.7411889535243e-06,0,10276617
"26194","2020/03/13",19,0,78,0,19,78,0,0,0,NA,1.84885745960952e-06,7.59004641313382e-06,0,10276617
"26193","2020/03/14",34,0,112,0,34,112,0,0,0,NA,3.30848176982756e-06,1.08985281829614e-05,0,10276617
"26192","2020/03/15",57,0,169,0,57,167,0,0,0,NA,5.54657237882856e-06,1.62504839870942e-05,0,10276617
"26191","2020/03/16",76,0,245,0,76,241,0,0,0,NA,7.39542983843808e-06,2.34512972508365e-05,0,10276617
"26190","2020/03/17",86,0,331,0,86,326,0,0,0,NA,8.36851271191677e-06,3.17225016754054e-05,0,10276617
"26189","2020/03/18",117,1,448,1,155.003086191956,477.003086191956,38.0030861919555,5.7754034301163e-05,8.41436256679976e-06,0.00039640893193987,1.99822624033847e-05,4.64163533769873e-05,3.69801523127266e-06,10276617
"26188","2020/03/19",194,1,642,2,367.284959385453,840.288045577409,211.288045577409,0.000118273179253857,4.54476938601931e-05,0.0003077943838877,6.76634888452356e-05,8.17669905940261e-05,2.05600778522162e-05,10276617
"26187","2020/03/20",143,1,785,3,291.118143481741,1123.40618905915,359.40618905915,0.000155507994735022,8.22523592865942e-05,0.000294006599157199,5.76703168456406e-05,0.000109316732253343,3.49732007195704e-05,10276617
"26186","2020/03/21",235,3,1020,6,692.896951009429,1807.30314006858,817.303140068579,0.000292651523078783,0.000213526240905229,0.000401097839765482,0.00019880132161721,0.0001758655732785,7.95303688041093e-05,10276617
"26185","2020/03/22",260,6,1280,12,1132.12480183304,2930.42794190162,1689.42794190162,0.000542351387226679,0.000464281607324,0.000633548739787646,0.000479694888115529,0.000285154924222788,0.000164395339624082,10276617
"26184","2020/03/23",320,2,1600,14,1220.69293048163,4149.12087238324,2590.12087238324,0.000593917692214094,0.000519163920299665,0.000679435167454072,0.000453119455108567,0.000403743846090911,0.000252040226115583,10276617
"26183","2020/03/24",460,9,2060,23,2198.41787667806,6329.5387490613,4328.5387490613,0.000958008725252677,0.000883036067891209,0.00103934680703589,0.00102238034349953,0.000615916575373131,0.000421202692390044,10276617
"26182","2020/03/25",302,10,2362,33,1596.36111632482,7906.89986538612,5622.89986538612,0.00121493745234314,0.00114768336594296,0.00128613261889813,0.000821117234414616,0.000769406884131823,0.000547154755829289,10276617
"26181","2020/03/26",633,10,2995,43,3404.13732052688,11277.037185913,8394.037185913,0.00156729235988866,0.00149969803363851,0.00163793329474849,0.00178139513004128,0.00109734917491943,0.000816809382495523,10276617
"26180","2020/03/27",549,17,3544,60,3261.14140957222,14481.1785954852,11106.1785954852,0.00204852292628863,0.00198424888121768,0.00211487894449758,0.00188502340388768,0.00140913868790529,0.00108072321810623,10276617
"26179","2020/03/28",724,16,4268,76,4353.31168220549,18758.4902776907,14735.4902776907,0.00249721212961718,0.00243424277374475,0.00256181038619819,0.00254712810140762,0.00182535656215374,0.00143388532215326,10276617
"26178","2020/03/29",902,24,5170,100,5758.32212174002,24430.8123994307,19591.8123994307,0.00321166168197585,0.00314881389259768,0.00327576386261512,0.00357713394794319,0.0023773205131057,0.00190644571062936,10276617
"26177","2020/03/30",792,19,5962,119,4890.45955157513,29166.2688648139,23652.2688648139,0.00358233577601154,0.00352210197640982,0.00364359967373045,0.00293848846238593,0.00283811967156253,0.00230156177512638,10276617
"26176","2020/03/31",446,21,6408,140,2653.40887296708,31452.3927783955,25686.3927783955,0.00370972443269446,0.00365544436676173,0.00376481050885796,0.00153611356522694,0.00306057847425817,0.00249949888941035,10276617
"26175","2020/04/01",1035,20,7443,160,5840.95906168978,37002.2336966036,30344.2336966036,0.00408734842368884,0.00403380941922447,0.00414159802815959,0.00320758226704672,0.00360062398906212,0.0029527454119,10276617
"26174","2020/04/02",808,27,8251,187,4489.2864739679,40798.623219562,33567.623219562,0.00446089884268975,0.00440959615786187,0.00451279839974273,0.00242713038858637,0.0039700441516466,0.00326640792583416,10276617
"26173","2020/04/03",783,22,9034,209,4141.62242104916,43808.1208387782,36054.1208387782,0.00464984692718011,0.00460089759048715,0.00469931703998589,0.00213171466549211,0.00426289321075001,0.00350836475065463,10276617
"26172","2020/04/04",852,37,9886,246,4568.03566629216,47155.4635745887,38869.4635745887,0.00515775045939485,0.00511017181773433,0.00520577208560129,0.00238324783090739,0.00458861739953807,0.00378232093057362,10276617
"26171","2020/04/05",638,20,10524,266,3219.20360737961,48176.2493052903,39712.2493052903,0.00516723764257495,0.00512224805064432,0.00521262238588485,0.00158061479087467,0.00468794831074178,0.00386433096662941,10276617
"26170","2020/04/06",754,29,11278,295,3710.55344408368,50290.4416330491,41374.4416330491,0.00540069018744303,0.00535721576694456,0.00544451740785099,0.00177687086145111,0.00489367674528,0.0040260760552864,10276617
"26169","2020/04/07",452,16,11730,311,2083.57205810285,48969.8763706251,40234.8763706251,0.00526160123622258,0.00522076818863751,0.00530275365017574,0.000934605738846785,0.00476517480126243,0.00391518691127879,10276617
"26168","2020/04/08",712,34,12442,345,3267.44217624457,48976.1771372974,40078.1771372974,0.00555607299649659,0.00551615287989591,0.00559628201294181,0.00145910201278303,0.00476578791807629,0.00389993877725495,10276617
"26167","2020/04/09",699,35,13141,380,3201.12379998685,47823.9892550788,38950.9892550788,0.00585603331568184,0.00581680439537131,0.00589552679847103,0.00142651910968306,0.00465367048855463,0.00379025405491698,10276617
"26166","2020/04/10",815,29,13956,409,3668.12073066891,45733.7878640077,36947.7878640077,0.00611218938550268,0.00607329331447268,0.00615133456426768,0.00160649531346638,0.00445027657097736,0.00359532595833898,10276617
"26165","2020/04/11",1516,26,15472,435,6667.57951545733,47510.9078278899,38000.9078278899,0.00662163576646468,0.0065812234920475,0.00666229619412047,0.00285356017291232,0.00462320507107445,0.00369780325839621,10276617
"26164","2020/04/12",515,35,15987,470,2256.2935968919,47113.7925518147,37534.7925518147,0.00681561712976033,0.00677614957863267,0.00685531455887015,0.000961908631309502,0.00458456246367989,0.00365244637917465,10276617
"26163","2020/04/13",598,34,16585,504,2595.69933607384,43868.5328261988,34726.5328261988,0.00700516722086725,0.00696642801753544,0.00704412184677588,0.00109637069064163,0.00426877179778119,0.00337917943484697,10276617
"26162","2020/04/14",349,31,16934,535,1491.59076501097,40870.8371172418,32187.8371172418,0.00704261006767432,0.00700512397718001,0.00708029675518663,0.000620331412455196,0.00397707116235253,0.00313214330331098,10276617
"26161","2020/04/15",514,32,17448,567,2170.75118249847,38899.9658786911,30485.9658786911,0.00717038390822283,0.0071335882792492,0.00720736933204564,0.000892086161608364,0.00378528905754599,0.00296653712780102,10276617
"26160","2020/04/16",643,32,18091,599,2689.97539482403,37021.905607223,28816.905607223,0.00736460972626433,0.0073280785168561,0.00740132304743047,0.00109505383650063,0.00360253822899336,0.00280412373130409,10276617
"26159","2020/04/17",750,30,18841,629,3104.72609596166,36907.4280958051,28590.4280958051,0.00758954616731864,0.00755299557300648,0.00762627363793526,0.00125064816316437,0.00359139861841743,0.0027820855925452,10276617
"26158","2020/04/18",181,28,19022,657,740.323035566143,33937.1976872875,26193.1976872875,0.00757092064803359,0.00753538791257561,0.00760662093628431,0.000294654976142499,0.00330237058433603,0.00254881520711412,10276617
"26157","2020/04/19",663,30,19685,687,2691.9125881033,34545.538217288,26590.538217288,0.00777736843231361,0.00774180923960619,0.00781309095327503,0.00106355072315277,0.00336156715943466,0.00258747973358236,10276617
"26156","2020/04/20",521,27,20206,714,2094.77392686799,33372.8699679114,25608.8699679114,0.00790550493264882,0.00787014957535172,0.00794101911809495,0.000819570702347771,0.0032474568204606,0.00249195527749175,10276617
"26155","2020/04/21",657,21,20863,735,2598.69654645094,32770.4427143755,25048.4427143755,0.00803002295343073,0.0079946837443639,0.00806551837376713,0.00100022014652745,0.00318883565616735,0.0024374210612671,10276617
"26154","2020/04/22",516,27,21379,762,2027.0576256869,31129.3796093935,23706.3796093935,0.00817247516835647,0.0081372280810307,0.00820787493140332,0.000774876192092887,0.00302914661599177,0.00230682719900853,10276617
"26153","2020/04/23",603,23,21982,785,2342.51725109945,26804.3173450356,20294.3173450356,0.00830964591238643,0.0082743845321152,0.00834505755941572,0.000885519465940008,0.00260828221437421,0.00197480526373958,10276617
"26152","2020/04/24",371,35,22353,820,1447.8198990097,25995.8436471534,19629.8436471534,0.00848840864023759,0.00845324619956698,0.00852371734391825,0.000549800337326616,0.00252961102346749,0.00191014646621095,10276617
"26151","2020/04/25",918,60,23271,880,3703.95391071515,27104.0982217947,20418.0982217947,0.00913666639460967,0.00910025872909662,0.009173219717312,0.00145424739904663,0.00263745337807128,0.00198685016886342,10276617
"26150","2020/04/26",412,23,23683,903,1645.86318775844,27258.3706445422,20509.3706445422,0.00920625626129421,0.00917005150864499,0.00924260395579203,0.00063979387229383,0.00265246536331384,0.00199573173200307,10276617
"26149","2020/04/27",163,25,23846,928,646.352186406954,25733.9716484507,19335.9716484507,0.00920125329722653,0.00916556676880046,0.0092370787726859,0.000249402423314038,0.00250412870776936,0.00188155028531769,10276617
