"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1",NA,0,0,0,0,NA,NA,NA,2832071
"2",NA,0,0,0,0,NA,NA,NA,2832071
"3",NA,0,0,0,0,NA,NA,NA,2832071
"4",NA,0,0,0,0,NA,NA,NA,2832071
"5",NA,0,0,0,0,NA,NA,NA,2832071
"6",NA,0,0,0,0,NA,NA,NA,2832071
"7",NA,0,0,0,0,NA,NA,NA,2832071
"8",NA,0,0,0,0,NA,NA,NA,2832071
"9",NA,0,0,0,0,NA,NA,NA,2832071
"10",NA,0,0,0,0,NA,NA,NA,2832071
"11",NA,0,0,0,0,NA,NA,NA,2832071
"12",NA,0,0,0,0,NA,NA,NA,2832071
"13",NA,0,0,0,0,NA,NA,NA,2832071
"14",NA,0,0,0,0,NA,NA,NA,2832071
"15",NA,0,0,0,0,NA,NA,NA,2832071
"16",NA,0,0,0,0,NA,NA,NA,2832071
"17",NA,0,0,0,0,NA,NA,NA,2832071
"18",NA,0,0,0,0,NA,NA,NA,2832071
"19",NA,0,0,0,0,NA,NA,NA,2832071
"20",NA,0,0,0,0,NA,NA,NA,2832071
"21",NA,0,0,0,0,NA,NA,NA,2832071
"22",NA,0,0,0,0,NA,NA,NA,2832071
"23",NA,0,0,0,0,NA,NA,NA,2832071
"24",NA,0,0,0,0,NA,NA,NA,2832071
"25",NA,0,0,0,0,NA,NA,NA,2832071
"26",NA,0,0,0,0,NA,NA,NA,2832071
"27",NA,0,0,0,0,NA,NA,NA,2832071
"28",NA,0,0,0,0,NA,NA,NA,2832071
"29",NA,0,0,0,0,NA,NA,NA,2832071
"30",NA,0,0,0,0,NA,NA,NA,2832071
"31",NA,0,0,0,0,NA,NA,NA,2832071
"32",NA,0,0,0,0,NA,NA,NA,2832071
"33",NA,0,0,0,0,NA,NA,NA,2832071
"34",NA,0,0,0,0,NA,NA,NA,2832071
"35",NA,0,0,0,0,NA,NA,NA,2832071
"36",NA,0,0,0,0,NA,NA,NA,2832071
"37",NA,0,0,0,0,NA,NA,NA,2832071
"38",NA,0,0,0,0,NA,NA,NA,2832071
"39",NA,0,0,0,0,NA,NA,NA,2832071
"40",NA,0,0,0,0,NA,NA,NA,2832071
"41",NA,0,0,0,0,NA,NA,NA,2832071
"42",NA,0,0,0,0,NA,NA,NA,2832071
"43",NA,0,0,0,0,NA,NA,NA,2832071
"44",NA,0,0,0,0,NA,NA,NA,2832071
"45",NA,0,0,0,0,NA,NA,NA,2832071
"46",NA,0,0,0,0,NA,NA,NA,2832071
"47",NA,0,0,0,0,NA,NA,NA,2832071
"48",NA,0,0,0,0,NA,NA,NA,2832071
"49",NA,0,0,0,0,NA,NA,NA,2832071
"50",NA,0,0,0,0,NA,NA,NA,2832071
"51",NA,0,0,0,0,NA,NA,NA,2832071
"52",NA,0,0,0,0,NA,NA,NA,2832071
"53",NA,0,0,0,0,NA,NA,NA,2832071
"54",NA,0,0,0,0,NA,NA,NA,2832071
"55",NA,0,0,0,0,NA,NA,NA,2832071
"56",NA,0,0,0,0,NA,NA,NA,2832071
"57",NA,0,0,0,0,NA,NA,NA,2832071
"58",NA,0,0,0,0,NA,NA,NA,2832071
"59",NA,0,0,0,0,NA,NA,NA,2832071
"60",NA,0,0,0,0,NA,NA,NA,2832071
"61",NA,0,0,0,0,NA,NA,NA,2832071
"62",NA,1,0,1,0,NA,NA,NA,2832071
"63",NA,2,0,3,0,0,NA,NA,2832071
"64",NA,5,0,8,0,0,NA,NA,2832071
"65",NA,3,0,11,0,0,NA,NA,2832071
"66",NA,1,0,12,0,0,0,NA,2832071
"67",NA,3,0,15,0,0,0,NA,2832071
"68",NA,3,0,18,0,0,0,NA,2832071
"69",NA,6,0,24,0,0,0,NA,2832071
"70",NA,238,0,262,0,0,0,NA,2832071
"71",NA,58,0,320,0,0,0,NA,2832071
"72",NA,17,0,337,0,0,0,NA,2832071
"73",NA,64,0,401,0,0,0,NA,2832071
"74",NA,38,0,439,0,0,0,NA,2832071
"75",NA,3,0,442,0,0,0,NA,2832071
"76",NA,10,0,452,0,0,0,NA,2832071
"77",NA,8,0,460,0,0,0,NA,2832071
"78",NA,10,0,470,0,0,0,NA,2832071
"79",NA,11,0,481,0,0,0,NA,2832071
"80",NA,13,0,494,0,0,0,NA,2832071
"81",NA,7,0,501,0,0,0,NA,2832071
"82",NA,25,0,526,0,0,0,NA,2832071
"83",NA,11,0,537,0,0,0,NA,2832071
"84",NA,12,0,549,0,0,0,NA,2832071
"85",NA,13,0,562,0,0,0,NA,2832071
"86",NA,28,1,590,1,4.21238371721341e-05,5.95480913403037e-06,0.00029798060998531,2832071
"87",NA,44,0,634,1,4.30728079384555e-05,6.08727993352659e-06,0.000304777635325249,2832071
"88",NA,59,0,693,1,4.48620521758708e-05,6.33864362382453e-06,0.000317513311186316,2832071
"89",NA,88,1,781,2,9.62212425507351e-05,3.62153675934915e-05,0.0002556518995453,2832071
"90",NA,54,0,835,2,9.74774758154966e-05,3.66790859092444e-05,0.000259053846512733,2832071
"91",NA,114,1,949,3,0.000156628683888455,8.1684981525899e-05,0.000300331152169647,2832071
"92",NA,0,0,949,3,0.000146852958876105,7.65665726017088e-05,0.000281660662060059,2832071
"93",NA,376,0,1325,3,0.000191600516329192,9.98711527120195e-05,0.000367581196979562,2832071
"94",NA,279,1,1604,4,0.000286824292831537,0.00017598642970431,0.00046746885595973,2832071
"95",NA,228,0,1832,4,0.000298112318924184,0.000182855621586917,0.000486017076877845,2832071
"96",NA,225,2,2057,6,0.000449273169419131,0.000324362912397015,0.000622285634532886,2832071
"97",NA,153,0,2210,6,0.00042790784764289,0.000308839995765626,0.000592880224662763,2832071
"98",NA,166,0,2376,6,0.000407131569636163,0.000293761360855918,0.000564254313472167,2832071
"99",NA,136,0,2512,6,0.000382485366701587,0.000275911091019124,0.000530225353393668,2832071
"100",NA,216,0,2728,6,0.000371638412795962,0.000268031455054648,0.000515294407655781,2832071
"101",NA,251,1,2979,7,0.000426631312961565,0.000322336959891445,0.000564670825401487,2832071
"102",NA,252,0,3231,7,0.000419066824327097,0.000316574993684421,0.000554740604138375,2832071
"103",NA,197,0,3428,7,0.000404069145215191,0.000305205965045316,0.000534956366566077,2832071
"104",NA,283,0,3711,7,0.000398892744108833,0.000301261767442986,0.000528163339985676,2832071
"105",NA,392,0,4103,7,0.00040358926565493,0.000304778270367631,0.000534435395133028,2832071
"106",NA,560,0,4663,7,0.000420502699659854,0.000317522383283451,0.000556882064794078,2832071
"107",NA,345,1,5008,8,0.00047265615405063,0.000369585580733424,0.000604471201280632,2832071
