"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"26637","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26636","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26635","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26634","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26633","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26632","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26631","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26630","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26629","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26628","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26627","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26626","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26625","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26624","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26623","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26622","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26621","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26620","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26619","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26618","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26617","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26616","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26615","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26614","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26613","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26612","2020/01/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26611","2020/01/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26610","2020/01/27",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26609","2020/01/28",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26608","2020/01/29",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26607","2020/01/30",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26606","2020/01/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26605","2020/02/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26604","2020/02/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26603","2020/02/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26602","2020/02/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26601","2020/02/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26600","2020/02/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26599","2020/02/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26598","2020/02/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26597","2020/02/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26596","2020/02/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26595","2020/02/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26594","2020/02/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26593","2020/02/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26592","2020/02/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26591","2020/02/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26590","2020/02/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26589","2020/02/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26588","2020/02/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26587","2020/02/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26586","2020/02/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26585","2020/02/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26584","2020/02/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26583","2020/02/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26582","2020/02/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26581","2020/02/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26580","2020/02/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,19414458
"26579","2020/02/27",1,0,1,0,1,1,0,NA,NA,NA,5.15080050135832e-08,5.15080050135832e-08,0,19414458
"26578","2020/02/28",0,0,1,0,0,1,0,0,NA,NA,0,5.15080050135832e-08,0,19414458
"26577","2020/02/29",2,0,3,0,2,3,0,0,NA,NA,1.03016010027166e-07,1.5452401504075e-07,0,19414458
"26576","2020/03/01",0,0,3,0,0,3,0,0,NA,NA,0,1.5452401504075e-07,0,19414458
"26575","2020/03/02",0,0,3,0,0,3,0,0,NA,NA,0,1.5452401504075e-07,0,19414458
"26574","2020/03/04",1,0,4,0,1,4,0,0,0,NA,5.15080050135832e-08,2.06032020054333e-07,0,19414458
"26573","2020/03/06",2,0,6,0,2,6,0,0,0,NA,1.03016010027166e-07,3.09048030081499e-07,0,19414458
"26572","2020/03/07",1,0,7,0,1,7,0,0,0,NA,5.15080050135832e-08,3.60556035095082e-07,0,19414458
"26571","2020/03/08",6,0,13,0,6,13,0,0,0,NA,3.09048030081499e-07,6.69604065176581e-07,0,19414458
"26570","2020/03/09",2,0,15,0,2,15,0,0,0,NA,1.03016010027166e-07,7.72620075203748e-07,0,19414458
"26569","2020/03/10",2,0,17,0,2,17,0,0,0,NA,1.03016010027166e-07,8.75636085230914e-07,0,19414458
"26568","2020/03/11",8,0,25,0,8,25,0,0,0,NA,4.12064040108665e-07,1.28770012533958e-06,0,19414458
"26567","2020/03/12",20,0,45,0,20,44,0,0,0,NA,1.03016010027166e-06,2.26635222059766e-06,0,19414458
"26566","2020/03/13",19,0,64,0,19,63,0,0,0,NA,9.7865209525808e-07,3.24500431585574e-06,0,19414458
"26565","2020/03/14",25,0,89,0,25,86,0,0,0,NA,1.28770012533958e-06,4.42968843116815e-06,0,19414458
"26564","2020/03/15",24,0,113,0,24,110,0,0,0,NA,1.236192120326e-06,5.66588055149415e-06,0,19414458
"26563","2020/03/16",26,0,139,0,26,136,0,0,0,NA,1.33920813035316e-06,7.00508868184731e-06,0,19414458
"26562","2020/03/17",45,0,184,0,45,180,0,0,0,NA,2.31786022561124e-06,9.27144090244497e-06,0,19414458
"26561","2020/03/18",33,0,217,0,33,211,0,0,0,NA,1.69976416544824e-06,1.08681890578661e-05,0,19414458
"26560","2020/03/19",43,0,260,0,43,253,0,0,0,NA,2.21484421558408e-06,1.30315252684365e-05,0,19414458
"26559","2020/03/20",17,0,277,0,17,264,0,0,0,NA,8.75636085230914e-07,1.3598113323586e-05,0,19414458
"26558","2020/03/21",31,0,308,0,31,293,0,0,0,NA,1.59674815542108e-06,1.50918454689799e-05,0,19414458
"26557","2020/03/22",59,0,367,0,59,350,0,0,0,NA,3.03897229580141e-06,1.80278017547541e-05,0,19414458
"26556","2020/03/23",66,2,433,2,83.5883533042541,425.588353304254,17.5883533042541,2.82464881215829e-05,1.07647038991112e-05,7.41185357888574e-05,5.45283470834016e-06,2.19212070357181e-05,9.05940990176194e-07,19414458
"26555","2020/03/24",143,5,576,7,533.246771336111,938.835124640365,407.835124640365,0.000110634202559157,8.46691711189905e-05,0.000144561788123557,0.000102422450197944,4.83575243069039e-05,2.10067736446913e-05,19414458
"26554","2020/03/25",186,4,762,11,915.028669331653,1834.86379397202,1136.86379397202,0.000193086298823013,0.000163230724370592,0.000228402581296679,0.000231862859682671,9.45101734991529e-05,5.85575859996719e-05,19414458
"26553","2020/03/26",144,2,906,13,692.845184280786,2502.7089782528,1685.7089782528,0.000224531169044222,0.000194679732496853,0.00025895990931249,0.000171705672398702,0.000128909546599385,8.68275065032876e-05,19414458
"26552","2020/03/27",123,4,1029,17,632.758900635225,3111.46787888803,2195.46787888803,0.000272661145824972,0.000244507754907721,0.000304056206604344,0.00016766644011482,0.000160265503105368,0.000113084170512925,19414458
"26551","2020/03/28",263,7,1292,24,1563.367652425,4648.83553131303,3495.83553131303,0.000395587551147914,0.000366319312147208,0.000427194268590232,0.000478675527218783,0.000239452243854195,0.000180063514073534,19414458
"26550","2020/03/29",160,5,1452,29,944.871246651126,5548.70677796415,4280.70677796415,0.000441666028655498,0.000414297337594178,0.000470842709251001,0.000287408767974637,0.000285802816538281,0.000220490666181057,19414458
"26549","2020/03/30",308,11,1760,40,2071.87292890506,7587.57970686921,6044.57970686921,0.00060981737834028,0.000582202079375709,0.000638742539917709,0.000717877339635841,0.000390821093582381,0.000311344241846422,19414458
"26548","2020/03/31",192,4,1952,44,1180.87960715397,8725.45931402318,7033.45931402318,0.000618384986044866,0.000592564693277067,0.000645330366969586,0.000374097448458285,0.000449431002092522,0.000362279457609539,19414458
"26547","2020/04/01",293,25,2245,69,2364.67775458042,11073.1370686036,9105.1370686036,0.000933244459106794,0.000908262269817795,0.000958913795492409,0.000982994392888762,0.000570355199645728,0.000468987445778996,19414458
