"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"27793","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27792","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27791","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27790","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27789","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27788","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27787","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27786","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27785","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27784","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27783","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27782","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27781","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27780","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27779","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27778","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27777","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27776","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27775","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27774","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27773","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27772","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27771","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27770","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27769","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27768","2020/01/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27767","2020/01/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27766","2020/01/27",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27765","2020/01/28",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27764","2020/01/29",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27763","2020/01/30",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27762","2020/01/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,145872260
"27761","2020/02/01",2,0,2,0,2,2,0,NA,NA,NA,1.37106259956485e-08,1.37106259956485e-08,0,145872260
"27760","2020/02/02",0,0,2,0,0,2,0,0,NA,NA,0,1.37106259956485e-08,0,145872260
"27759","2020/02/03",0,0,2,0,0,2,0,0,NA,NA,0,1.37106259956485e-08,0,145872260
"27758","2020/02/04",0,0,2,0,0,2,0,0,NA,NA,0,1.37106259956485e-08,0,145872260
"27757","2020/02/05",0,0,2,0,0,2,0,0,NA,NA,0,1.37106259956485e-08,0,145872260
"27756","2020/02/06",0,0,2,0,0,2,0,0,0,NA,0,1.37106259956485e-08,0,145872260
"27755","2020/02/07",0,0,2,0,0,2,0,0,0,NA,0,1.37106259956485e-08,0,145872260
"27754","2020/02/08",0,0,2,0,0,2,0,0,0,NA,0,1.37106259956485e-08,0,145872260
"27753","2020/02/09",0,0,2,0,0,2,0,0,0,NA,0,1.37106259956485e-08,0,145872260
"27752","2020/02/10",0,0,2,0,0,2,0,0,0,NA,0,1.37106259956485e-08,0,145872260
"27751","2020/02/11",0,0,2,0,0,2,0,0,0,NA,0,1.37106259956485e-08,0,145872260
"27750","2020/02/12",0,0,2,0,0,2,0,0,0,NA,0,1.37106259956485e-08,0,145872260
"27749","2020/02/13",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27748","2020/02/14",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27747","2020/02/15",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27746","2020/02/16",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27745","2020/02/17",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27744","2020/02/18",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27743","2020/02/19",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27742","2020/02/20",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27741","2020/02/21",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27740","2020/02/22",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27739","2020/02/23",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27738","2020/02/24",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27737","2020/02/25",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27736","2020/02/26",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27735","2020/02/27",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27734","2020/02/28",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27733","2020/02/29",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27732","2020/03/01",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27731","2020/03/02",0,0,2,0,0,0,0,0,0,NA,0,0,0,145872260
"27730","2020/03/03",1,0,3,0,1,1,0,0,0,NA,6.85531299782426e-09,6.85531299782426e-09,0,145872260
"27729","2020/03/04",1,0,4,0,1,2,0,0,0,NA,6.85531299782426e-09,1.37106259956485e-08,0,145872260
"27728","2020/03/05",0,0,4,0,0,2,0,0,0,NA,0,1.37106259956485e-08,0,145872260
"27727","2020/03/06",0,0,4,0,0,2,0,0,0,NA,0,1.37106259956485e-08,0,145872260
"27726","2020/03/07",6,0,10,0,6,8,0,0,0,NA,4.11318779869456e-08,5.48425039825941e-08,0,145872260
"27725","2020/03/08",0,0,10,0,0,8,0,0,0,NA,0,5.48425039825941e-08,0,145872260
"27724","2020/03/09",0,0,10,0,0,8,0,0,0,NA,0,5.48425039825941e-08,0,145872260
"27723","2020/03/10",0,0,10,0,0,8,0,0,0,NA,0,5.48425039825941e-08,0,145872260
"27722","2020/03/11",0,0,10,0,0,8,0,0,0,NA,0,5.48425039825941e-08,0,145872260
"27721","2020/03/12",15,0,25,0,15,23,0,0,0,NA,1.02829694967364e-07,1.57672198949958e-07,0,145872260
"27720","2020/03/13",5,0,30,0,5,28,0,0,0,NA,3.42765649891213e-08,1.91948763939079e-07,0,145872260
"27719","2020/03/14",15,0,45,0,15,43,0,0,0,NA,1.02829694967364e-07,2.94778458906443e-07,0,145872260
"27718","2020/03/15",14,0,59,0,14,56,0,0,0,NA,9.59743819695397e-08,3.83897527878159e-07,0,145872260
"27717","2020/03/16",4,0,63,0,4,59,0,0,0,NA,2.7421251991297e-08,4.04463466871631e-07,0,145872260
"27716","2020/03/17",30,0,93,0,30,89,0,0,0,NA,2.05659389934728e-07,6.10122856806359e-07,0,145872260
