"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"25454","2020/03/15",1,0,1,0,1,1,0,NA,NA,NA,7.919576385027e-08,7.919576385027e-08,0,12626938
"25453","2020/03/16",4,0,5,0,4,5,0,0,NA,NA,3.1678305540108e-07,3.9597881925135e-07,0,12626938
"25452","2020/03/17",0,0,5,0,0,5,0,0,NA,NA,0,3.9597881925135e-07,0,12626938
"25451","2020/03/18",2,0,7,0,2,7,0,0,NA,NA,1.5839152770054e-07,5.5437034695189e-07,0,12626938
"25450","2020/03/19",4,0,11,0,4,11,0,0,0,NA,3.1678305540108e-07,8.7115340235297e-07,0,12626938
"25449","2020/03/20",0,0,11,0,0,11,0,0,0,NA,0,8.7115340235297e-07,0,12626938
"25448","2020/03/21",6,0,17,0,6,17,0,0,0,NA,4.7517458310162e-07,1.34632798545459e-06,0,12626938
"25447","2020/03/22",0,0,17,0,0,17,0,0,0,NA,0,1.34632798545459e-06,0,12626938
"25446","2020/03/23",2,0,19,0,2,19,0,0,0,NA,1.5839152770054e-07,1.50471951315513e-06,0,12626938
"25445","2020/03/24",17,0,36,0,17,36,0,0,0,NA,1.34632798545459e-06,2.85104749860972e-06,0,12626938
"25444","2020/03/25",4,0,40,0,4,40,0,0,0,NA,3.1678305540108e-07,3.1678305540108e-06,0,12626938
"25443","2020/03/26",1,0,41,0,1,41,0,0,0,NA,7.919576385027e-08,3.24702631786107e-06,0,12626938
"25442","2020/03/27",9,0,50,0,9,49,0,0,0,NA,7.1276187465243e-07,3.88059242866323e-06,0,12626938
"25441","2020/03/28",4,0,54,0,4,49,0,0,0,NA,3.1678305540108e-07,3.88059242866323e-06,0,12626938
"25440","2020/03/29",6,0,60,0,6,55,0,0,0,NA,4.7517458310162e-07,4.35576701176485e-06,0,12626938
"25439","2020/03/30",10,0,70,0,10,63,0,0,0,NA,7.919576385027e-07,4.98933312256701e-06,0,12626938
"25438","2020/03/31",0,0,70,0,0,59,0,0,0,NA,0,4.67255006716593e-06,0,12626938
"25437","2020/04/01",5,0,75,0,5,64,0,0,0,NA,3.9597881925135e-07,5.06852888641728e-06,0,12626938
"25436","2020/04/02",7,0,82,0,7,65,0,0,0,NA,5.5437034695189e-07,5.14772465026755e-06,0,12626938
"25435","2020/04/03",0,0,82,0,0,65,0,0,0,NA,0,5.14772465026755e-06,0,12626938
"25434","2020/04/04",7,0,89,0,7,70,0,0,0,NA,5.5437034695189e-07,5.5437034695189e-06,0,12626938
"25433","2020/04/05",13,0,102,0,13,66,0,0,0,NA,1.02954493005351e-06,5.22692041411782e-06,0,12626938
"25432","2020/04/06",2,0,104,0,2,64,0,0,0,NA,1.5839152770054e-07,5.06852888641728e-06,0,12626938
"25431","2020/04/07",1,0,105,0,1,64,0,0,0,NA,7.919576385027e-08,5.06852888641728e-06,0,12626938
"25430","2020/04/08",0,0,105,0,0,55,0,0,0,NA,0,4.35576701176485e-06,0,12626938
"25429","2020/04/09",5,0,110,0,5,56,0,0,0,NA,3.9597881925135e-07,4.43496277561512e-06,0,12626938
"25428","2020/04/10",3,0,113,0,3,53,0,0,0,NA,2.3758729155081e-07,4.19737548406431e-06,0,12626938
