"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"25888","2020/03/05",1,0,1,0,NA,NA,NA,4.80559448087085e-07,0,2080908
"25887","2020/03/06",5,0,6,0,0,NA,NA,2.88335668852251e-06,0,2080908
"25886","2020/03/07",3,0,9,0,0,NA,NA,4.32503503278377e-06,0,2080908
"25885","2020/03/08",3,0,12,0,0,NA,NA,5.76671337704502e-06,0,2080908
"25884","2020/03/09",4,0,16,0,0,0,NA,7.68895116939336e-06,0,2080908
"25883","2020/03/11",15,0,31,0,0,0,NA,1.48973428906996e-05,0,2080908
"25882","2020/03/12",26,0,57,0,0,0,NA,2.73918885409638e-05,0,2080908
"25881","2020/03/13",39,0,96,0,0,0,NA,4.61337070163602e-05,0,2080908
"25880","2020/03/14",45,0,141,0,0,0,NA,6.7758882180279e-05,0,2080908
"25879","2020/03/15",40,0,181,0,0,0,NA,8.69812601037624e-05,0,2080908
"25878","2020/03/16",38,0,219,0,0,0,NA,0.000105242519131072,0,2080908
"25877","2020/03/17",34,0,253,0,0,0,NA,0.000121581540366033,0,2080908
"25876","2020/03/18",22,1,275,1,0.000184332006143798,2.6911166906071e-05,0.00126260925836448,0.000135847541409449,4.17425263358796e-06,2080908
"25875","2020/03/19",11,0,286,1,0.000145111486007855,2.09894224846717e-05,0.00100323595786334,0.000139025955169316,4.46930970493213e-06,2080908
"25874","2020/03/20",33,0,319,1,0.000128564375945683,1.84918660641504e-05,0.000893841579046837,0.000153442738611928,4.46930970493213e-06,2080908
"25873","2020/03/21",22,0,341,1,0.000113341331613289,1.62351894169794e-05,0.00079126009077778,0.000162573368125583,4.46930970493213e-06,2080908
"25872","2020/03/22",42,0,383,1,0.000107774277820363,1.53936637188482e-05,0.000754550389812582,0.000180834627152892,4.46930970493213e-06,2080908
"25871","2020/03/23",31,0,414,1,0.000100474024245177,1.43208430081552e-05,0.000704918665910363,0.000188523578322286,4.46930970493213e-06,2080908
"25870","2020/03/24",28,0,442,1,9.36856779629123e-05,1.33298656273003e-05,0.000658446716626666,0.00018948469721846,4.46930970493213e-06,2080908
"25869","2020/03/25",38,2,480,3,0.000269512241805344,0.000141447499651838,0.000513525150050248,0.000192079264552653,7.54443648721267e-06,2080908
"25868","2020/03/26",48,1,528,4,0.000352358447197669,0.000217486650211744,0.000570869408263332,0.000202486675497614,1.65101690879116e-05,2080908
"25867","2020/03/27",49,1,577,5,0.000431926653559826,0.000293764467138628,0.000635068753796395,0.000219944377339176,2.96428358966904e-05,2080908
"25866","2020/03/28",55,4,632,9,0.000767484192477,0.000620823927468197,0.000948790727355216,0.000268473673036922,7.00026209769561e-05,2080908
"25865","2020/03/29",59,0,691,9,0.000758565698037229,0.000613168228166551,0.000938440531987921,0.000316903647726992,0.000106418609464849,2080908
"25864","2020/03/30",39,2,730,11,0.000887385506874282,0.000745779826004976,0.00105587870622458,0.000349565354041101,0.000130910805161477,2080908
"25863","2020/03/31",33,0,763,11,0.000842730646892022,0.000707844539729128,0.00100332050803531,0.000380432519642944,0.000151205662905404,2080908
"25862","2020/04/01",51,2,814,13,0.000970109563935334,0.000837070409406304,0.00112429319620352,0.000425354878200913,0.000187477951397806,2080908
"25861","2020/04/02",27,2,841,15,0.00106155237536026,0.000934176843442465,0.00120629563186386,0.000448863324367643,0.0002085836003241,2080908
"25860","2020/04/03",56,1,897,16,0.00111434570539252,0.000988321655345734,0.00125643948446354,0.000498248790203482,0.000251241233886721,2080908
"25859","2020/04/04",37,4,934,20,0.0013448800292427,0.00122197072614648,0.00148015190082306,0.000536628279306337,0.000286737366301053,2080908
"25858","2020/04/05",43,2,977,22,0.00144060801205195,0.00132029353021515,0.00157188640017805,0.000586577061554406,0.000329477756827816,2080908
"25857","2020/04/06",20,6,997,28,0.00174851999804358,0.00163297809686396,0.00187223710436149,0.000600316302586212,0.000351867067925189,2080908
"25856","2020/04/07",24,2,1021,30,0.00180023035329884,0.00168877365020281,0.00191904304318654,0.000610600590599931,0.000373684782692998,2080908
"25855","2020/04/08",34,6,1055,36,0.00210447919412445,0.00199542109643896,0.00221949777237819,0.000641742589128943,0.000412035172943317,2080908
"25854","2020/04/09",36,4,1091,40,0.00228980758397303,0.00218262897772346,0.00240224922565136,0.000650509388228846,0.000429932601556873,2080908
"25853","2020/04/10",33,3,1124,43,0.00241002414889559,0.00230475389762861,0.00252010264707051,0.000656497329059646,0.000448415088037938,2080908
"25852","2020/04/11",36,2,1160,45,0.00248078003493016,0.00237691144939763,0.00258918757081494,0.000686078787476004,0.000479438224798557,2080908
"25851","2020/04/12",28,5,1188,50,0.00269714416900182,0.00259518917884643,0.00280310457814645,0.000713199465362117,0.000508961699925106,2080908
"25850","2020/04/13",17,3,1205,53,0.00277681508984714,0.00267749307124286,0.00287982147405653,0.000691593629687317,0.000503694885485267,2080908
"25849","2020/04/14",7,2,1212,55,0.00278210311655039,0.00268594177650006,0.00288170719813786,0.000673581127985982,0.000495293572745674,2080908
"25848","2020/04/15",8,1,1220,56,0.00274504123564027,0.00265161071523574,0.00284176381626047,0.000622012435728126,0.000466791733995998,2080908
"25847","2020/04/16",28,5,1248,61,0.00295432572599692,0.00286175440302376,0.00304989152320865,0.000635018552715272,0.000484122886015927,2080908
"25846","2020/04/17",20,0,1268,61,0.002907600372916,0.00281630042190736,0.00300186012217249,0.00061747531054089,0.000477632511147549,2080908
"25845","2020/04/18",36,5,1304,66,0.00314059902552211,0.00304920712660525,0.00323473015429147,0.000669103337778326,0.000521571587215591,2080908
