"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"25915","2020/03/07",1,0,1,0,1,0,NA,NA,NA,1,1.83472065735839e-07,0,5450421
"25914","2020/03/08",2,0,3,0,3,0,0,NA,NA,2,5.50416197207518e-07,0,5450421
"25913","2020/03/09",2,0,5,0,5,0,0,NA,NA,2,9.17360328679197e-07,0,5450421
"25912","2020/03/11",2,0,7,0,7,0,0,NA,NA,2,1.28430446015088e-06,0,5450421
"25911","2020/03/12",3,0,10,0,10,0,0,0,NA,3,1.83472065735839e-06,0,5450421
"25910","2020/03/13",11,0,21,0,21,0,0,0,NA,11,3.85291338045263e-06,0,5450421
"25909","2020/03/14",9,0,30,0,30,0,0,0,NA,9,5.50416197207518e-06,0,5450421
"25908","2020/03/15",14,0,44,0,44,0,0,0,NA,14,8.07277089237694e-06,0,5450421
"25907","2020/03/16",17,0,61,0,61,0,0,0,NA,17,1.11917960098862e-05,0,5450421
"25906","2020/03/17",23,0,84,0,84,0,0,0,NA,23,1.54116535218105e-05,0,5450421
"25905","2020/03/18",13,0,97,0,97,0,0,0,NA,13,1.77967903763764e-05,0,5450421
"25904","2020/03/19",10,0,107,0,107,0,0,0,NA,10,1.96315110337348e-05,0,5450421
"25903","2020/03/20",16,0,123,0,122,0,0,0,NA,16,2.23835920197724e-05,0,5450421
"25902","2020/03/21",14,0,137,0,134,0,0,0,NA,14,2.45852568086025e-05,0,5450421
"25901","2020/03/22",41,0,178,0,173,0,0,0,NA,41,3.17406673723002e-05,0,5450421
"25900","2020/03/23",7,0,185,0,178,0,0,0,NA,7,3.26580277009794e-05,0,5450421
"25899","2020/03/24",6,0,191,0,181,0,0,0,NA,6,3.3208443898187e-05,0,5450421
"25898","2020/03/25",13,0,204,0,183,0,0,0,NA,13,3.35753880296586e-05,0,5450421
"25897","2020/03/26",12,0,216,0,186,0,0,0,NA,12,3.41258042268661e-05,0,5450421
"25896","2020/03/27",10,0,226,0,182,0,0,0,NA,10,3.33919159639228e-05,0,5450421
"25895","2020/03/28",69,0,295,0,234,0,0,0,NA,69,4.29324633821864e-05,0,5450421
"25894","2020/03/29",0,0,295,0,211,0,0,0,NA,0,3.87126058702621e-05,0,5450421
"25893","2020/03/30",41,0,336,0,239,0,0,0,NA,41,4.38498237108656e-05,0,5450421
"25892","2020/03/31",0,0,336,0,229,0,0,0,NA,0,4.20151030535072e-05,0,5450421
"25891","2020/04/01",27,0,363,0,240,0,0,0,NA,27,4.40332957766015e-05,0,5450421
"25890","2020/04/02",37,0,400,0,263,0,0,0,NA,37,4.82531532885258e-05,0,5450421
"25889","2020/04/03",26,0,426,0,248,0,0,0,NA,26,4.55010723024882e-05,0,5450421
"25888","2020/04/04",24,0,450,0,265,0,0,0,NA,24,4.86200974199975e-05,0,5450421
"25887","2020/04/05",21,0,471,0,280,0,0,0,NA,21,5.13721784060351e-05,0,5450421
"25886","2020/04/06",14,0,485,0,281,0,0,0,NA,14,5.15556504717709e-05,0,5450421
"25885","2020/04/07",49,2,534,2,318,0,5.31989799674157e-05,2.00753070146448e-05,0.000140975750333927,49,5.8344116903997e-05,0,5450421
"25884","2020/04/08",47,0,581,2,355,0,5.38606190998853e-05,2.03145901955879e-05,0.000142802107347112,47,6.5132583336223e-05,0,5450421
"25883","2020/04/09",101,0,682,2,387,0,5.88708942648229e-05,2.21939772338612e-05,0.000156158680123914,101,7.10036894397699e-05,0,5450421
"25882","2020/04/10",19,0,701,2,406,0,5.61652665767689e-05,2.11642334258563e-05,0.000149050386383738,19,7.44896586887508e-05,0,5450421
"25881","2020/04/11",14,0,715,2,379,0,5.29633971208191e-05,1.99488434881937e-05,0.000140615742272866,14,6.95359129138832e-05,0,5450421
"25880","2020/04/12",13,0,728,2,392,0,4.99342331492357e-05,1.88002253318073e-05,0.000132627540159516,13,7.19210497684491e-05,0,5450421
"25879","2020/04/13",14,0,742,2,379,0,4.73700061726682e-05,1.7828530185433e-05,0.000125861047515405,14,6.95359129138832e-05,0,5450421
"25878","2020/04/14",27,0,769,2,369,0,4.59861016448203e-05,1.73025556075069e-05,0.000122220184836179,27,6.77011922565248e-05,0,5450421
"25877","2020/04/15",66,0,835,2,409,0,4.70472000116114e-05,1.76973409986688e-05,0.000125071841532526,66,7.50400748859584e-05,0,5450421
"25876","2020/04/16",28,4,863,6,413,0,0.000137899952883339,9.96735293473704e-05,0.00019078683307133,28,7.57739631489017e-05,0,5450421
"25875","2020/04/17",114,2,977,8,517.300589866079,11.3005898660787,0.000197021117765384,0.000154491733702963,0.000251258238322019,125.300589866079,9.49102078290977e-05,2.07334256676294e-06,5450421
"25874","2020/04/18",72,1,1049,9,587.514079836592,23.5140798365918,0.000225109906849062,0.000181350936789281,0.000279427672438627,84.2134899705131,0.00010779242187651,4.31417680149695e-06,5450421
"25873","2020/04/19",40,2,1089,11,592.424578540983,37.424578540983,0.000269284396054369,0.000225656325157359,0.000321347455728526,53.9104987043912,0.000108693361217598,6.86636473420732e-06,5450421
"25872","2020/04/20",72,1,1161,12,645.034904096011,65.0349040960114,0.000294695859195984,0.00025059474414098,0.000346558144006409,99.6103255550284,0.000118345886326214,1.19320881994274e-05,5450421
"25871","2020/04/21",12,1,1173,13,560.955235869777,69.9552358697773,0.000303455903844055,0.0002612588596678,0.000352468374450163,16.9203317737659,0.000102919615910363,1.28348316340659e-05,5450421
"25870","2020/04/22",26,1,1199,14,579.14687218805,81.1468721880496,0.000314674153297999,0.000273804030390634,0.000361644869188162,37.1916363182722,0.000106257273004792,1.48881842683436e-05,5450421
"25869","2020/04/23",45,0,1244,14,625.995512753224,96.9955127532244,0.000308623290498834,0.000268498478805456,0.000354744413681915,60.8486405651748,0.0001148526898662,1.7795967091941e-05,5450421
"25868","2020/04/24",81,1,1325,15,724.33886061956,127.33886061956,0.000334168174094439,0.000293408576720167,0.000380589994423077,111.343347866336,0.000132895947050615,2.33631238063188e-05,5450421
