"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"25112","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25111","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25110","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25109","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25108","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25107","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25106","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25105","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25104","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25103","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25102","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25101","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25100","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25099","2020/01/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25098","2020/01/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25097","2020/01/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25096","2020/01/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25095","2020/01/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25094","2020/01/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25093","2020/01/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25092","2020/01/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25091","2020/01/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25090","2020/01/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25089","2020/01/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25088","2020/01/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25087","2020/01/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25086","2020/01/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25085","2020/01/27",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25084","2020/01/28",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25083","2020/01/29",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25082","2020/01/30",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25081","2020/01/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25080","2020/02/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25079","2020/02/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25078","2020/02/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25077","2020/02/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25076","2020/02/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25075","2020/02/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25074","2020/02/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25073","2020/02/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25072","2020/02/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25071","2020/02/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25070","2020/02/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25069","2020/02/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25068","2020/02/13",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25067","2020/02/14",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25066","2020/02/15",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25065","2020/02/16",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25064","2020/02/17",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25063","2020/02/18",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25062","2020/02/19",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25061","2020/02/20",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25060","2020/02/21",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25059","2020/02/22",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25058","2020/02/23",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25057","2020/02/24",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25056","2020/02/25",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25055","2020/02/26",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25054","2020/02/27",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,34453
"25053","2020/02/28",1,0,1,0,1,1,0,NA,NA,NA,2.90250486169564e-05,2.90250486169564e-05,0,34453
"25052","2020/02/29",0,0,1,0,0,1,0,0,NA,NA,0,2.90250486169564e-05,0,34453
"25051","2020/03/01",0,0,1,0,0,1,0,0,NA,NA,0,2.90250486169564e-05,0,34453
"25050","2020/03/02",7,1,8,1,7,8,0,0,NA,NA,0.000203175340318695,0.000232200388935651,0,34453
"25049","2020/03/04",2,0,10,1,2,10,0,0,NA,NA,5.80500972339129e-05,0.000290250486169564,0,34453
"25048","2020/03/05",5,0,15,1,5,15,0,0,NA,NA,0.000145125243084782,0.000435375729254347,0,34453
"25047","2020/03/06",7,0,22,1,349.135312567846,364.135312567846,342.135312567846,0.0318486753237023,0.0317885542760302,0.031908910077092,0.50543169154603,0.0105690451504324,0.00993049408085932,34453
"25046","2020/03/07",1,0,23,1,28.876531482266,393.011844050112,370.011844050112,0.0192772827937224,0.00520891293955355,0.0713418780888661,0.0242026549341509,0.0114071878805942,0.0107396117624042,34453
"25045","2020/03/08",3,0,26,1,55.6336512923454,448.645495342458,422.645495342458,0.0139946684236591,0.00321165678602633,0.0609812185225684,0.0299451731936095,0.0130219573140933,0.0122673060500525,34453
"25044","2020/03/09",11,0,37,1,144.368397174104,593.013892516562,556.013892516562,0.0140946446026388,0.00274717217604551,0.0723139991759306,0.0549951689195026,0.0172122570608238,0.0161383302619964,34453
"25043","2020/03/10",12,1,49,2,234.43485499643,827.448747512991,778.448747512991,0.0277849725104371,0.0137715631370128,0.0560578846224713,0.13293400003192,0.0240167401246043,0.0225945127423734,34453
"25042","2020/03/11",13,0,62,2,191.495959550151,1018.94470706314,956.944707063142,0.0265082408634938,0.012080180894913,0.0581685688144708,0.0818745325829237,0.0295749196604981,0.0277753666462468,34453
"25041","2020/03/12",4,1,66,3,67.0830531517036,1085.02776021485,1020.02776021485,0.0321269665051841,0.0193994004209652,0.053204839037694,0.0326541666919738,0.0314929834909833,0.0296063553308811,34453
"25040","2020/03/13",1,2,67,5,21.6393103393725,1106.66707055422,1040.66707055422,0.0420814963207256,0.031849215508734,0.0556011287658129,0.0135912620661096,0.0321210655256209,0.0302054123169018,34453
"25039","2020/03/14",6,0,73,5,104.198626998926,1210.86569755314,1138.86569755314,0.0367965042759779,0.0272443643807313,0.0496977175907128,0.0525225373139317,0.0351454357400849,0.033055632239664,34453
"25038","2020/03/15",19,0,92,5,274.285516877528,1478.15121443067,1394.15121443067,0.0385487285542815,0.0281186659429556,0.0528476164611201,0.11492780365742,0.0429034108620635,0.0404653067782391,34453
"25037","2020/03/16",6,2,98,7,102.710021640457,1578.86123607113,1490.86123607113,0.0486923350688611,0.0392113194565878,0.0604657922078648,0.0510325590678279,0.0458265241363925,0.0432723198581003,34453
"25036","2020/03/17",4,2,102,9,75.2063057043818,1649.06754177551,1562.06754177551,0.0556631003239699,0.0472593342356898,0.0655612438851597,0.041041334700178,0.0478642655726791,0.0453390863430038,34453
"25035","2020/03/18",2,2,104,11,39.780575309986,1339.71280451765,1257.71280451765,0.0600409228839076,0.0526652089665378,0.068449598729245,0.0229659851390803,0.0388852292838839,0.0365051752972935,34453
"25034","2020/03/19",5,3,109,14,111.379753352613,1422.216026388,1336.216026388,0.0704751000808917,0.0638143865376319,0.0778310346755863,0.0720137547202791,0.0412798893097263,0.038783735128668,34453
"25033","2020/03/20",17,0,126,14,338.601640975387,1705.18401607104,1605.18401607104,0.0728422979692688,0.0656829042008607,0.0807820609944074,0.195750171625496,0.049493048967319,0.0465905441056233,34453
"25032","2020/03/21",25,0,151,14,449.494386816496,2010.31000571343,1896.31000571343,0.0788014424396028,0.0708129439595184,0.0876911336169262,0.234574874500958,0.0583493456509863,0.0550404901086533,34453
"25031","2020/03/22",0,6,151,20,0,1775.875150717,1673.875150717,0.101579187046691,0.094827578545076,0.108811501879295,0,0.0515448625872058,0.0485843076282763,34453
"25030","2020/03/23",0,0,151,20,0,1584.37919116685,1495.37919116685,0.0915695266763091,0.085252278385368,0.0983548871013212,0,0.045986683051312,0.0434034537244028,34453
"25029","2020/03/24",36,0,187,20,683.0273223092,2200.32346032435,2079.32346032435,0.102979348090813,0.0956244408057395,0.110899954487079,0.376137477965857,0.063864495408944,0.0603524645262923,34453
"25028","2020/03/25",0,1,187,21,0,2178.68414998498,2058.68414998498,0.0986402967271261,0.091797987391206,0.10599260849751,0,0.0632364133743063,0.0597534075402715,34453
"25027","2020/03/26",21,0,208,21,348.19063337997,2422.67615636602,2287.67615636602,0.100100000612337,0.0929676156264156,0.107779575232462,0.167566743339159,0.0703182932216649,0.0663999116583757,34453
"25026","2020/03/27",10,0,218,21,151.710438741372,2300.10107822986,2174.10107822986,0.095994182351665,0.0890025269747391,0.103535072077,0.0668042179871119,0.0667605456195357,0.0631033894937992,34453
"25025","2020/03/28",5,0,223,21,69.5739419737442,2266.96499856315,2141.96499856315,0.090064662352451,0.0833698478553786,0.0972970877760534,0.0280993434636515,0.065798769296234,0.0621706382191145,34453
"25024","2020/03/29",1,1,224,22,13.4322995594922,2205.19099241826,2083.19099241826,0.0873315850963993,0.0810610344428977,0.0940871999458905,0.0052368929108041,0.0640057757646144,0.0604647198333457,34453
"25023","2020/03/30",5,2,229,24,67.9891213535775,2233.39953846185,2108.39953846185,0.0903811499141975,0.0844189638770455,0.0967644221707136,0.0268337771597915,0.0648245301849433,0.0611963991078238,34453
"25022","2020/03/31",0,1,229,25,0,2122.01978510924,2002.01978510924,0.0880550367273034,0.0824324452289775,0.0940611366253768,0,0.0615917274289391,0.0581087215949044,34453
"25021","2020/04/01",1,1,230,26,12.9831850085603,1796.40132914241,1692.40132914241,0.0866726424975729,0.0813191409082537,0.0923785823805919,0.00489255196837738,0.0521406359139237,0.0491220308577602,34453
"25020","2020/04/02",6,0,236,26,73.9410821533678,1420.84802447928,1335.84802447928,0.0844149778354802,0.0791449670650775,0.0900359018041577,0.026448028860627,0.0412401829878178,0.0387730538553765,34453
"25019","2020/04/03",9,4,245,30,122.20779802816,1543.05582250744,1449.05582250744,0.0965595981543268,0.0913947089961618,0.102016365040526,0.0481646361996908,0.0447872702669563,0.0420589156969624,34453
"25018","2020/04/04",6,2,251,32,83.3191929517722,1626.37501545922,1526.37501545922,0.101167375027307,0.0960984663718545,0.106503653557923,0.0335824065351573,0.047205613893107,0.0443031090314114,34453
"25017","2020/04/05",8,0,259,32,106.778458262248,1050.12615141226,978.126151412265,0.100338216882137,0.0952658612511395,0.105680646087335,0.0413666413260914,0.0304799625986783,0.0283901590982575,34453
